Date, Open, High, Low, Close, Volume,ticker
12/24/20,117.04,118.37,116.84,117.31,733587,A
12/23/20,118.0,118.89,117.22,117.3,1202061,A
12/22/20,118.0,118.43,116.85,117.37,1670440,A
12/21/20,117.7,118.45,115.96,117.78,2081968,A
12/18/20,119.23,119.86,118.44,119.3,3911781,A
12/17/20,118.05,119.39,117.04,118.97,2166714,A
12/16/20,117.58,117.74,116.4,117.24,1698574,A
12/15/20,117.3,118.04,116.85,117.39,1973780,A
12/14/20,118.61,120.24,116.74,116.74,1395241,A
12/11/20,118.67,119.06,117.29,118.48,1400768,A
12/10/20,116.94,119.9,116.335,118.81,1630537,A
12/09/20,116.38,116.96,114.48,116.4,1717610,A
12/08/20,114.34,117.34,114.33,117.01,1320639,A
12/07/20,115.2,116.44,114.12,114.4,2076739,A
12/04/20,113.6,115.24,113.45,115.15,1118130,A
12/03/20,114.15,115.4229,113.16,113.58,1511353,A
12/02/20,115.63,115.95,114.13,114.57,1735789,A
12/01/20,117.58,118.38,115.037,115.36,1753671,A
11/30/20,113.89,117.07,113.67,116.9,3778434,A
11/27/20,113.77,114.98,112.94,114.09,983723,A
11/25/20,116.09,116.96,113.41,114.35,2862483,A
11/24/20,118.96,118.96,111.43,114.68,5560074,A
11/23/20,111.4,112.42,109.56,112.21,3258707,A
11/20/20,108.64,112.3,108.315,110.89,2775652,A
11/19/20,106.74,108.96,105.19,108.68,1886381,A
11/18/20,109.55,109.88,105.73,105.95,2048056,A
11/17/20,110.5,110.77,109.245,109.86,1571458,A
11/16/20,111.0,111.49,109.47,110.27,1656148,A
11/13/20,110.46,111.54,109.78,110.17,1356781,A
11/12/20,109.4,111.01,108.895,109.44,1094278,A
11/11/20,111.14,111.79,108.84,109.41,1792823,A
11/10/20,112.82,112.91,108.99,110.2,2124829,A
11/09/20,116.16,117.5,112.39,112.5,2178042,A
11/06/20,110.76,113.35,110.325,112.54,1036556,A
11/05/20,110.57,111.93,109.67,110.34,1143082,A
11/04/20,108.07,109.8,107.24,108.49,1357382,A
11/03/20,106.43,108.11,106.14,107.03,1175149,A
11/02/20,103.52,105.35,103.29,105.24,1572506,A
10/30/20,101.77,102.35,100.6548,102.09,2310001,A
10/29/20,102.27,103.055,100.77,102.02,1421852,A
10/28/20,104.42,105.37,101.58,101.66,1180759,A
10/27/20,105.11,106.66,105.11,106.04,1111491,A
10/26/20,105.39,105.82,103.75,104.63,1101954,A
10/23/20,107.23,107.38,105.47,106.17,833937,A
10/22/20,105.32,107.09,105.11,106.77,1064683,A
10/21/20,105.92,106.69,104.12,104.83,893965,A
10/20/20,105.89,106.94,105.56,105.61,770994,A
10/19/20,106.78,107.62,105.24,105.49,635992,A
10/16/20,105.95,107.54,105.71,106.7,1039366,A
10/15/20,104.1,105.72,103.88,105.32,722985,A
10/14/20,105.49,106.67,104.92,105.06,906705,A
10/13/20,105.44,106.005,104.96,105.42,915482,A
10/12/20,106.45,107.0,105.32,105.43,1003703,A
10/09/20,104.83,106.1,104.55,105.76,708966,A
10/08/20,104.2,104.39,103.13,104.16,765334,A
10/07/20,102.47,104.75,102.42,103.88,1322141,A
10/06/20,103.12,103.33,101.48,101.63,1078014,A
10/05/20,100.99,103.46,100.96,103.12,803927,A
10/02/20,100.21,101.275,99.8127,100.01,712248,A
10/01/20,101.77,102.41,100.54,101.22,723579,A
09/30/20,100.54,101.89,100.31,100.94,1362186,A
09/29/20,99.79,101.33,99.59,100.22,722378,A
09/28/20,98.64,99.73,98.12,99.51,1336568,A
09/25/20,95.96,98.135,95.77,97.69,1028618,A
09/24/20,96.57,96.97,95.44,96.34,1157571,A
09/23/20,98.6,98.91,96.57,96.91,1148728,A
09/22/20,97.84,98.975,97.49,98.62,845849,A
09/21/20,98.18,98.56,96.5,98.13,927859,A
09/18/20,99.14,100.59,98.46,99.38,2162445,A
09/17/20,99.25,100.455,98.58,99.6,1246412,A
09/16/20,101.23,101.53,98.08,99.92,1365682,A
09/15/20,99.72,101.0,99.72,100.37,1053823,A
