Date, Open, High, Low, Close, Volume,ticker
12/24/20,159.86,160.98,158.93,160.68,308013,AAP
12/23/20,158.68,160.4599,158.41,159.29,606553,AAP
12/22/20,160.42,161.18,158.68,159.4,780419,AAP
12/21/20,158.44,160.58,156.69,160.49,1075179,AAP
12/18/20,159.97,161.045,158.76,159.99,1478296,AAP
12/17/20,162.05,163.7,160.0,160.34,1347849,AAP
12/16/20,159.95,161.931,158.31,161.32,1242717,AAP
12/15/20,157.9,159.94,156.11,159.84,1050425,AAP
12/14/20,158.61,161.33,157.3,157.56,961877,AAP
12/11/20,158.02,160.9,156.43,157.66,906915,AAP
12/10/20,156.25,158.62,154.56,158.22,841438,AAP
12/09/20,152.99,158.42,152.51,157.95,1275343,AAP
12/08/20,152.69,153.06,148.96,152.78,1135287,AAP
12/07/20,151.61,153.72,151.0,153.68,985880,AAP
12/04/20,149.96,152.82,149.96,152.47,607679,AAP
12/03/20,148.64,151.06,148.305,150.14,646180,AAP
12/02/20,151.18,151.445,147.5,148.45,1279859,AAP
12/01/20,149.07,153.18,147.57,152.61,1258345,AAP
11/30/20,149.33,150.305,147.37,147.7,1521691,AAP
11/27/20,150.24,150.6515,148.31,149.93,460504,AAP
11/25/20,150.44,150.61,147.3,149.4,795153,AAP
11/24/20,147.13,150.44,146.19,149.83,1109524,AAP
11/23/20,142.99,146.86,142.59,145.56,1087760,AAP
11/20/20,145.91,147.09,143.8801,144.33,1334406,AAP
11/19/20,147.54,147.54,144.0718,146.08,1706664,AAP
11/18/20,148.93,151.83,147.98,148.1,881598,AAP
11/17/20,149.92,150.7,147.65,149.3,1073190,AAP
11/16/20,155.5,156.06,150.32,151.06,1306315,AAP
11/13/20,152.99,154.84,152.13,154.0,1074021,AAP
11/12/20,156.72,156.72,151.5,153.06,1091720,AAP
11/11/20,156.78,158.8,153.21,156.52,1132652,AAP
11/10/20,153.25,158.86,150.7,155.42,1716629,AAP
11/09/20,161.59,164.08,156.33,156.63,1877573,AAP
11/06/20,156.05,157.54,154.315,156.38,725613,AAP
11/05/20,157.78,158.84,155.28,156.43,544222,AAP
11/04/20,158.37,159.55,154.86,155.53,791888,AAP
11/03/20,153.48,158.12,152.68,157.43,847769,AAP
11/02/20,149.49,152.47,148.76,151.38,1010896,AAP
10/30/20,144.87,147.405,144.6,147.28,821962,AAP
10/29/20,145.73,147.52,144.23,146.0,719887,AAP
10/28/20,147.42,150.07,146.15,146.38,687883,AAP
10/27/20,150.47,151.91,150.0,150.41,775596,AAP
10/26/20,152.71,152.96,149.35,151.21,618970,AAP
10/23/20,153.42,155.165,151.78,154.72,543555,AAP
10/22/20,153.84,154.075,150.82,152.93,621817,AAP
10/21/20,155.99,157.7,153.875,154.38,884466,AAP
10/20/20,154.68,154.98,152.69,153.02,614381,AAP
10/19/20,156.11,157.355,152.77,153.25,603810,AAP
10/16/20,157.52,157.61,154.83,154.99,477153,AAP
10/15/20,154.98,157.91,154.08,157.52,697471,AAP
10/14/20,158.16,159.18,154.79,156.58,581757,AAP
10/13/20,155.61,158.08,155.215,157.38,753378,AAP
10/12/20,155.51,156.39,153.63,156.25,720357,AAP
10/09/20,158.58,158.58,155.07,155.32,840379,AAP
10/08/20,157.8,158.5,155.115,157.66,404441,AAP
10/07/20,155.62,158.5004,155.2828,156.81,1065766,AAP
10/06/20,160.26,160.775,155.06,155.16,837176,AAP
10/05/20,155.74,158.16,154.92,155.86,556697,AAP
10/02/20,152.24,156.35,151.66,155.5,487318,AAP
10/01/20,153.56,156.26,153.195,154.85,649657,AAP
09/30/20,151.48,154.865,151.445,153.5,546651,AAP
09/29/20,153.89,153.89,151.66,151.71,610385,AAP
09/28/20,150.88,154.165,150.01,153.39,726432,AAP
09/25/20,146.33,150.4,146.26,149.41,778626,AAP
09/24/20,144.52,148.84,142.46,146.71,1115910,AAP
09/23/20,150.57,150.9415,146.3,146.45,618939,AAP
09/22/20,148.99,152.46,146.42,150.11,1244898,AAP
09/21/20,151.01,151.75,147.61,148.43,854832,AAP
09/18/20,154.38,155.97,152.54,153.88,717121,AAP
09/17/20,152.56,154.95,152.0,154.76,630687,AAP
09/16/20,157.03,157.11,154.3,154.64,512761,AAP
09/15/20,157.91,158.41,156.51,156.88,496848,AAP
09/14/20,156.9,158.915,156.13,157.31,785874,AAP
09/11/20,154.47,155.32,153.08,154.59,493895,AAP
09/10/20,154.65,155.715,153.105,153.56,418734,AAP
09/09/20,152.62,155.68,152.62,154.35,715902,AAP
09/08/20,152.65,154.6899,150.84,151.73,1197958,AAP
09/04/20,155.89,156.01,150.76,153.75,589124,AAP
09/03/20,158.0,158.55,154.305,155.18,591171,AAP
09/02/20,156.44,159.56,155.54,158.1,635551,AAP
09/01/20,155.78,157.78,154.43,156.39,634773,AAP
08/31/20,154.77,158.7399,151.505,156.31,1242127,AAP
08/28/20,155.38,155.59,153.13,154.77,611633,AAP
08/27/20,156.95,156.95,154.54,154.72,473191,AAP
08/26/20,155.77,157.578,155.45,156.48,575647,AAP
08/25/20,157.26,157.26,153.96,156.06,525206,AAP
08/24/20,156.98,157.97,154.52,157.14,636523,AAP
08/21/20,157.05,158.325,155.57,156.11,697136,AAP
08/20/20,159.3,160.02,157.06,157.44,1080185,AAP
08/19/20,163.17,163.8399,158.93,160.81,1289456,AAP
08/18/20,170.5,170.5,159.715,162.85,2563582,AAP
08/17/20,160.08,161.48,158.98,161.0,2043358,AAP
08/14/20,155.11,159.31,155.11,158.66,1130346,AAP
08/13/20,154.47,156.87,153.8,155.99,686316,AAP
08/12/20,153.58,156.0,153.45,154.28,682477,AAP
08/11/20,155.0,155.44,151.79,151.94,764780,AAP
08/10/20,152.5,154.22,151.95,153.32,595475,AAP
08/07/20,150.91,153.21,150.775,151.97,1424499,AAP
08/06/20,150.95,152.79,150.595,151.83,396388,AAP
08/05/20,153.23,154.14,151.14,151.72,856652,AAP
08/04/20,152.17,152.94,150.35,152.79,400032,AAP
08/03/20,151.54,153.09,149.71,152.55,498280,AAP
