Date, Open, High, Low, Close, Volume,ticker
12/24/20,131.32,133.46,131.1,131.97,54930059,AAPL
12/23/20,132.16,132.43,130.78,130.96,88223688,AAPL
12/22/20,131.61,134.405,129.65,131.88,169351812,AAPL
12/21/20,125.02,128.31,123.449,128.23,121251602,AAPL
12/18/20,128.96,129.1,126.12,126.655,192541500,AAPL
12/17/20,128.9,129.58,128.045,128.7,94359805,AAPL
12/16/20,127.41,128.37,126.56,127.81,98208594,AAPL
12/15/20,124.34,127.9,124.13,127.88,157572297,AAPL
12/14/20,122.6,123.35,121.54,121.78,79075992,AAPL
12/11/20,122.43,122.76,120.55,122.41,86939789,AAPL
12/10/20,120.5,123.87,120.15,123.24,81312172,AAPL
12/09/20,124.53,125.95,121.0,121.78,115089203,AAPL
12/08/20,124.37,124.98,123.09,124.38,82225516,AAPL
12/07/20,122.31,124.57,122.25,123.75,86711992,AAPL
12/04/20,122.6,122.8608,121.52,122.25,78260414,AAPL
12/03/20,123.52,123.78,122.21,122.94,78967633,AAPL
12/02/20,122.02,123.37,120.89,123.08,89004203,AAPL
12/01/20,121.01,123.4693,120.01,122.72,128166797,AAPL
11/30/20,116.97,120.97,116.81,119.05,169410203,AAPL
11/27/20,116.57,117.49,116.22,116.59,46691328,AAPL
11/25/20,115.55,116.75,115.17,116.03,76499234,AAPL
11/24/20,113.91,115.85,112.59,115.17,113874203,AAPL
11/23/20,117.18,117.6202,113.75,113.85,127959297,AAPL
11/20/20,118.64,118.77,117.29,117.34,73604289,AAPL
11/19/20,117.59,119.06,116.81,118.64,74112969,AAPL
11/18/20,118.61,119.82,118.0,118.03,76322109,AAPL
11/17/20,119.55,120.6741,118.96,119.39,74270969,AAPL
11/16/20,118.92,120.99,118.146,120.3,91183023,AAPL
11/13/20,119.44,119.6717,117.87,119.26,81688594,AAPL
11/12/20,119.62,120.53,118.57,119.21,103350703,AAPL
11/11/20,117.19,119.63,116.44,119.49,112295000,AAPL
11/10/20,115.55,117.59,114.13,115.97,138023391,AAPL
11/09/20,120.5,121.99,116.05,116.32,154515297,AAPL
11/06/20,118.32,119.2,116.13,118.69,114457906,AAPL
11/05/20,117.95,119.62,116.8686,119.03,126387102,AAPL
11/04/20,114.14,115.59,112.35,114.95,138235500,AAPL
11/03/20,109.66,111.49,108.73,110.44,107624398,AAPL
11/02/20,109.11,110.68,107.32,108.77,122866898,AAPL
10/30/20,111.06,111.99,107.72,108.86,190573500,AAPL
10/29/20,112.37,116.93,112.2,115.32,146129203,AAPL
10/28/20,115.05,115.43,111.1,111.2,143937797,AAPL
10/27/20,115.49,117.28,114.5399,116.6,92276766,AAPL
10/26/20,114.01,116.55,112.88,115.05,111850703,AAPL
10/23/20,116.39,116.55,114.28,115.04,82572648,AAPL
10/22/20,117.45,118.04,114.59,115.75,101988000,AAPL
10/21/20,116.67,118.705,116.45,116.87,89945984,AAPL
10/20/20,116.2,118.98,115.63,117.51,124423695,AAPL
10/19/20,119.96,120.419,115.66,115.98,120639297,AAPL
10/16/20,121.28,121.54799999999999,118.81,119.02,115393797,AAPL
10/15/20,118.72,121.2,118.15,120.71,112559203,AAPL
10/14/20,121.0,123.03,119.62,121.19,151062297,AAPL
10/13/20,125.27,125.39,119.65,121.1,262330500,AAPL
10/12/20,120.06,125.18,119.2845,124.4,240226797,AAPL
10/09/20,115.28,117.0,114.92,116.97,100506898,AAPL
10/08/20,116.25,116.4,114.5901,114.97,83477148,AAPL
10/07/20,114.62,115.55,114.13,115.08,96848992,AAPL
10/06/20,115.7,116.12,112.25,113.16,161498203,AAPL
10/05/20,113.91,116.65,113.55,116.5,106243797,AAPL
10/02/20,112.89,115.37,112.22,113.02,144712000,AAPL
10/01/20,117.64,117.72,115.83,116.79,116120398,AAPL
09/30/20,113.79,117.26,113.62,115.81,142675203,AAPL
09/29/20,114.55,115.31,113.57,114.09,100060492,AAPL
09/28/20,115.01,115.32,112.78,114.96,137672406,AAPL
09/25/20,108.43,112.44,107.67,112.28,149981406,AAPL
09/24/20,105.17,110.25,105.0,108.22,167743297,AAPL
09/23/20,111.62,112.11,106.77,107.12,150718703,AAPL
09/22/20,112.68,112.86,109.16,111.81,183055391,AAPL
09/21/20,104.54,110.19,103.1,110.08,195713797,AAPL
09/18/20,110.4,110.88,106.09,106.84,287104906,AAPL
09/17/20,109.72,112.2,108.71,110.34,178011016,AAPL
09/16/20,115.23,116.0,112.04,112.13,155026703,AAPL
09/15/20,118.33,118.829,113.61,115.54,184642000,AAPL
09/14/20,114.72,115.93,112.8,115.355,140150094,AAPL
09/11/20,114.57,115.23,110.0,112.0,180860297,AAPL
09/10/20,120.36,120.5,112.5,113.49,182274406,AAPL
09/09/20,117.26,119.14,115.26,117.32,176940500,AAPL
09/08/20,113.95,118.99,112.68,112.82,231366594,AAPL
09/04/20,120.07,123.7,110.89,120.96,332607188,AAPL
09/03/20,126.91,128.84,120.5,120.88,257599594,AAPL
09/02/20,137.59,137.98,127.0,131.4,200119016,AAPL
09/01/20,132.76,134.8,130.53,134.18,152470094,AAPL
08/31/20,127.58,131.0,126.0,129.04,225702703,AAPL
08/28/20,126.0125,126.4425,124.5775,124.8075,187629920,AAPL
08/27/20,127.1425,127.485,123.8325,125.01,155552408,AAPL
08/26/20,126.1793,126.9925,125.0825,126.5225,163022264,AAPL
08/25/20,124.6975,125.1793,123.0525,124.825,211495812,AAPL
08/24/20,128.6975,128.785,123.9363,125.8575,345937752,AAPL
08/21/20,119.2625,124.868,119.25,124.37,338054656,AAPL
08/20/20,115.75,118.39200000000001,115.7334,118.275,126907204,AAPL
08/19/20,115.9833,117.1625,115.61,115.7075,145538000,AAPL
08/18/20,114.3525,116.0,114.0075,115.5625,105633564,AAPL
08/17/20,116.0625,116.0875,113.9625,114.6075,119561436,AAPL
08/14/20,114.8288,115.0,113.045,114.9075,165565204,AAPL
08/13/20,114.43,116.0425,113.9275,115.01,210082080,AAPL
08/12/20,110.4975,113.275,110.2975,113.01,165944828,AAPL
08/11/20,111.9688,112.4825,109.1067,109.375,187902376,AAPL
08/10/20,112.6,113.775,110.0,112.7275,212403436,AAPL
08/07/20,113.205,113.675,110.2925,111.1125,198045592,AAPL
08/06/20,110.405,114.4125,109.7975,113.9025,202428920,AAPL
08/05/20,109.3775,110.3925,108.8975,110.0625,121991960,AAPL
08/04/20,109.1325,110.79,108.3875,109.665,172792360,AAPL
08/03/20,108.2,111.6364,107.8925,108.9375,308151408,AAPL
07/31/20,102.8838,106.415,100.825,106.26,374295500,AAPL
07/30/20,94.1875,96.2975,93.7675,96.19,158130048,AAPL
07/29/20,93.75,95.23,93.7125,95.04,90329244,AAPL
07/28/20,94.3675,94.5497,93.2475,93.2525,103625524,AAPL
07/27/20,93.71,94.905,93.48,94.81,121214204,AAPL
07/24/20,90.9875,92.97,89.145,92.615,185438876,AAPL
07/23/20,96.9985,97.0775,92.0098,92.845,197004452,AAPL
07/22/20,96.6925,97.975,96.6025,97.2725,89001640,AAPL
