Date, Open, High, Low, Close, Volume,ticker
12/24/20,103.11,103.39,102.6,103.26,1378649,ABBV
12/23/20,103.06,103.925,102.91,103.28,3659423,ABBV
12/22/20,103.41,103.5,102.01,102.8,4003900,ABBV
12/21/20,102.76,103.92,101.5478,103.71,6664598,ABBV
12/18/20,105.03,105.06,103.1999,104.45,13906760,ABBV
12/17/20,104.86,105.5,104.11,104.89,6360647,ABBV
12/16/20,102.5,105.41,101.9034,104.64,9182062,ABBV
12/15/20,105.44,105.45,102.32,102.82,12101020,ABBV
12/14/20,107.43,108.07,104.09,104.2,8272746,ABBV
12/11/20,107.01,107.415,105.58,106.34,5205199,ABBV
12/10/20,109.06,109.07,106.67,107.49,6285704,ABBV
12/09/20,107.9,109.15,107.63,108.67,7350722,ABBV
12/08/20,105.7,108.35,105.6,107.69,6688195,ABBV
12/07/20,107.04,107.21,104.96,105.84,6532493,ABBV
12/04/20,105.02,107.31,105.02,107.28,7235820,ABBV
12/03/20,105.0,105.7,104.3,104.74,4693555,ABBV
12/02/20,104.0,105.38,103.32,104.99,5492166,ABBV
12/01/20,105.05,106.38,104.04,104.04,7625102,ABBV
11/30/20,105.12,105.415,103.6484,104.58,20726461,ABBV
11/27/20,104.98,105.8,104.3,104.89,4418751,ABBV
11/25/20,103.82,104.46,103.39,104.2,6368079,ABBV
11/24/20,102.88,104.82,102.58,103.96,9325898,ABBV
11/23/20,101.94,102.76,101.065,102.18,7546710,ABBV
11/20/20,99.95,101.83,98.62,100.84,9684787,ABBV
11/19/20,98.76,100.15,98.59,99.67,7550296,ABBV
11/18/20,100.0,100.29,98.68,98.72,8880632,ABBV
11/17/20,99.37,100.26,98.74,99.21,11593470,ABBV
11/16/20,99.96,100.54,98.33,98.36,8611255,ABBV
11/13/20,97.41,99.55,97.4,99.04,6890643,ABBV
11/12/20,97.5,97.745,96.28,97.6,7649145,ABBV
11/11/20,99.15,99.87,97.765,98.15,9476508,ABBV
11/10/20,96.01,99.13,95.625,98.87,12267220,ABBV
11/09/20,95.74,96.95,94.67,95.12,11028940,ABBV
11/06/20,92.975,93.65,91.7101,92.85,7006928,ABBV
11/05/20,95.36,95.52,93.0,93.69,8012967,ABBV
11/04/20,93.135,97.49,92.6703,94.5,25848971,ABBV
11/03/20,89.14,89.385,87.43,87.96,8518756,ABBV
11/02/20,86.03,88.5401,86.0,88.25,10781360,ABBV
