Date, Open, High, Low, Close, Volume,ticker
12/24/20,97.33,97.58,96.08,96.97,295779,ABC
12/23/20,97.04,98.08,96.67,97.24,752288,ABC
12/22/20,97.62,98.38,96.46,96.72,996286,ABC
12/21/20,97.32,97.8408,95.765,97.67,1074211,ABC
12/18/20,98.76,99.85,97.51,98.61,1682176,ABC
12/17/20,98.91,99.09,97.46,98.74,1064091,ABC
12/16/20,99.11,99.11,98.01,98.37,757158,ABC
12/15/20,97.56,99.34,97.56,99.03,936549,ABC
12/14/20,99.07,99.07,97.09,97.12,1025200,ABC
12/11/20,98.85,99.38,97.58,98.06,782475,ABC
12/10/20,100.49,101.565,99.29,99.37,886156,ABC
12/09/20,100.48,101.47,100.01,101.11,967900,ABC
12/08/20,99.02,100.99,98.37,100.43,979482,ABC
12/07/20,103.0,103.3,99.14,99.49,1197368,ABC
12/04/20,101.71,102.99,100.41,102.98,873229,ABC
12/03/20,102.74,103.11,100.89,101.5,772749,ABC
12/02/20,102.55,103.69,102.13,103.12,700316,ABC
12/01/20,103.85,104.43,101.8875,102.19,999082,ABC
11/30/20,103.72,104.515,102.47,103.11,1223247,ABC
11/27/20,103.29,103.81,102.5401,103.2,309792,ABC
11/25/20,103.39,103.94,101.49,103.11,760265,ABC
11/24/20,101.0,103.8,100.31,103.1,1212284,ABC
11/23/20,101.28,101.84,100.08,100.48,1474349,ABC
11/20/20,101.44,101.78,99.74,100.46,949240,ABC
11/19/20,102.65,102.91,100.4,101.9,1481148,ABC
11/18/20,105.63,107.75,103.39,103.44,898406,ABC
11/17/20,106.0,108.08,104.31,104.89,2333132,ABC
11/16/20,109.08,110.56,107.7701,109.01,997181,ABC
11/13/20,106.28,109.03,106.28,108.12,705750,ABC
11/12/20,106.71,107.51,105.15,106.1,775129,ABC
11/11/20,110.41,111.25,107.035,107.33,879412,ABC
11/10/20,106.95,111.0134,106.5,110.08,1121797,ABC
11/09/20,108.42,109.65,104.1,106.26,1079876,ABC
11/06/20,105.26,106.44,103.77,103.95,909553,ABC
11/05/20,106.1,109.62,104.005,105.42,1360984,ABC
11/04/20,103.0,107.37,102.78,104.99,1722545,ABC
11/03/20,100.14,102.9899,100.14,102.15,1215800,ABC
11/02/20,97.36,99.62,95.71,98.94,1519289,ABC
10/30/20,94.08,96.48,94.03,96.07,1218750,ABC
10/29/20,95.01,95.4,92.235,94.59,1297273,ABC
10/28/20,96.22,97.45,95.63,95.7,1842619,ABC
10/27/20,98.55,99.77,97.58,97.65,745893,ABC
10/26/20,98.57,98.75,97.07,98.37,846262,ABC
10/23/20,99.3,99.7,98.54,99.38,537894,ABC
10/22/20,97.9,98.92,97.22,98.72,619420,ABC
10/21/20,97.75,100.22,97.73,97.73,829482,ABC
10/20/20,98.17,99.0,97.395,97.99,726093,ABC
10/19/20,99.53,100.715,97.18,97.8,527387,ABC
10/16/20,99.6,100.61,98.9,99.52,1200554,ABC
10/15/20,97.89,100.61,97.25,99.35,1270562,ABC
10/14/20,97.04,99.31,97.04,98.44,737251,ABC
10/13/20,96.18,97.55,95.59,97.27,703303,ABC
10/12/20,97.38,97.6,96.45,96.86,816405,ABC
10/09/20,98.9,98.99,96.57,96.86,759872,ABC
10/08/20,96.1,98.98,95.82,98.49,1009416,ABC
10/07/20,96.02,96.45,95.56,95.59,727966,ABC
10/06/20,97.15,97.72,95.46,95.63,859543,ABC
10/05/20,95.77,97.01,94.8,96.39,711279,ABC
10/02/20,94.05,96.55,93.96,95.38,644464,ABC
10/01/20,97.32,97.6265,94.73,95.36,730587,ABC
09/30/20,96.18,97.85,95.69,96.92,1042729,ABC
09/29/20,97.47,97.58,95.92,96.16,691224,ABC
09/28/20,97.75,98.76,96.79,97.58,680839,ABC
09/25/20,94.2,97.07,94.2,96.8,822094,ABC
09/24/20,94.19,95.94,92.0,94.66,1070316,ABC
09/23/20,95.62,96.0,94.05,94.14,601518,ABC
09/22/20,95.69,96.125,94.81,95.26,651281,ABC
09/21/20,95.73,96.13,94.02,95.82,696043,ABC
09/18/20,96.62,97.375,95.965,96.83,1585071,ABC
09/17/20,95.67,96.92,94.67,96.81,722324,ABC
09/16/20,95.61,97.96,94.99,96.79,1033912,ABC
09/15/20,94.88,96.08,94.33,94.9,919571,ABC
09/14/20,94.5,95.065,92.6406,94.6,1131587,ABC
09/11/20,94.85,94.9,92.84,94.08,677762,ABC
09/10/20,96.41,96.77,94.23,94.27,1134864,ABC
09/09/20,95.83,96.85,94.82,96.2,801781,ABC
09/08/20,96.51,96.72,94.9,95.36,997371,ABC
09/04/20,97.5,97.66,95.49,96.6,731182,ABC
09/03/20,98.77,100.09,96.69,97.58,1312764,ABC
09/02/20,94.35,98.79,94.35,98.29,1688164,ABC
09/01/20,97.45,97.75,93.165,94.3,1055933,ABC
08/31/20,96.97,97.93,96.96,97.03,949962,ABC
08/28/20,98.0,98.56,97.24,97.55,687940,ABC
08/27/20,97.72,98.97,96.33,98.13,651121,ABC
08/26/20,97.92,98.01,96.3104,97.66,776038,ABC
08/25/20,97.93,98.28,97.02,98.28,811183,ABC
08/24/20,99.31,99.31,96.265,97.57,867387,ABC
08/21/20,99.0,99.02,97.17,98.15,1041169,ABC
08/20/20,101.72,102.2,99.04,99.04,998421,ABC
08/19/20,102.5,103.01,101.63,101.71,512255,ABC
08/18/20,104.0,104.4,102.415,102.84,763688,ABC
08/17/20,104.21,104.28,103.1,103.42,531804,ABC
08/14/20,101.94,104.25,101.6,103.75,684627,ABC
08/13/20,103.11,103.11,101.3522,102.73,554911,ABC
08/12/20,101.85,104.1,101.85,103.55,629885,ABC
08/11/20,103.45,103.9,101.06,101.38,788496,ABC
08/10/20,102.26,103.74,101.65,103.04,745146,ABC
08/07/20,101.25,102.2,100.53,102.1,739634,ABC
08/06/20,103.71,103.81,100.95,101.61,831146,ABC
08/05/20,104.0,106.45,103.11,103.5,1448733,ABC
08/04/20,104.0,105.21,102.98,104.7,1122954,ABC
08/03/20,100.81,104.86,100.81,104.48,1202612,ABC
07/31/20,102.01,102.015,98.69,100.19,843972,ABC
07/30/20,102.17,102.49,101.11,102.17,645703,ABC
07/29/20,102.6,103.82,101.3,103.31,622960,ABC
07/28/20,104.0,104.54,101.93,102.11,670243,ABC
07/27/20,103.38,104.365,102.54,104.0,564593,ABC
07/24/20,104.42,104.875,103.41,103.76,668514,ABC
07/23/20,103.76,104.93,103.63,104.03,635153,ABC
07/22/20,103.85,104.3,102.62,103.81,715259,ABC
07/21/20,102.27,104.25,102.21,104.15,1126023,ABC
07/20/20,104.4,104.87,101.68,102.19,739523,ABC
07/17/20,103.31,105.08,102.79,104.45,2771284,ABC
07/16/20,101.82,103.33,101.05,102.74,955470,ABC
