Date, Open, High, Low, Close, Volume,ticker
12/24/20,499.16,503.01,497.28,499.86,589182,ADBE
12/23/20,505.13,505.46,496.59,496.91,1428583,ADBE
12/22/20,498.36,506.92,495.83,504.17,1701985,ADBE
12/21/20,498.05,502.0,491.5,498.39,2412884,ADBE
12/18/20,497.61,504.07,493.57,502.95,4667387,ADBE
12/17/20,493.0,496.99,490.63,495.36,2178354,ADBE
12/16/20,485.0,491.5,484.11,489.9,2555596,ADBE
12/15/20,489.05,489.5,480.53,482.64,2559319,ADBE
12/14/20,475.61,488.41,475.5,486.42,3945198,ADBE
12/11/20,475.975,478.89,468.82,475.91,3561554,ADBE
12/10/20,483.74,488.29,470.95,476.87,3922009,ADBE
12/09/20,496.03,497.0,479.26,483.74,3449121,ADBE
12/08/20,492.29,496.04,486.2001,495.28,2175673,ADBE
12/07/20,487.0,499.29,487.0,492.25,3441683,ADBE
12/04/20,485.67,491.3899,484.3601,486.0,2749793,ADBE
12/03/20,482.21,492.81,481.5,484.28,3062675,ADBE
12/02/20,475.67,481.32,470.12,481.26,2107080,ADBE
12/01/20,482.01,482.01,471.6328,479.15,2533070,ADBE
11/30/20,480.0,480.86,469.2,478.47,2786955,ADBE
11/27/20,476.9,482.405,474.86,477.03,1815490,ADBE
11/25/20,466.29,472.525,464.845,470.08,2634472,ADBE
11/24/20,461.41,464.49,456.6778,462.7,2588241,ADBE
11/23/20,464.63300000000004,467.0,456.17,460.61,2371433,ADBE
11/20/20,465.16,470.0,462.36,462.92,1851107,ADBE
11/19/20,460.0,471.04,459.26,466.41,3132704,ADBE
11/18/20,466.71,467.9,459.26,459.47,2063159,ADBE
11/17/20,461.66,469.9099,460.0,467.95,2407597,ADBE
11/16/20,460.43,469.53,458.2501,460.95,2522187,ADBE
11/13/20,467.45,470.6,459.0,469.34,2966003,ADBE
11/12/20,473.49,474.93300000000005,461.15,462.58,2115319,ADBE
11/11/20,458.49,470.12,457.5,467.75,2634159,ADBE
11/10/20,466.72,468.01,446.0,452.0,4920340,ADBE
11/09/20,494.69599999999997,499.41,470.76,471.14,3625298,ADBE
11/06/20,494.95,498.72,483.0,494.63,1956305,ADBE
11/05/20,499.27,502.53,489.8,496.47,2400994,ADBE
11/04/20,477.93,494.94,474.47,487.23,4524341,ADBE
11/03/20,448.99,457.844,445.67,454.02,1758640,ADBE
11/02/20,451.0,456.185,438.94,444.94,2479005,ADBE
