Date, Open, High, Low, Close, Volume,ticker
12/24/20,144.11,144.48,143.01,144.47,466385,ADI
12/23/20,144.8,145.62,143.08,143.22,2200941,ADI
12/22/20,142.73,144.68,142.67,144.28,2163678,ADI
12/21/20,141.73,143.39,141.31,142.59,1827363,ADI
12/18/20,144.38,145.0,143.44,144.56,4230799,ADI
12/17/20,143.55,143.87,142.61,143.78,2354186,ADI
12/16/20,144.76,144.76,141.57,142.8,1583312,ADI
12/15/20,145.26,145.26,143.49,144.06,2554459,ADI
12/14/20,142.06,143.93,141.655,142.33,2214406,ADI
12/11/20,140.04,142.055,139.49,141.15,3215957,ADI
12/10/20,140.57,142.67,140.14,141.28,2704351,ADI
12/09/20,145.4,146.3075,140.91,141.78,3019527,ADI
12/08/20,143.25,146.31,143.21,146.13,2837482,ADI
12/07/20,144.68,144.68,142.5,143.71,1734467,ADI
12/04/20,139.75,144.14,139.21,143.97,3349071,ADI
12/03/20,140.58,141.4225,139.33,139.75,1734072,ADI
12/02/20,140.71,141.64,140.07,140.66,2193004,ADI
12/01/20,140.0,141.91,138.81,140.73,3161120,ADI
11/30/20,137.65,139.3241,137.1,139.08,3010588,ADI
11/27/20,138.12,138.55,137.235,137.75,1305724,ADI
11/25/20,136.61,137.95,134.9601,135.95,2040208,ADI
11/24/20,137.69,137.92,132.84,136.89,4678146,ADI
11/23/20,135.28,137.34,135.18,137.07,2884170,ADI
11/20/20,136.62,136.91,134.68,134.88,2295742,ADI
11/19/20,131.66,136.23,131.5,136.17,2473972,ADI
11/18/20,135.95,136.51,132.97,133.23,2359399,ADI
11/17/20,136.99,137.455,135.15,135.87,2978125,ADI
11/16/20,137.78,140.17,136.81,138.01,3433233,ADI
11/13/20,137.43,137.93,135.68,136.27,2220393,ADI
11/12/20,137.35,137.69,134.39,135.48,2013556,ADI
11/11/20,135.56,138.64,135.56,137.38,2515248,ADI
11/10/20,135.0,136.86,133.9,134.78,4742619,ADI
11/09/20,138.56,140.38,135.7,135.82,5151081,ADI
11/06/20,130.98,133.78,130.0,133.5,3814632,ADI
11/05/20,127.45,130.95,126.86,130.4,3753271,ADI
11/04/20,122.39,126.38,121.02,125.94,3765494,ADI
11/03/20,119.5,121.305,119.27,119.75,2549906,ADI
11/02/20,120.14,120.14,117.62,118.48,2445333,ADI
10/30/20,117.31,118.66,116.33,118.53,3099150,ADI
10/29/20,116.23,119.45,115.639,118.48,2680256,ADI
10/28/20,118.9,119.54,116.2,116.47,3387212,ADI
10/27/20,121.59,122.2,120.23,120.29,2475120,ADI
10/26/20,123.38,123.65,119.81,121.13,2186233,ADI
10/23/20,125.22,125.645,123.45,124.2,2304076,ADI
10/22/20,124.56,125.14,122.92,124.75,2070506,ADI
10/21/20,124.08,125.81,123.0,124.76,3992787,ADI
10/20/20,122.96,124.52,122.49,123.62,2898904,ADI
10/19/20,124.62,125.26,122.325,122.61,2390888,ADI
10/16/20,124.75,125.82,123.54,123.64,2232510,ADI
10/15/20,121.44,124.56,120.9,123.98,2033103,ADI
10/14/20,123.71,124.19,122.49,123.04,1494931,ADI
10/13/20,126.35,126.49,123.32,123.59,2439601,ADI
10/12/20,124.72,126.32,124.01,126.11,3053145,ADI
