Date, Open, High, Low, Close, Volume,ticker
12/24/20,75.85,76.55,75.65,76.47,462903,AEE
12/23/20,76.8,77.17,75.54,75.72,1226295,AEE
12/22/20,77.0,77.09,75.755,76.55,1680643,AEE
12/21/20,77.61,78.32,76.37,77.08,1395848,AEE
12/18/20,78.67,79.5,78.42,78.86,2410151,AEE
12/17/20,78.36,79.66,78.09,78.74,1692146,AEE
12/16/20,79.0,79.64,77.59,78.0,1326559,AEE
12/15/20,77.48,79.25,76.95,78.73,1419770,AEE
12/14/20,77.77,78.6,76.75,77.24,1368174,AEE
12/11/20,76.97,77.64,76.65,77.47,1172969,AEE
12/10/20,77.71,78.15,76.68,77.34,1105731,AEE
12/09/20,77.22,78.01,76.97,77.8,1449754,AEE
12/08/20,77.08,78.22,76.82,77.26,1723956,AEE
12/07/20,76.93,78.21,76.76,78.2,1638014,AEE
12/04/20,77.74,78.2,76.44,77.08,1123095,AEE
12/03/20,78.2,78.445,77.57,77.91,1122239,AEE
12/02/20,78.11,78.56,77.01,78.49,914137,AEE
12/01/20,78.3,79.25,77.83,78.51,1246076,AEE
11/30/20,78.76,78.77,77.57,77.78,1418833,AEE
11/27/20,80.4,80.54,78.93,78.99,438661,AEE
11/25/20,79.2,80.59,79.0,80.58,1657694,AEE
11/24/20,79.67,79.9,78.46,79.07,3116140,AEE
11/23/20,78.61,79.48,78.345,79.3,2356419,AEE
11/20/20,78.65,79.39,78.26,78.45,1358445,AEE
11/19/20,78.98,79.27,77.61,78.35,1536392,AEE
11/18/20,81.89,81.89,78.78,79.06,2428495,AEE
11/17/20,83.66,83.66,80.57,80.6,2013264,AEE
11/16/20,83.37,84.46,82.32,84.33,2218390,AEE
11/13/20,81.43,82.87,81.34,82.12,1467446,AEE
11/12/20,82.18,82.9,80.79,81.34,1654681,AEE
11/11/20,82.8,83.36,81.95,82.37,1724671,AEE
11/10/20,83.09,83.81,82.42,82.46,1521302,AEE
11/09/20,85.37,86.9,82.75,83.04,1967448,AEE
11/06/20,82.2,82.98,81.45,81.85,1262485,AEE
11/05/20,84.1,84.71,81.55,82.47,1692421,AEE
11/04/20,84.02,85.59,83.41,83.45,1209182,AEE
11/03/20,84.22,85.25,83.58,84.32,854745,AEE
11/02/20,81.99,83.27,81.55,83.21,1109704,AEE
10/30/20,80.94,82.23,80.37,81.12,1330350,AEE
10/29/20,81.17,82.45,79.91,81.34,890589,AEE
10/28/20,83.11,84.16,81.27,81.37,1131517,AEE
10/27/20,84.23,85.43,83.94,84.19,1381101,AEE
10/26/20,82.71,84.1,82.225,84.06,1027036,AEE
10/23/20,83.57,83.58,82.68,83.39,1026611,AEE
10/22/20,82.17,83.18,81.8,83.03,535423,AEE
10/21/20,82.27,83.2,81.79,82.29,868071,AEE
10/20/20,82.19,82.72,81.32,82.14,916025,AEE
10/19/20,82.4,82.84,81.215,81.64,795934,AEE
10/16/20,81.26,82.67,81.16,82.39,953457,AEE
10/15/20,80.56,81.9,80.36,81.15,636905,AEE
10/14/20,81.24,81.65,80.94,81.35,698193,AEE
10/13/20,81.8,81.8,79.87,81.15,1115137,AEE
10/12/20,82.11,83.4,82.05,82.54,816342,AEE
10/09/20,81.83,82.53,81.32,82.05,971008,AEE
10/08/20,81.18,81.75,80.72,81.73,1199667,AEE
10/07/20,81.51,81.8649,80.05,80.69,963716,AEE
10/06/20,80.71,82.03,79.83,81.3,1216565,AEE
10/05/20,79.85,81.06,78.82,80.72,1066570,AEE
10/02/20,79.44,80.715,78.96,79.81,900613,AEE
10/01/20,79.17,80.21,79.06,79.86,1060789,AEE
09/30/20,79.3,79.91,78.53,79.08,1444914,AEE
09/29/20,78.83,79.37,78.5,79.02,898240,AEE
09/28/20,78.97,79.37,78.08,78.42,713509,AEE
09/25/20,76.51,78.3,76.18,78.21,764681,AEE
09/24/20,75.78,77.08,75.28,76.7,794241,AEE
09/23/20,77.12,77.54,75.53,75.61,995344,AEE
09/22/20,76.56,77.94,76.55,77.06,1152865,AEE
09/21/20,75.76,77.165,75.27,76.62,1660807,AEE
09/18/20,77.43,78.08,76.85,76.86,2281076,AEE
09/17/20,77.33,77.77,76.59,77.62,1123147,AEE
09/16/20,77.48,78.85,77.35,77.94,1193658,AEE
09/15/20,77.24,78.38,76.88,77.5,1068404,AEE
09/14/20,76.96,77.8,76.65,76.98,936784,AEE
09/11/20,76.71,76.83,75.84,76.6,959509,AEE
09/10/20,78.11,78.59,76.29,76.46,898366,AEE
09/09/20,77.93,79.625,77.705,78.38,1365693,AEE
09/08/20,78.43,78.43,76.62,77.4,984257,AEE
09/04/20,79.18,79.61,77.85,78.96,1084653,AEE
09/03/20,80.7,81.18,78.34,79.1,1155891,AEE
09/02/20,78.54,80.615,78.135,80.23,1495694,AEE
09/01/20,79.11,79.11,77.66,78.48,665144,AEE
08/31/20,78.29,79.31,78.17,79.11,1122832,AEE
08/28/20,79.39,79.39,78.03,78.66,735577,AEE
08/27/20,78.85,79.34,78.34,78.93,716613,AEE
08/26/20,79.15,79.15,77.65,78.44,1305583,AEE
08/25/20,81.54,81.63,79.49,79.6,1259575,AEE
08/24/20,81.1,81.31,80.17,81.25,837051,AEE
08/21/20,80.84,80.94,79.44,80.72,880318,AEE
08/20/20,80.7,81.33,80.13,80.47,816000,AEE
