Date, Open, High, Low, Close, Volume,ticker
12/24/20,43.67,43.93,43.38,43.84,1383510,AFL
12/23/20,43.42,43.9025,43.14,43.53,5450726,AFL
12/22/20,43.6,43.75,43.0,43.03,4044749,AFL
12/21/20,43.77,43.87,42.73,43.59,4155882,AFL
12/18/20,44.84,45.15,43.52,43.89,10298640,AFL
12/17/20,44.85,45.0,44.47,44.81,3037290,AFL
12/16/20,44.99,45.23,44.52,44.68,3282374,AFL
12/15/20,44.83,45.095,44.19,44.87,2957961,AFL
12/14/20,45.49,45.57,44.185,44.2,3198226,AFL
12/11/20,44.69,45.06,44.52,44.84,3314639,AFL
12/10/20,44.6,45.51,44.56,45.35,2881213,AFL
12/09/20,45.54,45.67,44.96,45.12,3842799,AFL
12/08/20,44.91,45.55,44.6,45.24,3426582,AFL
12/07/20,46.0,46.0,45.04,45.17,3582220,AFL
12/04/20,45.41,46.35,45.3,46.29,4836261,AFL
12/03/20,45.27,45.74,45.13,45.69,2917818,AFL
12/02/20,44.55,45.545,44.29,45.31,3684538,AFL
12/01/20,44.94,45.13,44.4,44.7,4043134,AFL
11/30/20,44.79,45.19,43.91,43.93,5918315,AFL
11/27/20,45.16,46.125,45.16,45.28,2073597,AFL
11/25/20,45.65,45.84,45.04,45.61,4127893,AFL
11/24/20,45.4,46.43,44.75,46.13,5006381,AFL
11/23/20,44.38,44.87,44.18,44.45,4779684,AFL
11/20/20,43.44,43.98,43.32,43.85,4462076,AFL
11/19/20,42.63,43.74,42.52,43.72,3475489,AFL
11/18/20,43.1,43.96,42.85,42.86,5550996,AFL
11/17/20,42.58,43.365,42.23,43.0,4739526,AFL
11/16/20,42.75,43.26,42.24,43.23,5341114,AFL
11/13/20,40.75,41.825,40.5,41.52,2908269,AFL
11/12/20,40.3,40.77,39.745,40.31,3908331,AFL
11/11/20,41.84,41.92,40.655,40.88,4186344,AFL
11/10/20,41.49,42.3,41.14,41.85,4886942,AFL
11/09/20,40.27,42.23,39.17,41.49,7856405,AFL
11/06/20,37.23,37.64,36.65,36.9,3970272,AFL
11/05/20,36.84,37.54,36.6,37.2,5234023,AFL
11/04/20,35.65,37.195,35.28,36.53,5122458,AFL
11/03/20,36.19,36.54,35.995,36.24,5029014,AFL
11/02/20,34.59,35.65,34.22,35.52,4717968,AFL
10/30/20,33.97,34.42,33.365,33.95,5321251,AFL
10/29/20,34.21,34.605,33.59,34.22,4621271,AFL
10/28/20,35.84,36.28,34.01,34.15,6813520,AFL
10/27/20,36.68,36.69,35.35,35.36,3849395,AFL
10/26/20,37.39,37.42,36.34,36.77,2998296,AFL
10/23/20,37.77,38.0335,37.45,37.85,2501492,AFL
10/22/20,36.67,37.525,36.31,37.51,2311870,AFL
10/21/20,36.74,37.02,36.56,36.65,2760314,AFL
10/20/20,36.93,37.25,36.71,36.91,3219259,AFL
10/19/20,37.3,37.475,36.43,36.48,3208420,AFL
10/16/20,37.41,37.745,36.99,37.21,2630899,AFL
10/15/20,36.61,37.385,36.4,37.25,2443817,AFL
10/14/20,37.2,37.71,36.96,36.98,2635100,AFL
10/13/20,38.27,38.31,37.09,37.21,2579275,AFL
10/12/20,38.14,38.72,38.06,38.4,2163750,AFL
10/09/20,38.49,38.5496,37.935,38.1,2539597,AFL
10/08/20,38.21,38.6,37.93,38.24,2320013,AFL
10/07/20,37.73,38.4,37.59,37.91,3448492,AFL
10/06/20,37.83,38.465,37.215,37.37,4076880,AFL
10/05/20,37.33,37.74,37.14,37.43,3317325,AFL
10/02/20,35.99,37.15,35.69,36.88,2973975,AFL
10/01/20,36.38,36.7,35.9442,36.39,2482935,AFL
09/30/20,36.25,36.815,36.04,36.35,3922308,AFL
09/29/20,36.1,36.34,35.6,36.02,2908060,AFL
09/28/20,36.36,36.95,36.25,36.33,3502155,AFL
09/25/20,35.2,35.945,35.18,35.73,2923963,AFL
09/24/20,35.75,36.22,34.915,35.67,2932651,AFL
09/23/20,36.5,36.96,35.6,35.62,3137559,AFL
09/22/20,36.27,36.92,35.9719,36.37,3618086,AFL
09/21/20,37.08,37.4,35.93,36.41,5030576,AFL
09/18/20,37.49,38.4,37.41,37.8,17653180,AFL
09/17/20,36.96,37.64,36.59,37.62,3793300,AFL
09/16/20,36.76,37.735,36.61,37.21,3814761,AFL
09/15/20,37.12,37.24,36.51,36.69,3220616,AFL
09/14/20,36.99,37.47,36.6,37.07,3441385,AFL
09/11/20,36.28,36.8,36.02,36.39,3067099,AFL
09/10/20,37.14,37.55,36.17,36.21,3335943,AFL
09/09/20,37.25,37.55,36.98,37.04,3473750,AFL
09/08/20,37.89,38.0,36.805,36.94,5122072,AFL
09/04/20,37.63,38.07,36.845,37.86,5104274,AFL
09/03/20,37.38,38.29,36.65,36.94,5241224,AFL
09/02/20,36.64,37.46,36.5,36.9,3197778,AFL
09/01/20,36.0,37.12,35.9,36.7,3889479,AFL
08/31/20,37.2,37.2,36.27,36.32,3362331,AFL
08/28/20,37.22,37.23,36.68,37.13,3101982,AFL
08/27/20,36.46,37.3,36.37,36.88,2778885,AFL
08/26/20,36.84,36.86,36.39,36.45,2802666,AFL
08/25/20,37.78,37.895,36.92,37.1,2826299,AFL
08/24/20,36.59,37.42,36.42,37.38,2709416,AFL
08/21/20,36.75,36.97,36.34,36.42,2928357,AFL
08/20/20,36.45,36.95,36.41,36.66,2409816,AFL
08/19/20,36.99,37.4,36.85,37.03,2497413,AFL
08/18/20,37.37,37.71,37.07,37.14,2195003,AFL
08/17/20,37.93,38.19,37.31,37.46,2497596,AFL
08/14/20,37.48,38.245,37.37,38.07,2660868,AFL
08/13/20,37.11,37.75,36.95,37.75,3123014,AFL
08/12/20,38.94,38.94,37.335,37.62,3217667,AFL
08/11/20,38.26,38.755,37.89,38.03,3963196,AFL
08/10/20,36.68,37.645,36.67,37.47,3102326,AFL
08/07/20,35.15,36.57,35.12,36.52,2962994,AFL
08/06/20,35.29,35.895,35.17,35.41,3286132,AFL
08/05/20,35.3,36.12,35.26,35.55,2700933,AFL
08/04/20,35.25,35.57,35.015,35.06,4122049,AFL
08/03/20,35.58,35.8,35.24,35.36,2937658,AFL
07/31/20,35.14,35.65,35.03,35.57,4404151,AFL
07/30/20,35.62,35.76,34.96,35.29,4575864,AFL
07/29/20,36.34,36.62,35.69,36.5,3904790,AFL
