Date, Open, High, Low, Close, Volume,ticker
12/24/20,37.48,37.5,36.97,37.37,1613849,AIG
12/23/20,37.25,38.04,37.24,37.44,3890573,AIG
12/22/20,37.56,37.62,36.77,36.8,5375723,AIG
12/21/20,37.11,37.67,36.78,37.37,5341670,AIG
12/18/20,38.2,38.46,36.97,37.48,9293042,AIG
12/17/20,38.32,38.35,37.83,38.23,5233236,AIG
12/16/20,38.76,38.77,38.075,38.32,3691213,AIG
12/15/20,38.48,38.865,37.645,38.54,3293874,AIG
12/14/20,39.3,39.37,38.08,38.16,3942023,AIG
12/11/20,38.83,39.17,38.555,38.79,5299338,AIG
12/10/20,39.28,39.94,39.06,39.71,4716313,AIG
12/09/20,39.91,40.29,39.56,39.94,5388430,AIG
12/08/20,39.28,39.95,39.1821,39.52,3322919,AIG
12/07/20,40.28,40.34,39.57,39.79,4478460,AIG
12/04/20,40.25,40.81,40.15,40.69,4597849,AIG
12/03/20,39.67,40.27,39.52,39.84,4581263,AIG
12/02/20,39.06,39.885,38.76,39.73,5175400,AIG
12/01/20,39.5,39.78,39.085,39.31,6245868,AIG
11/30/20,39.1,39.61,38.4,38.44,6426052,AIG
11/27/20,39.95,40.16,39.45,39.71,2046833,AIG
11/25/20,40.27,40.5,39.705,40.12,3811111,AIG
11/24/20,40.79,41.57,40.27,40.98,6017863,AIG
11/23/20,39.38,39.95,38.81,39.77,4761410,AIG
11/20/20,38.65,38.86,38.0,38.61,5572862,AIG
11/19/20,37.99,38.6,37.47,38.54,4225237,AIG
11/18/20,38.25,39.36,38.03,38.55,6265071,AIG
11/17/20,37.84,38.6982,37.66,38.42,4627031,AIG
11/16/20,38.59,38.68,37.92,38.49,6015438,AIG
11/13/20,36.46,37.41,36.29,37.32,5078955,AIG
11/12/20,37.03,37.03,35.55,36.06,6849605,AIG
11/11/20,37.86,37.91,36.735,37.35,7211292,AIG
11/10/20,37.89,38.6,37.24,38.23,10214040,AIG
11/09/20,36.96,38.63,36.51,37.52,13776350,AIG
11/06/20,34.04,35.5,32.76,33.16,8329979,AIG
11/05/20,31.83,33.6,31.82,33.43,6467355,AIG
11/04/20,32.33,32.61,31.28,31.59,5424367,AIG
11/03/20,32.95,33.19,32.71,32.89,7168893,AIG
11/02/20,32.25,32.735,31.9,32.45,7279099,AIG
10/30/20,31.08,31.765,30.77,31.49,6373919,AIG
10/29/20,30.0,31.42,29.71,31.29,7436512,AIG
10/28/20,30.42,30.97,29.89,30.23,8129382,AIG
10/27/20,33.28,33.29,31.15,31.16,12065720,AIG
10/26/20,31.87,31.91,30.74,31.26,6021603,AIG
10/23/20,32.4,32.64,31.75,32.38,4375619,AIG
10/22/20,31.54,32.15,31.22,32.01,5412032,AIG
10/21/20,30.58,31.84,30.5,31.67,6869516,AIG
10/20/20,30.45,31.23,30.4,30.65,5481541,AIG
10/19/20,30.41,30.83,30.02,30.09,5425918,AIG
10/16/20,30.01,30.66,29.71,30.29,4893989,AIG
10/15/20,29.16,29.98,29.12,29.96,3554599,AIG
10/14/20,29.79,30.36,29.53,29.65,6996235,AIG
10/13/20,30.17,30.28,29.49,29.82,7574044,AIG
10/12/20,29.87,30.63,29.76,30.46,7711575,AIG
10/09/20,30.43,30.57,29.75,29.95,8058396,AIG
10/08/20,29.81,30.48,29.35,30.26,5610883,AIG
10/07/20,29.28,29.68,28.955,29.56,4976689,AIG
10/06/20,29.4,29.98,28.925,28.98,8161497,AIG
10/05/20,28.77,29.42,28.58,29.05,5326077,AIG
10/02/20,27.19,28.48,27.07,28.22,4558290,AIG
10/01/20,27.56,28.01,27.305,27.72,5155535,AIG
09/30/20,27.42,27.94,27.25,27.53,5338698,AIG
09/29/20,27.54,27.645,26.9601,27.29,4282412,AIG
09/28/20,27.66,28.035,27.42,27.63,7610414,AIG
09/25/20,26.13,27.15,26.12,27.07,4886954,AIG
09/24/20,26.4,27.09,25.57,26.48,5686893,AIG
09/23/20,27.47,28.12,26.4,26.43,6986734,AIG
09/22/20,26.95,27.72,26.85,27.34,10055240,AIG
09/21/20,27.14,27.41,26.51,26.98,11872540,AIG
09/18/20,28.5,28.987,27.92,27.99,13427430,AIG
09/17/20,29.21,29.45,28.61,28.7,11420780,AIG
09/16/20,28.76,30.06,28.59,29.77,10803410,AIG
09/15/20,29.36,29.81,28.92,28.93,6438636,AIG
09/14/20,28.77,29.6,28.6,29.4,6255218,AIG
09/11/20,28.22,28.79,28.075,28.4,8491923,AIG
09/10/20,29.27,29.58,28.03,28.16,7754922,AIG
09/09/20,29.16,29.25,28.43,29.15,7432367,AIG
09/08/20,29.38,29.55,28.57,28.89,7124724,AIG
09/04/20,30.0,30.22,29.25,29.8,5783255,AIG
09/03/20,30.0,30.96,29.23,29.4,7003866,AIG
09/02/20,29.27,29.86,28.73,29.83,6534012,AIG
09/01/20,28.87,29.36,28.67,29.15,4930493,AIG
08/31/20,29.25,29.33,28.71,29.14,7539768,AIG
08/28/20,30.12,30.12,29.23,29.37,6036638,AIG
08/27/20,29.1,30.05,29.09,29.68,4973676,AIG
08/26/20,29.46,29.51,28.74,29.06,3738832,AIG
08/25/20,29.99,30.2,29.26,29.52,4134587,AIG
08/24/20,28.52,29.57,28.28,29.55,5511071,AIG
08/21/20,29.11,29.27,28.23,28.27,7366527,AIG
08/20/20,29.37,29.63,29.085,29.13,4702191,AIG
08/19/20,29.5,30.05,29.31,29.86,4870435,AIG
08/18/20,30.06,30.2,29.49,29.58,7880805,AIG
08/17/20,30.89,30.9,29.85,29.96,5643390,AIG
08/14/20,30.38,31.42,30.23,30.99,4862862,AIG
08/13/20,30.51,30.93,30.12,30.71,6252170,AIG
08/12/20,32.52,32.65,30.59,30.94,6706205,AIG
08/11/20,32.64,32.9,31.75,31.98,6370771,AIG
08/10/20,31.0,31.67,30.98,31.46,4596443,AIG
08/07/20,29.17,30.665,28.97,30.66,6015195,AIG
08/06/20,30.4,30.9,29.28,29.32,9162819,AIG
08/05/20,30.0,30.56,29.81,30.18,7385397,AIG
08/04/20,31.06,31.31,29.46,29.72,17448391,AIG
08/03/20,32.21,32.69,32.03,32.14,5834943,AIG
07/31/20,31.71,32.15,31.4,32.14,6245205,AIG
07/30/20,31.74,31.95,31.07,31.78,7075836,AIG
07/29/20,30.88,32.93,30.88,32.67,10100380,AIG
07/28/20,30.6,31.275,30.39,30.95,5220661,AIG
07/27/20,31.1,31.15,30.4,30.85,5143729,AIG
07/24/20,31.89,32.05,31.2,31.31,3960874,AIG
07/23/20,31.95,32.38,31.66,31.87,4965011,AIG
07/22/20,31.58,32.3,31.42,32.19,5729599,AIG
07/21/20,31.72,32.3299,31.46,31.96,4619147,AIG
07/20/20,31.99,32.02,31.4,31.41,4364450,AIG
07/17/20,32.71,32.86,31.77,32.12,4336775,AIG
07/16/20,31.35,33.04,31.18,32.56,6855099,AIG
07/15/20,31.72,32.02,31.09,31.77,6813399,AIG
07/14/20,29.87,30.82,29.38,30.79,5494573,AIG
07/13/20,30.3,30.67,29.6,29.72,6132206,AIG
07/10/20,28.22,30.13,28.06,30.1,7443529,AIG
07/09/20,29.71,29.78,27.98,28.0,7357036,AIG
