Date, Open, High, Low, Close, Volume,ticker
12/24/20,5.02,5.03,4.89,4.99,3520094.0,AIV
12/23/20,5.09,5.19,4.97,5.0,11468480.0,AIV
12/22/20,4.99,5.14,4.95,5.08,14404300.0,AIV
12/21/20,4.54,4.88,4.46,4.84,16641670.0,AIV
12/18/20,4.65,4.66,4.47,4.52,39961352.0,AIV
12/17/20,4.61,4.68,4.4,4.65,21873619.0,AIV
12/16/20,4.97,5.09,4.61,4.62,39657367.0,AIV
12/15/20,5.65,6.48,4.88,5.04,98335008.0,AIV
12/14/20,4.2421,4.3572,4.2378,4.34,4017264.0,AIV
12/11/20,4.34,4.4067,4.3346,4.3658,818409.0,AIV
12/10/20,4.3572,4.4121,4.3228,4.3873,1572520.0,AIV
12/09/20,4.4852,4.4992,4.3508,4.4110000000000005,983975.0,AIV
12/08/20,4.5154,4.538,4.4347,4.453,1344794.0,AIV
12/07/20,4.4239,4.6316,4.4013,4.5326,1932640.0,AIV
12/04/20,4.4885,4.5186,4.3615,4.4411,1570360.0,AIV
12/03/20,4.3292,4.4637,4.3169,4.4347,1634135.0,AIV
12/02/20,4.6004,4.6165,4.3303,4.368,5310411.0,AIV
12/01/20,4.07,4.2356,4.0205,4.2174,1661996.0,AIV
11/30/20,4.0856,4.1336,4.0257,4.043,1309950.7878351999,AIV
11/27/20,4.2122,4.2228,4.0896,4.1003,410158.310860859,AIV
11/25/20,4.2068,4.2248,4.1456,4.1962,1196811.54889402,AIV
11/24/20,4.2002,4.2828,4.1775,4.2228,1463562.48843331,AIV
11/23/20,4.1256,4.1789,4.091,4.1229,1630609.01431954,AIV
11/20/20,4.1096,4.1362,4.055,4.0816,1311598.3408011002,AIV
11/19/20,4.1442,4.2175,4.063,4.1083,966007.953723468,AIV
11/18/20,4.2868,4.3347,4.1722,4.1722,770360.231398814,AIV
11/17/20,4.2308,4.3374,4.2108,4.3014,820062.220160807,AIV
11/16/20,4.2974,4.3387,4.1749,4.2894,1285156.7309464,AIV
11/13/20,3.995,4.1656,3.995,4.1416,1413515.64422208,AIV
11/12/20,4.015,4.0497,3.8871,3.9751,1582382.55461083,AIV
11/11/20,3.9964,4.059,3.9098,4.0563,1877999.59126149,AIV
11/10/20,3.8259,4.039,3.8059,3.9711,1836135.59344757,AIV
11/09/20,3.7526,4.1256,3.7473,3.8339,2124729.53176908,AIV
11/06/20,3.5261,3.5621,3.4142,3.4449,1422204.0632451999,AIV
11/05/20,3.5581,3.5674,3.4995,3.5368,1461637.11281041,AIV
11/04/20,3.5967,3.6081,3.4875,3.5541,1471002.32074795,AIV
11/03/20,3.2969999999999997,3.6141,3.2824,3.5914,2872397.95155863,AIV
11/02/20,4.2828,4.3627,4.2348,4.2788,6774820.98105399,AIV
10/30/20,4.1189,4.3041,4.1043,4.2495,2600982.17577864,AIV
10/29/20,4.027,4.1229,3.9551,4.1083,1985662.33183905,AIV
10/28/20,4.1562,4.1602,3.9537,4.023,3597877.70949272,AIV
10/27/20,4.42,4.4919,4.2521,4.2535,1433805.58204674,AIV
10/26/20,4.4733,4.4893,4.352,4.4306,1745143.82753771,AIV
10/23/20,4.5825,4.6025,4.4959,4.5092,1177771.00540183,AIV
10/22/20,4.5345,4.5825,4.4813,4.5385,1216758.24651745,AIV
10/21/20,4.4626,4.5585,4.4293,4.5279,2438653.78931731,AIV
10/20/20,4.452,4.5599,4.444,4.4919,787039.363068945,AIV
10/19/20,4.6052,4.6171,4.3987,4.4027,712706.3767043441,AIV
10/16/20,4.6758,4.7077,4.5625,4.5812,469027.63967968203,AIV
10/15/20,4.6944,4.7557,4.6771,4.6944,502426.930319291,AIV
10/14/20,4.7357,4.7703,4.6678,4.7171,399895.025032104,AIV
