Date, Open, High, Low, Close, Volume,ticker
12/24/20,108.5975,108.5975,106.43,107.46,410331,AKAM
12/23/20,106.95,108.21,106.8,107.06,1051280,AKAM
12/22/20,106.77,106.77,105.34,106.64,1298646,AKAM
12/21/20,107.21,107.58,104.58,105.98,1288228,AKAM
12/18/20,106.06,107.35,105.01,107.08,2678127,AKAM
12/17/20,104.98,106.08,104.46,105.61,1601191,AKAM
12/16/20,104.24,106.13,104.0,104.52,1392507,AKAM
12/15/20,103.39,104.18,102.77,103.87,953126,AKAM
12/14/20,104.43,105.31,103.22,103.27,1414013,AKAM
12/11/20,103.0,104.28,102.5,103.53,1110303,AKAM
12/10/20,103.62,104.12,102.56,103.41,2501607,AKAM
12/09/20,104.02,105.1,103.125,104.43,1509174,AKAM
12/08/20,102.83,104.665,102.68,104.1,1076991,AKAM
12/07/20,103.82,104.75,102.5078,102.78,1115019,AKAM
12/04/20,103.325,105.21,103.325,104.19,1370244,AKAM
12/03/20,103.05,104.5,102.5,104.09,727612,AKAM
12/02/20,103.4,104.45,102.46,103.46,1083871,AKAM
12/01/20,103.17,104.36,101.955,104.21,1768912,AKAM
11/30/20,104.46,104.46,103.06,103.51,2355350,AKAM
11/27/20,103.92,105.31,103.42,104.32,725172,AKAM
11/25/20,102.49,104.14,102.365,103.74,873374,AKAM
11/24/20,103.37,103.37,101.34,102.52,1460503,AKAM
11/23/20,101.88,103.05,101.13,102.81,940789,AKAM
11/20/20,102.0,104.155,102.0,102.32,1494342,AKAM
11/19/20,100.92,102.045,99.68,101.5,976784,AKAM
11/18/20,102.83,102.99,100.55,100.59,1189101,AKAM
11/17/20,102.03,103.19,100.79,102.45,1470500,AKAM
11/16/20,100.28,102.02,100.21,101.68,1003053,AKAM
11/13/20,98.74,101.775,98.73,101.53,2119962,AKAM
11/12/20,97.09,98.99,96.61,98.23,1722514,AKAM
11/11/20,98.32,99.115,96.8,97.2,1878197,AKAM
11/10/20,98.41,98.56,95.04,96.68,2129773,AKAM
11/09/20,101.48,102.78,99.2,99.27,2168581,AKAM
11/06/20,103.45,103.55,101.17,101.63,1070589,AKAM
11/05/20,101.98,103.38,101.16,102.71,1947905,AKAM
11/04/20,97.59,99.985,96.92,99.34,2134390,AKAM
11/03/20,97.08,97.94,95.18,95.67,1456144,AKAM
11/02/20,96.0,96.58,94.14,95.81,1487315,AKAM
10/30/20,95.23,96.645,94.12,95.12,2692152,AKAM
10/29/20,97.305,98.47,95.52,95.82,2961058,AKAM
10/28/20,101.175,102.2555,96.2418,97.4,6219027,AKAM
10/27/20,106.81,109.23,105.7,106.71,2525800,AKAM
10/26/20,105.693,107.98,104.54,106.06,1497546,AKAM
10/23/20,107.54,107.88,103.7616,106.75,2665789,AKAM
10/22/20,109.01,109.2,106.11,108.0,1489001,AKAM
10/21/20,109.76,110.045,107.8,109.02,1134530,AKAM
10/20/20,110.09,110.42,109.0,109.3,1004077,AKAM
10/19/20,111.49,112.66,109.07,109.41,1417357,AKAM
10/16/20,109.62,111.94,109.19,110.71,1527253,AKAM
10/15/20,110.0,111.03,108.22,109.05,2610309,AKAM
10/14/20,115.72,115.84,112.39,113.33,1369271,AKAM
10/13/20,113.844,115.79,113.56,115.46,1271392,AKAM
10/12/20,113.98,114.89,113.43,114.09,1033683,AKAM
10/09/20,111.42,112.87,111.305,112.53,671698,AKAM
10/08/20,110.15,111.66,110.15,111.08,749192,AKAM
10/07/20,108.2,109.88,108.2,109.68,1019900,AKAM
10/06/20,108.77,110.29,108.03,108.16,903673,AKAM
10/05/20,109.12,109.24,107.5,109.1,1230895,AKAM
10/02/20,108.62,110.0,108.12,108.61,910071,AKAM
10/01/20,110.95,111.44,108.91,109.93,1440468,AKAM
09/30/20,111.46,112.21,110.15,110.54,1099289,AKAM
09/29/20,110.64,111.98,110.5,111.21,808582,AKAM
09/28/20,112.01,112.12,109.18,110.97,1629911,AKAM
09/25/20,110.8,111.73,110.31,111.47,1145367,AKAM
09/24/20,108.94,111.6,108.5,110.47,949144,AKAM
09/23/20,112.46,112.67,109.97,110.08,1235385,AKAM
09/22/20,110.58,112.98,108.95,112.75,1176270,AKAM
09/21/20,107.88,110.24,107.4,110.16,1549723,AKAM
09/18/20,107.88,109.34,106.26,109.06,2284422,AKAM
09/17/20,104.94,106.95,104.1012,106.88,1223131,AKAM
09/16/20,109.54,109.65,106.87,107.07,1119998,AKAM
09/15/20,108.86,110.17,108.31,108.86,932003,AKAM
09/14/20,107.93,109.11,107.49,108.19,955328,AKAM
09/11/20,106.83,107.7964,105.585,106.49,1581845,AKAM
09/10/20,109.16,109.86,105.68,106.34,1694011,AKAM
09/09/20,106.21,109.385,105.45,108.94,1620682,AKAM
09/08/20,106.1,106.9,104.08,104.11,2184973,AKAM
09/04/20,112.56,113.55,107.52,108.43,2624750,AKAM
09/03/20,117.76,118.07,112.1,113.4,2400863,AKAM
09/02/20,119.58,120.0,117.04,119.57,2526716,AKAM
09/01/20,117.3,119.09,116.62,119.03,1936366,AKAM
08/31/20,115.61,116.85,115.13,116.43,1392978,AKAM
08/28/20,114.99,117.84,114.445,115.63,2028465,AKAM
08/27/20,112.83,114.71,112.38,114.06,1641949,AKAM
08/26/20,110.75,113.31,110.75,112.38,2178619,AKAM
08/25/20,111.03,111.6612,110.475,111.0,1377147,AKAM
08/24/20,110.91,112.7,109.55,110.87,1699388,AKAM
08/21/20,110.85,111.7799,110.0403,110.645,1692417,AKAM
08/20/20,108.73,110.78,108.62,110.35,1190340,AKAM
08/19/20,108.97,110.49,108.75,109.21,1134987,AKAM
08/18/20,108.34,109.18,107.64,108.73,950663,AKAM
08/17/20,107.97,109.16,107.76,107.87,975145,AKAM
08/14/20,109.47,109.57,107.305,107.9,948874,AKAM
08/13/20,106.88,109.93,106.88,109.23,1243568,AKAM
08/12/20,107.24,107.79,106.51,107.0,1040909,AKAM
08/11/20,108.0,108.63,105.8749,106.22,1711537,AKAM
08/10/20,109.1,109.435,107.53,107.87,1399995,AKAM
08/07/20,109.31,109.69,107.96,109.22,1697735,AKAM
08/06/20,110.6,110.71,108.6419,109.18,1235840,AKAM
08/05/20,111.94,111.94,109.99,110.73,1398504,AKAM
08/04/20,113.3,113.35,110.98,111.73,1325549,AKAM
08/03/20,112.85,113.53,111.75,112.98,1212010,AKAM
07/31/20,111.17,112.44,110.13,112.44,1183093,AKAM
07/30/20,109.11,111.36,108.01,110.5,1439564,AKAM
07/29/20,109.0,111.16,106.61,110.68,3854070,AKAM
07/28/20,114.68,114.95,111.72,111.99,2160329,AKAM
07/27/20,112.9,115.08,112.01,114.65,1143419,AKAM
07/24/20,111.4,112.838,110.29,111.74,998130,AKAM
07/23/20,114.52,115.56,112.08,112.69,1268741,AKAM
07/22/20,113.94,114.75,112.96,113.81,1140807,AKAM
07/21/20,115.69,115.7242,113.185,113.45,1122997,AKAM
07/20/20,112.94,115.86,112.81,115.24,1365029,AKAM
07/17/20,111.33,112.74,110.81,112.65,953635,AKAM
07/16/20,110.32,112.2,110.32,111.66,1369145,AKAM
07/15/20,111.78,113.65,111.11,112.78,2232832,AKAM
07/14/20,109.97,112.36,108.7,112.27,2089852,AKAM
07/13/20,115.12,115.235,109.81,109.94,1599939,AKAM
07/10/20,115.3,115.3,113.37,114.26,1262648,AKAM
07/09/20,113.29,114.8,112.59,114.22,1630355,AKAM
07/08/20,112.19,112.75,111.25,112.67,1557069,AKAM
07/07/20,112.5,113.35,110.91,110.98,1451322,AKAM
07/06/20,116.0,116.39,111.88,112.61,2911831,AKAM
07/02/20,109.98,114.37,109.14,113.12,4433879,AKAM
07/01/20,106.55,107.0,104.89,106.33,1746424,AKAM
06/30/20,105.38,107.53,105.11,107.09,1709684,AKAM
