Date, Open, High, Low, Close, Volume,ticker
12/24/20,149.9,150.37,148.285,149.64,487443,ALB
12/23/20,147.85,152.8165,147.26,149.91,1718165,ALB
12/22/20,143.44,147.99,142.65,146.27,1294228,ALB
12/21/20,135.78,142.18,135.41,142.02,1180913,ALB
12/18/20,137.5,139.29,137.05,138.9,2447707,ALB
12/17/20,137.24,137.97,134.15,137.48,1127710,ALB
12/16/20,138.69,139.99,135.5271,135.78,908785,ALB
12/15/20,136.77,138.22,135.01,137.94,1213623,ALB
12/14/20,140.56,141.0,134.25,134.57,1387340,ALB
12/11/20,140.15,141.94,136.61,138.65,962444,ALB
12/10/20,141.0,143.7,140.205,141.43,1102968,ALB
12/09/20,144.09,146.11,140.63,142.55,1444421,ALB
12/08/20,139.21,144.1199,138.2,143.95,893024,ALB
12/07/20,139.44,141.04,138.10399999999998,140.0,1122073,ALB
12/04/20,132.51,139.23,132.21,139.22,1158013,ALB
12/03/20,135.32,136.2302,130.76,131.72,1969304,ALB
12/02/20,134.82,136.0,132.16,135.25,1576145,ALB
12/01/20,137.5,138.19,134.82,135.88,1720148,ALB
11/30/20,137.25,137.5,134.16,135.97,1096108,ALB
11/27/20,136.42,138.19,136.26,137.66,531390,ALB
11/25/20,135.2,136.42,133.24,134.73,1126234,ALB
11/24/20,135.67,137.71,134.29,137.26,1428224,ALB
11/23/20,129.3,134.76,129.03,134.06,1406766,ALB
11/20/20,126.0,128.5,125.5,127.89,748670,ALB
11/19/20,126.01,126.49,122.45,125.8,1138470,ALB
11/18/20,127.95,130.21,126.53,126.54,871063,ALB
11/17/20,127.53,128.6,124.4,127.95,1904576,ALB
11/16/20,123.0,129.15,123.0,128.92,1526216,ALB
11/13/20,118.92,122.97,117.6863,122.48,1015274,ALB
11/12/20,117.5,120.69,116.64,118.64,839230,ALB
11/11/20,117.49,119.98,116.5,118.57,881920,ALB
11/10/20,116.0,118.3,113.07,117.93,1244231,ALB
11/09/20,114.95,120.8057,114.8,116.73,2138410,ALB
11/06/20,104.83,113.33,102.8,112.22,2609265,ALB
11/05/20,96.05,106.33,93.0001,105.5,3231818,ALB
11/04/20,97.52,97.52,93.1,93.43,1656973,ALB
11/03/20,96.75,98.28,96.34,97.62,971851,ALB
11/02/20,94.74,97.85,93.79,96.84,924893,ALB
10/30/20,92.94,94.06,90.86,93.21,1275018,ALB
10/29/20,90.5,94.57,90.23,93.77,819607,ALB
10/28/20,92.31,93.835,90.07,90.78,982107,ALB
10/27/20,95.34,96.87,94.75,95.18,987856,ALB
10/26/20,94.78,94.78,92.8372,94.48,952453,ALB
10/23/20,95.87,97.45,95.35,96.48,669238,ALB
10/22/20,95.58,96.1102,93.75,94.96,669265,ALB
10/21/20,95.27,97.29,94.6,95.87,793413,ALB
10/20/20,93.49,95.22,92.79,93.56,740640,ALB
10/19/20,93.34,94.51,92.22,92.57,641444,ALB
10/16/20,95.13,95.8299,93.4,93.42,655921,ALB
10/15/20,92.99,94.75,91.8,94.35,923286,ALB
10/14/20,92.76,95.34,91.85,94.59,1070562,ALB
10/13/20,94.35,95.585,93.91,95.14,863929,ALB
10/12/20,96.73,96.73,94.65,94.94,798190,ALB
10/09/20,98.1,99.13,95.66,96.03,767900,ALB
10/08/20,98.12,98.365,95.96,96.95,1133539,ALB
10/07/20,96.0,97.9869,95.6,96.69,1129205,ALB
10/06/20,96.28,96.9691,93.52,93.74,1381430,ALB
10/05/20,91.26,95.89,91.14,94.76,1598627,ALB
