Date, Open, High, Low, Close, Volume,ticker
12/24/20,528.14,529.2139,521.13,528.03,163674,ALGN
12/23/20,540.52,543.654,524.99,525.0,308168,ALGN
12/22/20,531.99,536.6,527.6,536.59,435619,ALGN
12/21/20,518.09,531.6049,513.34,530.71,449548,ALGN
12/18/20,533.01,535.0,521.65,529.92,896743,ALGN
12/17/20,522.0,527.25,516.95,526.72,536020,ALGN
12/16/20,511.08,520.38,510.27,516.34,399337,ALGN
12/15/20,511.8,519.06,502.6,516.3,347313,ALGN
12/14/20,510.9,522.34,502.31,504.31,426945,ALGN
12/11/20,507.0,509.5,498.255,507.08,305925,ALGN
12/10/20,506.89,511.32,499.5739,508.39,376775,ALGN
12/09/20,516.24,520.88,507.305,509.01,463665,ALGN
12/08/20,516.75,518.17,509.27,515.76,458105,ALGN
12/07/20,521.9,524.61,515.5,517.71,533199,ALGN
12/04/20,511.96,524.88,510.32,521.72,635242,ALGN
12/03/20,506.24,516.295,505.305,511.0,583547,ALGN
12/02/20,496.57,507.64,491.785,505.48,553171,ALGN
12/01/20,487.46,508.96,485.6,500.1,1162136,ALGN
11/30/20,472.4,483.8775,471.31,481.29,1113844,ALGN
11/27/20,470.92,477.17,468.14,475.5,249764,ALGN
11/25/20,470.69,474.6089,465.76,473.69,415826,ALGN
11/24/20,483.01,486.0,465.46,475.1,634034,ALGN
11/23/20,452.15,479.54,449.465,476.58,814684,ALGN
11/20/20,443.39,452.565,439.86,446.45,560109,ALGN
11/19/20,443.54,447.14,439.71,441.35,408924,ALGN
11/18/20,449.06,455.15,442.87,444.61,509102,ALGN
11/17/20,452.0,456.405,444.75,451.38,516482,ALGN
11/16/20,463.24,466.75,450.89,457.17,481040,ALGN
11/13/20,455.77,461.17,452.25,457.26,421542,ALGN
11/12/20,455.72,464.85,449.03,452.76,621525,ALGN
11/11/20,464.7,469.59,456.475,461.78,544053,ALGN
11/10/20,484.48,484.48,457.605,464.32,742126,ALGN
11/09/20,501.0,507.05,476.79,476.99,957641,ALGN
11/06/20,490.45,491.5,476.12,477.85,664499,ALGN
11/05/20,486.47,498.6687,486.47,491.91,891119,ALGN
11/04/20,472.23,484.5,471.01,483.46,960321,ALGN
11/03/20,460.23,465.66,453.16,465.01,799466,ALGN
11/02/20,432.1,458.44,430.3683,458.44,1247300,ALGN
10/30/20,432.0,435.9,417.36,426.08,767482,ALGN
10/29/20,436.6,442.86,428.88,436.57,774501,ALGN
10/28/20,447.81,450.475,439.0,439.51,801818,ALGN
10/27/20,455.35,469.91,450.92,455.09,802973,ALGN
10/26/20,462.73400000000004,475.37,447.93,454.51,1641073,ALGN
10/23/20,451.34,470.43,444.77,469.56,1959924,ALGN
10/22/20,424.32,459.0,424.0,453.23,5115956,ALGN
10/21/20,334.2,338.675,328.97,335.81,892619,ALGN
10/20/20,330.14,339.68,327.91,334.6,565403,ALGN
10/19/20,339.0,343.21,322.87,326.84,660579,ALGN
10/16/20,338.89,343.0,335.075,336.52,548876,ALGN
10/15/20,330.11,338.12,330.0,336.67,616526,ALGN
10/14/20,333.53,337.2,328.39,333.1,555454,ALGN
10/13/20,334.48,336.26,329.015,330.82,524962,ALGN
10/12/20,334.99,339.77,330.9,335.75,603836,ALGN
10/09/20,331.39,331.855,325.18,328.64,384155,ALGN
10/08/20,325.59,328.56,321.86,327.57,346168,ALGN
10/07/20,320.4,327.0947,320.4,323.62,488492,ALGN
10/06/20,322.19,327.9127,315.24,316.08,499646,ALGN
10/05/20,317.63,320.31,312.72,319.51,645806,ALGN
10/02/20,312.02,319.13,310.03,314.89,544643,ALGN
10/01/20,333.64,333.64,313.86,317.61,857293,ALGN
09/30/20,322.56,332.88,320.29,327.36,687029,ALGN
09/29/20,323.9,328.92,320.0,320.17,452371,ALGN
09/28/20,324.93,328.78,320.99,322.86,522074,ALGN
09/25/20,310.03,320.95,307.17,317.93,479837,ALGN
09/24/20,306.15,316.43,297.44,311.88,734199,ALGN
09/23/20,322.04,325.0,307.38,308.32,578788,ALGN
09/22/20,326.76,327.02,313.98,322.57,492725,ALGN
09/21/20,314.79,322.56,302.04,322.3,642598,ALGN
09/18/20,329.6,333.13,314.97,320.97,909217,ALGN
09/17/20,323.37,329.26,319.02,328.03,620465,ALGN
09/16/20,338.23,340.29,328.74,329.86,610579,ALGN
09/15/20,326.93,339.73,324.73,335.24,795969,ALGN
09/14/20,319.49,326.595,319.49,323.46,454158,ALGN
09/11/20,328.95,333.0,314.0,317.66,746211,ALGN
09/10/20,324.06,333.065,323.995,327.95,1093245,ALGN
09/09/20,310.07,328.84,310.07,323.92,946216,ALGN
09/08/20,299.99,313.8146,299.03,309.22,916302,ALGN
09/04/20,318.0,318.0,299.33,309.0,837475,ALGN
09/03/20,324.45,325.0,310.68,314.52,810969,ALGN
09/02/20,307.72,324.88,306.635,324.43,870856,ALGN
09/01/20,297.1,307.25,293.33,305.43,714021,ALGN
08/31/20,300.21,300.94,295.03,296.98,575217,ALGN
08/28/20,306.0,306.24,299.8,300.58,418788,ALGN
08/27/20,300.27,310.35,299.26,305.64,739035,ALGN
08/26/20,294.12,301.93,291.23,300.7,673756,ALGN
08/25/20,296.03,297.265,289.515,296.68,580511,ALGN
08/24/20,297.31,303.35,293.13,295.08,624263,ALGN
08/21/20,296.27,299.84,293.63,294.29,464023,ALGN
08/20/20,300.0,302.1,295.23,297.25,449264,ALGN
08/19/20,307.48,308.45,301.07,301.51,398169,ALGN
08/18/20,310.87,311.0,304.5807,306.07,431200,ALGN
08/17/20,310.67,314.89,308.815,309.52,590215,ALGN
08/14/20,311.01,312.89,305.715,306.96,334245,ALGN
08/13/20,308.56,316.28,306.99,312.22,443623,ALGN
08/12/20,306.27,309.75,303.875,307.98,360573,ALGN
08/11/20,304.95,311.43,302.6,304.13,699917,ALGN
08/10/20,305.37,307.21,298.86,302.905,552023,ALGN
08/07/20,301.1,309.1,299.99,305.81,818557,ALGN
08/06/20,294.52,301.9,292.34,301.8,633247,ALGN
08/05/20,289.7,299.66,287.23,298.51,719788,ALGN
08/04/20,286.65,289.29,279.83,288.27,824792,ALGN
08/03/20,296.01,297.7505,287.0,287.36,627394,ALGN
07/31/20,297.43,297.6,288.5301,293.82,579001,ALGN
07/30/20,296.83,296.83,289.73,296.13,755174,ALGN
07/29/20,299.07,306.49,299.07,300.24,816884,ALGN
07/28/20,307.87,308.47,299.06,299.11,448513,ALGN
