Date, Open, High, Low, Close, Volume,ticker
12/24/20,52.25,52.56,51.12,52.25,814791,ALK
12/23/20,50.63,52.718999999999994,50.61,51.84,2143694,ALK
12/22/20,50.71,50.76,49.7,50.35,1795245,ALK
12/21/20,48.91,50.67,48.27,50.22,2142108,ALK
12/18/20,49.74,50.63,49.6,50.35,2931493,ALK
12/17/20,50.23,50.25,49.05,50.17,1582433,ALK
12/16/20,49.83,50.06,49.05,49.75,1485904,ALK
12/15/20,49.34,50.57,48.29,50.33,1627649,ALK
12/14/20,50.84,51.0,48.54,48.93,2158302,ALK
12/11/20,51.18,51.42,48.91,49.88,1964881,ALK
12/10/20,49.14,51.37,49.1,51.29,1335476,ALK
12/09/20,51.45,51.85,49.58,50.36,1627788,ALK
12/08/20,50.51,51.76,50.155,50.97,1814054,ALK
12/07/20,52.64,52.94,50.8,51.01,2707113,ALK
12/04/20,54.05,54.96,52.34,52.94,2113589,ALK
12/03/20,52.18,54.625,52.06,53.01,2647076,ALK
12/02/20,50.19,51.4882,49.91,51.29,1824267,ALK
12/01/20,51.77,52.57,50.92,50.94,1430307,ALK
11/30/20,52.0,52.0,49.62,50.97,2022624,ALK
11/27/20,52.46,53.42,51.3871,51.55,1338052,ALK
11/25/20,51.94,52.74,50.8189,52.47,1661446,ALK
11/24/20,51.42,52.75,50.26,52.37,3332829,ALK
11/23/20,48.4,49.97,48.18,49.72,1887379,ALK
11/20/20,48.23,48.2646,46.6301,47.72,1929069,ALK
11/19/20,47.36,48.54,47.005,48.49,1647098,ALK
11/18/20,48.5,49.71,47.6,47.72,1985256,ALK
11/17/20,46.34,48.05,46.0021,47.46,1802439,ALK
11/16/20,47.48,47.66,45.28,47.16,3729731,ALK
11/13/20,43.11,44.87,42.7801,44.66,1923177,ALK
11/12/20,43.05,44.27,41.9,42.41,2480016,ALK
11/11/20,45.2,45.4105,43.68,44.34,2186396,ALK
11/10/20,45.9,46.65,44.2,45.52,3642671,ALK
11/09/20,44.74,46.28,43.45,45.91,7015144,ALK
11/06/20,38.9,38.94,37.76,38.26,1339957,ALK
11/05/20,38.23,39.55,38.1,39.18,1477026,ALK
11/04/20,37.73,39.28,36.9,37.8,2425687,ALK
11/03/20,39.37,39.71,38.22,38.56,2132220,ALK
11/02/20,38.22,38.43,36.8201,38.27,1722949,ALK
10/30/20,36.55,37.95,36.26,37.89,2886606,ALK
10/29/20,35.61,37.09,35.52,36.78,1971019,ALK
10/28/20,36.5,36.77,35.06,35.71,1862338,ALK
10/27/20,38.31,38.56,37.29,37.47,1757648,ALK
10/26/20,40.88,41.12,37.93,38.58,2755403,ALK
10/23/20,40.63,41.73,39.83,41.57,1974574,ALK
10/22/20,39.15,41.32,38.9,40.59,2675840,ALK
10/21/20,39.69,40.045,38.95,39.69,1722446,ALK
10/20/20,40.33,40.78,39.69,39.93,1678243,ALK
10/19/20,39.61,40.86,39.36,39.58,2153458,ALK
10/16/20,38.18,39.75,38.06,39.35,2457612,ALK
10/15/20,38.02,38.2,37.33,38.03,1818640,ALK
10/14/20,38.09,39.35,38.09,38.55,2197121,ALK
10/13/20,38.22,38.65,37.81,38.0,1941010,ALK
10/12/20,38.32,38.5899,37.82,38.41,2139617,ALK
10/09/20,38.23,39.1,37.92,38.69,2633481,ALK
10/08/20,37.73,39.46,37.62,38.63,3650595,ALK
10/07/20,37.21,37.64,36.8,37.02,2102897,ALK
10/06/20,38.22,38.44,36.06,36.09,2041000,ALK
10/05/20,37.92,38.0,36.87,37.57,1987466,ALK
10/02/20,35.6,38.15,35.31,37.52,3904407,ALK
10/01/20,37.09,37.21,36.23,36.91,1858682,ALK
09/30/20,37.59,38.27,36.475,36.63,1922303,ALK
09/29/20,37.4,37.42,36.285,36.67,1747948,ALK
09/28/20,37.59,38.26,36.74,37.54,2922841,ALK
09/25/20,35.49,36.9,35.4,36.7,1767638,ALK
09/24/20,36.54,36.59,34.83,35.7,3326039,ALK
09/23/20,38.35,38.84,36.81,36.86,2097352,ALK
