Date, Open, High, Low, Close, Volume,ticker
12/24/20,106.19,107.41,105.92,107.19,508963,ALL
12/23/20,106.43,107.55,105.95,105.99,1083273,ALL
12/22/20,106.56,107.2637,106.005,106.19,1513560,ALL
12/21/20,107.6,107.61,104.47,106.17,2140151,ALL
12/18/20,107.0,108.1,106.3,107.4,5276806,ALL
12/17/20,106.53,107.05,105.85,106.56,1820981,ALL
12/16/20,106.39,107.49,106.04,106.42,1823643,ALL
12/15/20,105.24,106.555,104.78,105.92,1404804,ALL
12/14/20,105.4,106.0,104.6,104.87,1975274,ALL
12/11/20,104.51,105.65,103.816,104.43,1662091,ALL
12/10/20,104.91,105.72,104.32,105.42,2220711,ALL
12/09/20,105.01,105.8636,104.835,105.19,1413846,ALL
12/08/20,102.64,105.72,102.44,105.45,1578112,ALL
12/07/20,103.7,104.4,102.71,103.41,1488841,ALL
12/04/20,104.2,104.88,103.72,104.36,1243939,ALL
12/03/20,103.09,104.3,102.7,103.83,1435635,ALL
12/02/20,104.06,105.24,102.96,103.68,1710590,ALL
12/01/20,103.51,104.84,103.27,104.29,2298956,ALL
11/30/20,103.28,103.875,102.15,102.35,2931760,ALL
11/27/20,103.24,104.295,102.82,104.14,1069439,ALL
11/25/20,104.16,104.28,102.745,103.95,1950740,ALL
11/24/20,102.55,105.22,101.36,104.88,2627046,ALL
11/23/20,101.2,101.41,100.01,101.31,1878084,ALL
11/20/20,100.35,101.73,99.92,100.18,1817888,ALL
11/19/20,99.2,100.81,98.15,100.37,2155730,ALL
11/18/20,99.56,102.01,98.55,100.07,2517916,ALL
11/17/20,98.06,99.74,97.05,99.37,1756409,ALL
11/16/20,98.49,98.83,97.08,98.06,2023064,ALL
11/13/20,95.19,97.12,95.19,96.71,1670108,ALL
11/12/20,94.16,95.495,93.95,94.81,1794942,ALL
11/11/20,95.11,95.345,93.98,94.37,1675023,ALL
11/10/20,94.79,94.91,93.07,94.44,2607671,ALL
11/09/20,96.63,96.99,91.155,93.89,3943164,ALL
11/06/20,91.34,92.48,90.42,91.15,1507492,ALL
11/05/20,93.26,94.14,90.07,90.41,2740172,ALL
11/04/20,91.57,94.1,90.6,92.04,2148688,ALL
11/03/20,92.4,94.32,92.285,92.92,1724816,ALL
11/02/20,90.04,91.235,89.12,90.9,1922357,ALL
10/30/20,88.28,89.4,87.7,88.75,1796409,ALL
10/29/20,87.44,89.43,86.51,88.59,1653832,ALL
10/28/20,87.75,88.95,87.33,88.0,2620494,ALL
10/27/20,90.58,90.88,89.0,89.04,1799960,ALL
10/26/20,90.57,90.89,89.53,90.82,1662701,ALL
10/23/20,92.52,92.655,90.91,91.25,1166239,ALL
10/22/20,90.845,91.95,90.11,91.69,1479900,ALL
10/21/20,90.92,91.87,90.3,90.76,2483875,ALL
10/20/20,92.25,92.53,90.9253,91.08,1621541,ALL
10/19/20,92.12,93.1,91.05,91.42,1326849,ALL
10/16/20,91.82,93.27,91.82,92.58,3520974,ALL
10/15/20,90.04,92.27,89.9,91.71,1811980,ALL
10/14/20,91.88,93.1023,91.24,91.28,2514331,ALL
10/13/20,94.02,94.66,91.37,91.79,2513728,ALL
10/12/20,93.11,94.845,92.9,94.26,1526575,ALL
10/09/20,93.89,93.97,92.77,92.86,1501354,ALL
10/08/20,93.6,94.91,93.26,93.58,1422906,ALL
10/07/20,93.4,94.84,93.03,93.29,1558054,ALL
10/06/20,93.99,94.83,92.27,92.65,2163844,ALL
