Date, Open, High, Low, Close, Volume,ticker
12/24/20,84.74,85.39,84.2,85.33,1409156,AMAT
12/23/20,86.3,86.5,83.96,84.03,4586080,AMAT
12/22/20,86.55,86.61,85.54,85.64,3901444,AMAT
12/21/20,84.385,86.53,83.8,86.41,5226564,AMAT
12/18/20,87.66,88.15,85.3366,86.09,14603140,AMAT
12/17/20,89.125,89.24,87.13,87.5,5559640,AMAT
12/16/20,88.31,89.25,87.29,88.55,5808136,AMAT
12/15/20,89.9,90.605,87.95,88.47,6180768,AMAT
12/14/20,88.499,90.52,88.32,88.5,6425496,AMAT
12/11/20,87.05,88.59,86.59,88.3,5776367,AMAT
12/10/20,87.0,88.61,86.46,87.89,5731157,AMAT
12/09/20,89.565,90.1,87.18,87.82,7017779,AMAT
12/08/20,89.23,90.26,89.04,89.75,4702966,AMAT
12/07/20,89.27,89.46,87.8225,89.14,5524095,AMAT
12/04/20,86.92,88.92,86.65,88.84,6876859,AMAT
12/03/20,85.74,87.03,85.685,86.1,4824985,AMAT
12/02/20,83.69,85.59,83.61,85.29,5272794,AMAT
12/01/20,83.05,84.62,82.88,84.27,7044074,AMAT
11/30/20,82.0,82.59,80.7075,82.48,7543095,AMAT
11/27/20,81.81,83.53,81.68,82.66,3098229,AMAT
11/25/20,82.895,83.02,81.07,81.14,5518508,AMAT
11/24/20,81.0,83.14,79.82,82.95,9542024,AMAT
11/23/20,76.9718,80.58,76.9718,80.5,8809829,AMAT
11/20/20,77.2,78.57,76.68,76.725,7609745,AMAT
11/19/20,75.26,77.51,74.51,77.25,8990081,AMAT
11/18/20,74.69,76.67,74.59,75.71,10667680,AMAT
11/17/20,73.76,74.57,73.06,74.37,5460128,AMAT
11/16/20,72.97,74.53,72.58,74.48,8104390,AMAT
11/13/20,72.27,73.94,71.505,72.81,10182300,AMAT
11/12/20,70.86,71.15,69.43,69.8,8555129,AMAT
11/11/20,70.2032,71.7,69.8849,71.16,8071944,AMAT
11/10/20,70.95,71.49,69.1,69.39,8206498,AMAT
11/09/20,73.2,75.93,71.26,71.3,10154560,AMAT
11/06/20,68.9,70.86,68.35,70.53,8639662,AMAT
11/05/20,66.0,70.06,65.91,69.95,13118070,AMAT
