Date, Open, High, Low, Close, Volume,ticker
12/24/20,91.8,92.51,91.31,91.81,16705910,AMD
12/23/20,93.08,93.13,91.46,91.55,25993350,AMD
12/22/20,93.36,93.55,90.53,93.16,35717840,AMD
12/21/20,94.25,95.28,91.08,93.23,47093887,AMD
12/18/20,97.27,97.68,93.56,95.92,51823102,AMD
12/17/20,97.55,97.92,96.25,96.84,32023730,AMD
12/16/20,97.04,97.27,95.46,96.85,34909039,AMD
12/15/20,95.93,97.98,95.45,97.12,57305102,AMD
12/14/20,92.205,95.41,91.85,94.78,48026434,AMD
12/11/20,91.54,92.33,90.16,91.65,28368150,AMD
12/10/20,89.55,92.09,89.0297,91.66,33804406,AMD
12/09/20,92.76,94.7,89.16,89.83,52170379,AMD
12/08/20,94.05,94.74,91.9,92.92,33907512,AMD
12/07/20,94.95,95.0,92.97,94.07,39815648,AMD
12/04/20,92.58,94.58,90.63,94.04,45570273,AMD
12/03/20,94.06,94.7,92.01,92.31,35859719,AMD
12/02/20,92.89,96.37,92.5253,93.74,57988820,AMD
12/01/20,92.25,93.9,90.78,92.63,58670527,AMD
11/30/20,87.33,92.74,86.53,92.66,84482977,AMD
11/27/20,87.99,88.0,86.3598,87.19,22717641,AMD
11/25/20,85.76,87.84,85.52,86.71,41349727,AMD
11/24/20,85.72399999999999,86.11,83.32,85.07,36839168,AMD
11/23/20,85.52,87.54,84.615,85.31,46504961,AMD
11/20/20,85.28,86.1,84.47,84.64,35008434,AMD
11/19/20,82.39,85.64,81.72,85.54,50116762,AMD
11/18/20,83.014,83.955,82.22,82.54,29967961,AMD
11/17/20,83.93,84.81,82.91,83.36,29473510,AMD
11/16/20,81.21,83.78,80.48,83.73,38640840,AMD
11/13/20,82.73,83.11,80.7,81.43,30448461,AMD
11/12/20,81.32,83.0,80.3,81.84,37303113,AMD
11/11/20,79.39,81.47,78.97,81.28,44611246,AMD
11/10/20,81.93,82.13,77.63,77.99,67137203,AMD
11/09/20,84.24,87.05,82.77,83.12,58580680,AMD
11/06/20,83.52,86.09,82.67,85.88,53829941,AMD
11/05/20,83.27,83.5,81.85,83.0,46542273,AMD
11/04/20,80.25,81.85,78.975,81.35,66579711,AMD
11/03/20,74.93,77.08,74.6,76.58,41231801,AMD
11/02/20,75.85,76.3398,73.7573,74.7,45760660,AMD
10/30/20,77.09,77.7,74.23,75.29,51426168,AMD
10/29/20,76.75,79.18,76.29,78.02,52784090,AMD
10/28/20,78.73,78.96,75.76,76.4,76529914,AMD
10/27/20,82.0,82.37,77.57,78.88,156669500,AMD
10/26/20,82.55,84.97,80.86,82.23,69423680,AMD
10/23/20,80.93,81.99,79.33,81.96,46557680,AMD
10/22/20,79.65,80.82,78.42,79.42,38006801,AMD
10/21/20,81.72,81.9299,79.19,79.2,36426406,AMD
10/20/20,82.16,82.69,80.58,81.56,38219422,AMD
10/19/20,83.62,84.65,81.53,82.0,36689113,AMD
10/16/20,83.54,83.99,82.41,83.17,31474289,AMD
10/15/20,83.4,84.7201,82.42,83.13,33696406,AMD
10/14/20,85.86,85.96,83.46,84.21,40446738,AMD
10/13/20,84.86,86.09,83.9733,85.28,42764102,AMD
10/12/20,83.65,85.13,83.12,84.29,47669699,AMD
10/09/20,84.74,85.75,82.3465,83.1,80354391,AMD
10/08/20,88.11,88.72,85.95,86.51,54240699,AMD
10/07/20,86.1,87.79,85.65,86.69,43045719,AMD
10/06/20,86.21,87.25,83.54,84.48,52725434,AMD
10/05/20,82.55,86.2819,82.55,86.15,47056520,AMD
10/02/20,82.58,84.65,81.66,81.8,52855047,AMD
10/01/20,83.06,85.25,82.86,84.86,52177121,AMD
09/30/20,81.75,82.94,80.66,81.99,51533660,AMD
09/29/20,79.3,82.55,79.3,81.77,61633672,AMD
09/28/20,79.117,79.57,77.52,79.48,48005488,AMD
09/25/20,76.35,78.2,74.67,78.055,48206238,AMD
09/24/20,74.54,77.25,73.9,75.82,57540930,AMD
09/23/20,77.39,77.91,74.34,74.73,42327512,AMD
09/22/20,78.365,78.79,75.27,77.7,56044738,AMD
09/21/20,74.23,77.98,73.88,77.94,61311969,AMD
09/18/20,77.0,77.4,73.85,74.93,51082859,AMD
09/17/20,74.88,76.625,74.2,76.55,55619102,AMD
09/16/20,79.35,79.72,76.54,76.66,38445672,AMD
09/15/20,77.66,80.33,75.97,78.93,57874434,AMD
09/14/20,76.8,78.82,76.26,77.9,47448680,AMD
09/11/20,79.82,79.99,75.04,76.34,54762992,AMD
09/10/20,83.07,83.31,78.38,78.98,51499398,AMD
09/09/20,81.4,82.44,79.28,81.91,54163879,AMD
09/08/20,78.05,81.88,78.0,78.69,54955672,AMD
09/04/20,81.45,84.39,76.33,82.01,82267758,AMD
09/03/20,87.84,88.47,81.59,82.54,87462688,AMD
09/02/20,94.01,94.28,88.74,90.22,50366922,AMD
09/01/20,91.92,92.51,90.1899,92.18,56117102,AMD
08/31/20,85.05,92.64,85.05,90.82,90655953,AMD
08/28/20,84.3,86.04,84.19,85.55,40723273,AMD
08/27/20,86.35,86.58,82.94,83.8,42194219,AMD
08/26/20,86.969,87.72,85.2,86.02,47157273,AMD
08/25/20,83.36,86.62,82.35,86.35,49234398,AMD
08/24/20,84.55,85.33,82.55,83.08,38036070,AMD
08/21/20,83.29,84.41,82.23,83.81,48280320,AMD
08/20/20,79.74,82.84,79.12,82.77,42948859,AMD
08/19/20,81.77600000000001,81.85,80.45,81.09,37507391,AMD
08/18/20,82.8,82.88,81.03,81.66,30970480,AMD
08/17/20,82.09,83.06,81.55199999999999,82.42,31450160,AMD
08/14/20,81.81,83.24,80.88,81.3,42389480,AMD
08/13/20,82.88,84.02,81.54,81.84,57407359,AMD
08/12/20,78.43,82.88,77.55,82.61,88607828,AMD
08/11/20,80.71,80.71,76.1,76.88,77877664,AMD
