Date, Open, High, Low, Close, Volume,ticker
12/24/20,118.64,119.32,118.0,119.04,188453,AME
12/23/20,118.25,119.44,117.53,118.62,453994,AME
12/22/20,118.32,118.57,117.24,117.66,560205,AME
12/21/20,115.93,118.59,114.63,118.11,756404,AME
12/18/20,117.61,118.53,116.975,118.1,1914286,AME
12/17/20,117.27,117.78,116.84,117.63,789178,AME
12/16/20,117.9,118.13,116.27,116.78,660284,AME
12/15/20,117.53,118.59,116.22,117.79,754761,AME
12/14/20,119.48,119.69,116.24,116.3,763459,AME
12/11/20,117.01,118.54,116.8,118.38,1045448,AME
12/10/20,118.11,119.07,117.24,118.35,880600,AME
12/09/20,118.84,119.3,118.19,118.76,849933,AME
12/08/20,116.91,119.23,116.91,118.57,1130593,AME
12/07/20,117.23,117.87,116.705,117.61,725450,AME
12/04/20,114.48,117.41,114.48,116.84,858616,AME
12/03/20,114.82,116.02,114.24,114.43,927098,AME
12/02/20,116.61,117.21,114.51,115.02,1380105,AME
12/01/20,119.54,120.08,117.15,117.24,1241877,AME
11/30/20,119.72,119.81,117.54,118.53,964434,AME
11/27/20,120.1,120.3534,119.175,119.77,422953,AME
11/25/20,120.59,120.67,118.95,119.82,681635,AME
11/24/20,118.9,121.69,117.56,121.25,1679356,AME
11/23/20,118.48,118.9,117.35,117.79,817684,AME
11/20/20,118.3,118.36,116.515,117.42,862149,AME
11/19/20,118.97,119.29,117.125,118.18,1048336,AME
11/18/20,119.21,120.35,118.25,119.24,1009548,AME
11/17/20,119.38,119.9,118.435,118.76,1057964,AME
11/16/20,118.86,120.34,118.4,120.08,1256121,AME
11/13/20,116.66,117.51,115.75,117.27,829113,AME
11/12/20,116.28,116.95,114.78,115.45,872673,AME
11/11/20,117.0,117.55,116.06,116.76,1143864,AME
11/10/20,114.34,117.43,113.78,116.45,1620027,AME
11/09/20,117.07,118.95,113.93,114.07,1610436,AME
11/06/20,109.18,110.7,108.86,110.32,942385,AME
11/05/20,106.86,109.5,106.445,109.05,880994,AME
11/04/20,104.52,106.39,103.07,105.39,1094045,AME
11/03/20,103.63,105.8,103.17,105.29,1122217,AME
11/02/20,99.81,102.3,99.71,102.27,1178689,AME
10/30/20,98.52,99.25,96.86,98.2,981942,AME
10/29/20,98.25,100.88,97.505,98.91,1191224,AME
10/28/20,100.45,101.38,98.06,98.19,1287852,AME
10/27/20,105.05,105.05,102.42,102.59,820358,AME
10/26/20,106.34,106.49,104.12,105.1,910686,AME
10/23/20,107.97,108.08,106.885,107.76,882724,AME
10/22/20,107.58,108.24,106.85,107.01,1198465,AME
10/21/20,108.64,109.42,107.13,107.15,1087981,AME
10/20/20,108.23,109.81,107.97,108.7,543541,AME
10/19/20,109.95,110.48,107.34,107.55,692036,AME
10/16/20,109.46,110.82,108.81,109.85,1475830,AME
10/15/20,106.4,109.07,106.4,109.01,660966,AME
10/14/20,106.87,108.37,105.81,107.9,778927,AME
10/13/20,107.41,107.95,105.48,106.16,636215,AME
10/12/20,107.81,107.92,106.8,107.63,1004833,AME
10/09/20,107.5,108.63,106.78,106.94,840019,AME
10/08/20,107.01,107.01,105.73,106.5,1295068,AME
10/07/20,105.63,107.28,105.32,106.54,1284726,AME
10/06/20,103.5,105.87,103.22,104.33,1221157,AME
10/05/20,101.94,103.97,101.76,103.5,864653,AME
10/02/20,98.15,101.68,98.04,100.78,715461,AME
10/01/20,100.7,101.38,99.01,99.85,1046619,AME
09/30/20,100.0,101.11,98.73,99.4,1032403,AME
09/29/20,99.95,100.91,99.3,99.89,1046495,AME
09/28/20,98.93,100.44,98.82,99.49,685878,AME
09/25/20,95.52,97.93,95.15,97.49,573298,AME
09/24/20,95.32,97.08,94.9,96.23,834173,AME
09/23/20,97.56,98.42,95.12,95.32,711950,AME
09/22/20,96.1,97.55,95.99,97.24,838280,AME
09/21/20,98.75,99.405,95.04,96.24,919922,AME
09/18/20,102.03,103.2,100.62,100.71,1209338,AME
09/17/20,101.16,103.04,100.295,102.33,695715,AME
09/16/20,102.79,103.48,102.0,102.34,1079048,AME
09/15/20,101.65,102.95,101.59,102.32,734811,AME
09/14/20,100.64,101.79,100.505,101.39,684608,AME
09/11/20,98.73,100.84,98.48,99.91,914861,AME
09/10/20,99.6,100.36,97.94,98.11,1243867,AME
09/09/20,98.11,100.02,97.83,99.35,675243,AME
09/08/20,98.67,98.75,96.91,96.99,915113,AME
09/04/20,100.86,101.23,98.42,99.47,795173,AME
09/03/20,103.4,103.58,99.045,99.89,862065,AME
09/02/20,101.98,103.945,101.61,103.08,1525657,AME
09/01/20,100.42,102.205,100.19,102.02,533654,AME
08/31/20,101.78,101.78,100.37,100.7,657594,AME
08/28/20,101.17,101.98,100.67,101.93,696907,AME
08/27/20,101.5,101.57,100.48,100.91,586116,AME
08/26/20,100.48,101.2,99.97,101.01,627485,AME
08/25/20,101.42,101.6,100.27,100.92,568264,AME
08/24/20,100.85,100.97,99.77,100.8,678774,AME
08/21/20,99.98,100.7,99.83,100.24,636873,AME
08/20/20,100.07,100.6,99.61,100.16,637116,AME
08/19/20,101.48,101.53,100.82,101.01,684661,AME
08/18/20,101.35,101.8,101.31,101.58,967569,AME
08/17/20,101.28,101.935,101.17,101.4,906617,AME
08/14/20,100.36,102.03,100.36,101.28,1007230,AME
08/13/20,100.74,101.34,100.51,100.96,849665,AME
08/12/20,100.23,101.545,99.98,101.23,843323,AME
08/11/20,100.0,101.68,99.23,99.25,1370693,AME
08/10/20,97.98,99.27,97.84,99.04,1711323,AME
08/07/20,97.55,98.85,96.6,97.79,1487455,AME
08/06/20,96.51,97.54,96.14,97.52,826988,AME
08/05/20,95.81,97.05,94.9605,96.42,1003104,AME
08/04/20,93.13,95.99,93.13,94.49,1197138,AME
08/03/20,93.83,95.85,93.27,94.95,1333586,AME
07/31/20,93.32,93.53,91.48,93.25,1151811,AME
07/30/20,93.21,94.11,92.29,93.9,839198,AME
07/29/20,92.43,94.66,92.43,94.35,1382321,AME
07/28/20,92.62,93.01,92.02,92.08,688517,AME
