Date, Open, High, Low, Close, Volume,ticker
12/24/20,223.24,224.58,222.29,222.93,955401,AMGN
12/23/20,221.48,223.58,220.66,222.94,1763598,AMGN
12/22/20,225.72,226.475,220.08,220.99,3572043,AMGN
12/21/20,225.68,227.94,221.58,227.31,2311483,AMGN
12/18/20,232.04,232.04,227.25,228.49,5888860,AMGN
12/17/20,229.12,231.38,228.83,231.24,2510365,AMGN
12/16/20,229.99,231.28,228.11,228.44,2589394,AMGN
12/15/20,229.01,231.28,227.0,230.53,2566722,AMGN
12/14/20,229.48,232.19,227.58,229.46,2904713,AMGN
12/11/20,226.47,227.8,225.495,227.4,2019275,AMGN
12/10/20,229.62,230.0,227.52,228.16,1558149,AMGN
12/09/20,229.78,231.59,227.88,229.85,2210042,AMGN
12/08/20,229.01,229.1,226.345,228.94,2124720,AMGN
12/07/20,229.0,229.21,225.11,226.45,2250267,AMGN
12/04/20,225.75,230.33,225.75,229.21,1990927,AMGN
12/03/20,226.0,228.45,225.52,226.91,2167952,AMGN
12/02/20,225.08,230.0799,224.6092,226.56,2641166,AMGN
12/01/20,224.88,225.78,222.72,225.08,3050628,AMGN
11/30/20,224.33,225.2775,219.45,222.04,4858086,AMGN
11/27/20,221.41,226.21,221.39,224.81,1698316,AMGN
11/25/20,221.095,223.77,218.92,220.31,2550392,AMGN
11/24/20,222.45,223.05,219.82,220.46,3199050,AMGN
11/23/20,222.0622,223.17,220.3396,222.22,2033413,AMGN
11/20/20,223.22,225.0909,221.48,223.17,2956252,AMGN
11/19/20,226.97,226.97,223.59,224.67,2595657,AMGN
11/18/20,234.05,234.37,227.64,227.76,2466450,AMGN
11/17/20,235.01,236.9299,232.12,232.44,1935432,AMGN
11/16/20,237.42,239.815,235.26,236.66,2069573,AMGN
11/13/20,236.89,238.59,235.0,237.36,1767245,AMGN
11/12/20,240.55,240.89,235.64,237.14,2439222,AMGN
11/11/20,242.52,245.67,238.5,240.69,2244795,AMGN
11/10/20,244.0,245.84,239.47,241.6,3742780,AMGN
11/09/20,242.94,244.8,234.0,235.0,2996247,AMGN
11/06/20,232.66,233.21,230.04,231.67,2028614,AMGN
11/05/20,233.77,233.8273,230.0,231.97,2070339,AMGN
11/04/20,226.29,235.98,225.1,230.33,3810005,AMGN
11/03/20,221.76,223.08,218.46,220.06,2533573,AMGN
11/02/20,221.56,222.37,217.2,220.21,2029119,AMGN
10/30/20,216.22,217.27,213.96,216.94,3262732,AMGN
10/29/20,213.63,220.33,210.28,217.82,2994097,AMGN
10/28/20,219.02,221.06,215.93,216.38,2873957,AMGN
10/27/20,225.06,225.95,223.1401,223.46,1934371,AMGN
10/26/20,226.02,228.23,221.79,224.89,3087094,AMGN
10/23/20,228.72,230.07,226.3,227.16,2104204,AMGN
10/22/20,228.1,229.9294,226.16,227.98,2172881,AMGN
10/21/20,229.46,231.11,227.54,228.97,1978691,AMGN
10/20/20,231.06,232.9,229.36,231.1,1950786,AMGN
10/19/20,236.21,237.4425,230.01,230.71,2749811,AMGN
10/16/20,235.35,239.1599,233.8,235.72,2059919,AMGN
10/15/20,236.0,236.99,232.87,235.01,2531295,AMGN
10/14/20,240.4,242.27,237.2,237.65,2694112,AMGN
10/13/20,239.2,241.87,238.87,239.34,2065856,AMGN
10/12/20,237.73,241.92,235.7606,239.51,2881695,AMGN
10/09/20,238.5,239.58,234.02,236.7,4182959,AMGN
10/08/20,249.27,250.06,239.0,240.09,5592280,AMGN
10/07/20,253.96,258.405,253.1,257.67,1842820,AMGN
10/06/20,257.4,257.4,252.14,252.69,2431437,AMGN
