Date, Open, High, Low, Close, Volume,ticker
12/24/20,188.98,189.88,186.95,189.7,212134,AMP
12/23/20,185.63,189.69,185.63,188.54,445031,AMP
12/22/20,187.24,187.72,184.44,185.06,591484,AMP
12/21/20,186.55,187.765,182.83,186.76,767795,AMP
12/18/20,188.05,190.32,185.63,186.94,2279834,AMP
12/17/20,190.2,190.79,188.1695,190.05,686092,AMP
12/16/20,192.25,192.68,188.86,189.74,790704,AMP
12/15/20,193.09,193.145,189.64,190.77,678316,AMP
12/14/20,194.61,194.61,190.89,190.99,941807,AMP
12/11/20,190.38,192.33,189.48,191.74,539890,AMP
12/10/20,191.2,193.12,190.27,192.85,838524,AMP
12/09/20,194.02,196.42,191.81,193.24,690190,AMP
12/08/20,192.39,193.7,191.56,192.51,649018,AMP
12/07/20,195.14,195.34,192.5621,194.44,810667,AMP
12/04/20,196.05,198.158,195.43,196.28,514190,AMP
12/03/20,193.08,196.69,192.85,194.71,722390,AMP
12/02/20,189.95,193.86,189.31,193.44,823048,AMP
12/01/20,189.51,190.79,187.93,190.25,773735,AMP
11/30/20,188.35,190.12,184.735,185.24,1096721,AMP
11/27/20,190.08,191.5,189.25,190.75,300281,AMP
11/25/20,191.79,191.94,188.48,190.19,670041,AMP
11/24/20,186.81,193.19,185.72,192.67,762984,AMP
11/23/20,181.73,184.25,181.08,183.76,526547,AMP
11/20/20,182.81,182.99,179.77,179.8,527934,AMP
11/19/20,181.82,184.1,180.26,183.63,436873,AMP
11/18/20,184.5,188.4423,183.28,183.33,446329,AMP
11/17/20,183.61,185.08,181.51,184.23,581486,AMP
11/16/20,188.46,188.57,184.32,185.97,635100,AMP
11/13/20,179.58,185.62,178.99,184.88,713996,AMP
11/12/20,180.38,180.88,175.6701,177.3,577353,AMP
11/11/20,185.16,185.18,180.03,181.3,566438,AMP
11/10/20,182.74,184.53,178.6472,183.17,1034407,AMP
11/09/20,182.58,187.475,182.18,182.94,1386787,AMP
11/06/20,172.95,172.95,168.7,169.78,365375,AMP
11/05/20,170.86,174.63,170.53,172.69,646208,AMP
11/04/20,164.49,172.94,161.94,168.4,847994,AMP
11/03/20,167.0,170.1,166.395,167.45,584000,AMP
11/02/20,163.86,165.53,162.3865,164.45,517162,AMP
10/30/20,159.92,161.49,157.83,160.83,656261,AMP
10/29/20,158.98,162.76,155.33,161.11,730232,AMP
10/28/20,159.01,161.15,156.5399,158.25,739900,AMP
10/27/20,165.74,165.74,162.02,162.39,522261,AMP
10/26/20,167.76,168.24,163.44,165.61,500866,AMP
10/23/20,171.73,172.4,169.81,170.39,495153,AMP
10/22/20,167.16,170.79,166.21,170.32,439434,AMP
10/21/20,168.16,170.24,166.69,166.75,480301,AMP
10/20/20,169.29,171.1,167.53,167.99,710281,AMP
10/19/20,171.4,173.11,168.66,169.04,557280,AMP
10/16/20,171.48,171.78,168.565,169.95,648265,AMP
10/15/20,164.55,171.68,164.11,170.98,479562,AMP
10/14/20,167.56,169.15,166.62,167.07,481012,AMP
10/13/20,170.75,171.95,165.955,166.73,748745,AMP
10/12/20,169.75,172.93,169.75,172.04,563534,AMP
10/09/20,170.0,171.67,169.13,170.34,532150,AMP
10/08/20,166.58,169.5,165.4048,169.31,463980,AMP
10/07/20,162.62,165.67,161.81,164.89,692421,AMP
