Date, Open, High, Low, Close, Volume,ticker
12/24/20,216.44,219.39,216.19,218.65,705688,AMT
12/23/20,221.27,223.6,217.38,217.4,1553462,AMT
12/22/20,219.29,220.85,218.27,220.49,1845688,AMT
12/21/20,218.36,220.5,217.135,219.78,1963474,AMT
12/18/20,222.18,223.23,219.84,221.52,4538084,AMT
12/17/20,221.1,223.6,220.13,222.71,2484642,AMT
12/16/20,218.28,219.8,215.68,219.62,2347646,AMT
12/15/20,217.08,218.36,215.554,217.25,2181373,AMT
12/14/20,220.97,222.43,216.4,216.72,2501582,AMT
12/11/20,218.0,220.17,215.41,219.82,2893621,AMT
12/10/20,220.21,221.93,218.48,219.41,3028093,AMT
12/09/20,222.72,223.04,216.22,219.44,3413493,AMT
12/08/20,223.27,224.77200000000002,222.18,223.61,2607345,AMT
12/07/20,227.66,228.79,223.35,224.27,2554530,AMT
12/04/20,226.75,228.9,224.44,228.67,3298454,AMT
12/03/20,229.52,230.76,225.79,226.22,3702871,AMT
12/02/20,234.79,235.83,228.59,228.9,2755200,AMT
12/01/20,232.0,236.39,231.72,235.83,2471117,AMT
11/30/20,234.0,234.14,228.75,231.2,3547305,AMT
11/27/20,233.96,234.09,230.58,234.09,937418,AMT
11/25/20,229.29,233.37,228.65,233.0,2479035,AMT
11/24/20,231.04,231.845,227.39,228.06,2636104,AMT
11/23/20,233.56,233.61,228.62,228.91,2848945,AMT
11/20/20,238.19,238.43,232.5,232.66,1965888,AMT
11/19/20,237.09,238.88,233.37,238.43,1636457,AMT
11/18/20,238.31,242.31,237.21,237.7,1617619,AMT
11/17/20,239.0,240.87,238.305,239.18,1354284,AMT
11/16/20,244.76,245.59,238.85,239.09,1433297,AMT
11/13/20,239.76,243.72,237.69,243.09,1476478,AMT
11/12/20,239.6,240.3,236.46,238.01,1882721,AMT
11/11/20,234.82,241.48,233.315,238.45,1574093,AMT
11/10/20,238.93,238.93,230.22,232.38,2717377,AMT
11/09/20,249.16,253.08,236.95,237.98,2423671,AMT
11/06/20,239.91,243.59,238.66,242.15,1181520,AMT
11/05/20,240.28,242.79,237.8201,239.92,1877507,AMT
11/04/20,234.7,243.24,234.7,237.07,2434212,AMT
11/03/20,235.54,237.23,233.5,234.23,1268830,AMT
11/02/20,232.58,233.6,229.2691,233.49,1551283,AMT
10/30/20,230.0,232.5,226.5029,229.65,1621440,AMT
10/29/20,233.47,236.37,230.665,231.65,1693306,AMT
10/28/20,233.82,237.32,229.25,230.13,2448985,AMT
10/27/20,238.93,240.98,236.03,236.16,1433201,AMT
10/26/20,235.56,237.8903,233.4,237.12,1657622,AMT
10/23/20,236.64,239.37,235.66,237.72,1057169,AMT
10/22/20,241.33,241.61,235.14,235.77,1836932,AMT
10/21/20,243.36,245.96,241.31,241.74,1100510,AMT
10/20/20,241.68,245.73,240.6301,243.8,1407361,AMT
10/19/20,243.66,245.7,239.16,239.6,1323655,AMT
10/16/20,239.7,244.08,239.16,242.72,1479993,AMT
10/15/20,238.55,242.15,237.5,239.6,1791022,AMT
10/14/20,242.88,243.28,238.08,238.5,2049285,AMT
10/13/20,245.15,246.55,241.42,242.41,1622151,AMT
10/12/20,245.25,247.78,244.33,246.38,1430448,AMT
10/09/20,244.27,246.3936,243.15,244.68,1538957,AMT
10/08/20,243.76,246.5404,242.86,243.56,2501428,AMT
10/07/20,241.19,243.51,241.19,241.77,2047995,AMT
10/06/20,243.91,244.41,240.16,241.01,1913523,AMT
10/05/20,243.25,243.64,237.89,243.33,2130344,AMT
10/02/20,240.07,243.91,238.99,243.3,2138392,AMT
10/01/20,242.19,245.0,239.95,242.15,2500814,AMT
09/30/20,241.93,243.58,239.69,241.73,3345702,AMT
09/29/20,241.21,242.0,239.12,240.12,3098426,AMT
09/28/20,243.07,244.42,238.41,240.0,2593474,AMT
09/25/20,235.0,240.67,234.97,239.81,2861488,AMT
09/24/20,236.3,240.13,235.1,236.18,2246593,AMT
09/23/20,242.23,242.23,235.07,235.71,2550349,AMT
09/22/20,241.99,244.85,240.2,241.94,1702340,AMT
09/21/20,243.38,244.42,238.29,240.97,2849314,AMT
09/18/20,248.67,251.26,243.81,245.5,3270478,AMT
09/17/20,259.62,260.4,248.94,250.73,2341536,AMT
09/16/20,265.0,268.66,262.795,263.29,2326421,AMT
09/15/20,255.61,265.22,255.57,263.75,2426762,AMT
09/14/20,251.11,255.69,250.93,253.9,1333946,AMT
09/11/20,249.78,252.56,248.23,249.79,1219479,AMT
09/10/20,251.92,251.92,247.54,248.38,1256796,AMT
09/09/20,250.62,255.285,249.46,252.42,2202209,AMT
09/08/20,248.72,249.63,243.1,246.81,1451385,AMT
09/04/20,251.3,256.2243,246.8322,249.98,1885094,AMT
09/03/20,255.56,256.76,249.235,252.32,2094649,AMT
09/02/20,247.71,257.285,247.03,256.5,2033994,AMT
09/01/20,248.44,249.75,246.63,248.03,1085246,AMT
08/31/20,249.0,250.12,247.49,249.15,1307540,AMT
08/28/20,248.77,249.73,245.41,249.59,1062982,AMT
08/27/20,247.4,249.1,246.04,247.97,1398405,AMT
08/26/20,245.65,247.1,243.75,246.97,1479484,AMT
08/25/20,246.3,247.18,243.52,246.41,1060825,AMT
