Date, Open, High, Low, Close, Volume,ticker
12/24/20,3193.9,3202.0,3169.0,3172.69,1451917,AMZN
12/23/20,3205.0,3210.13,3184.17,3185.27,2093787,AMZN
12/22/20,3202.843,3222.0,3180.08,3206.52,2381781,AMZN
12/21/20,3200.01,3226.967,3166.0,3206.18,3836846,AMZN
12/18/20,3243.99,3249.42,3171.6,3201.65,5995713,AMZN
12/17/20,3250.0,3263.51,3221.0,3236.08,3474347,AMZN
12/16/20,3176.01,3247.0,3163.68,3240.96,4427616,AMZN
12/15/20,3181.01,3188.5,3130.49,3165.12,3323686,AMZN
12/14/20,3143.0,3190.47,3126.0,3156.97,4155794,AMZN
12/11/20,3096.66,3118.67,3072.82,3116.42,3064695,AMZN
12/10/20,3088.99,3142.1,3076.0,3101.49,3030186,AMZN
12/09/20,3167.89,3174.43,3088.0,3104.2,4100836,AMZN
12/08/20,3158.9,3184.13,3120.02,3177.29,3286303,AMZN
12/07/20,3156.48,3180.76,3141.69,3158.0,2751316,AMZN
12/04/20,3198.21,3198.21,3158.76,3162.58,2913611,AMZN
12/03/20,3205.46,3228.64,3181.31,3186.73,2892039,AMZN
12/02/20,3221.65,3232.0,3173.26,3203.53,3129304,AMZN
12/01/20,3188.5,3248.95,3157.18,3220.08,4544382,AMZN
11/30/20,3208.48,3228.39,3125.55,3168.04,4063916,AMZN
11/27/20,3211.26,3216.19,3190.05,3195.34,2392867,AMZN
11/25/20,3141.87,3198.0,3140.26,3185.07,3790403,AMZN
11/24/20,3100.5,3134.25,3086.258,3118.06,3602102,AMZN
11/23/20,3116.699,3139.745,3065.46,3098.39,4708887,AMZN
11/20/20,3117.02,3132.89,3098.046,3099.4,3380138,AMZN
11/19/20,3105.31,3125.0,3080.92,3117.02,3010270,AMZN
11/18/20,3134.0,3140.0,3105.1,3105.46,2916836,AMZN
11/17/20,3183.545,3189.25,3135.26,3135.66,3444735,AMZN
11/16/20,3093.2,3142.7,3072.685,3131.06,3808676,AMZN
11/13/20,3122.0,3141.723,3085.39,3128.81,3762587,AMZN
11/12/20,3159.95,3175.88,3086.05,3110.28,4371208,AMZN
11/11/20,3061.78,3139.145,3050.0,3137.39,4366923,AMZN
11/10/20,3095.02,3114.0,3019.4829999999997,3035.02,6590956,AMZN
11/09/20,3231.03,3289.0,3112.1059999999998,3143.74,7190406,AMZN
11/06/20,3304.64,3322.0,3232.0,3311.37,4647330,AMZN
11/05/20,3319.97,3366.8,3288.88,3322.0,5789285,AMZN
11/04/20,3159.99,3244.85,3139.73,3241.16,6839041,AMZN
11/03/20,3018.53,3074.9,2980.98,3048.41,4897880,AMZN
11/02/20,3061.74,3079.705,2950.12,3004.48,7257350,AMZN
10/30/20,3157.75,3167.0040000000004,3019.0,3036.15,8396081,AMZN
10/29/20,3201.27,3257.25,3164.0,3211.01,6596529,AMZN
10/28/20,3249.3,3264.02,3162.47,3162.78,5588330,AMZN
10/27/20,3224.94,3291.66,3211.3,3286.33,4291047,AMZN
10/26/20,3198.74,3282.98,3153.3,3207.04,5901151,AMZN
10/23/20,3191.0,3205.33,3140.0,3204.4,3466687,AMZN
10/22/20,3189.87,3198.75,3121.94,3176.4,4212005,AMZN
10/21/20,3212.5,3233.875,3160.0,3184.94,4592736,AMZN
10/20/20,3222.28,3266.0,3192.01,3217.01,4509678,AMZN
10/19/20,3299.61,3329.0,3192.735,3207.21,5223626,AMZN
10/16/20,3363.23,3399.6609999999996,3160.0,3272.71,6474353,AMZN
10/15/20,3292.01,3355.88,3280.0,3338.65,5223448,AMZN
10/14/20,3447.0,3464.88,3340.0,3363.71,5828916,AMZN
10/13/20,3467.99,3492.38,3424.217,3443.63,5744697,AMZN
10/12/20,3349.94,3496.24,3339.55,3442.93,8364198,AMZN
10/09/20,3210.0,3288.99,3197.83,3286.65,4907871,AMZN
10/08/20,3224.99,3233.2940000000003,3174.99,3190.55,3174114,AMZN
10/07/20,3135.0,3200.0,3132.385,3195.69,4309439,AMZN
10/06/20,3165.0,3182.0,3090.0,3099.96,5086857,AMZN
10/05/20,3145.84,3202.53,3140.85,3199.2,3775332,AMZN
10/02/20,3153.63,3195.796,3123.0,3125.0,5613098,AMZN
10/01/20,3208.0,3224.0,3172.0,3221.26,4971922,AMZN
09/30/20,3141.14,3212.88,3133.99,3148.73,4896101,AMZN
09/29/20,3175.39,3188.26,3132.54,3144.88,3503398,AMZN
09/28/20,3148.85,3175.04,3117.1679999999997,3174.05,4224165,AMZN
09/25/20,3054.86,3101.54,2999.0,3095.13,4615202,AMZN
09/24/20,2977.79,3069.3,2965.0,3019.79,5529392,AMZN
09/23/20,3120.43,3126.9990000000003,2992.3759999999997,2999.86,5652665,AMZN
09/22/20,3033.835,3133.99,3000.2,3128.99,6948816,AMZN
09/21/20,2906.5,2962.0,2871.0,2960.47,6117925,AMZN
09/18/20,3031.74,3037.8,2905.54,2954.91,8892580,AMZN
09/17/20,3009.25,3029.4320000000002,2972.55,3008.73,6449050,AMZN
09/16/20,3179.99,3187.238,3074.15,3078.1,4531189,AMZN
09/15/20,3136.16,3175.02,3108.92,3156.13,4021535,AMZN
09/14/20,3172.937,3187.39,3096.0,3102.97,4529596,AMZN
09/11/20,3208.69,3217.341,3083.98,3116.22,5093982,AMZN
09/10/20,3307.219,3349.89,3170.55,3175.11,5330741,AMZN
09/09/20,3202.99,3303.175,3185.0,3268.61,5188675,AMZN
09/08/20,3144.0,3250.845,3130.0,3149.84,6094205,AMZN
09/04/20,3318.0,3381.5,3111.13,3294.62,8781754,AMZN
09/03/20,3485.0,3488.41,3303.0,3368.0,8161113,AMZN
09/02/20,3547.0,3552.25,3486.685,3531.45,3931476,AMZN
09/01/20,3489.58,3513.87,3467.0,3499.12,3476407,AMZN
08/31/20,3408.99,3495.0,3405.0,3450.96,4185885,AMZN
08/28/20,3423.0,3433.37,3386.5,3401.8,2896978,AMZN
08/27/20,3450.05,3453.0,3378.0,3400.0,4264795,AMZN
08/26/20,3351.11,3451.739,3344.567,3441.85,6508743,AMZN
08/25/20,3294.99,3357.4,3267.0,3346.49,3992842,AMZN
08/24/20,3310.15,3380.315,3257.5609999999997,3307.46,4666258,AMZN
08/21/20,3295.0,3314.3959999999997,3275.39,3284.72,3575862,AMZN
08/20/20,3252.0,3312.62,3238.0,3297.37,3332478,AMZN
08/19/20,3303.01,3315.9,3256.0,3260.48,4185137,AMZN
08/18/20,3212.0,3320.0,3205.8190000000004,3312.49,5345974,AMZN
08/17/20,3173.12,3194.97,3154.177,3182.41,2691237,AMZN
08/14/20,3178.18,3178.236,3120.0,3148.02,2751723,AMZN
08/13/20,3182.99,3217.5209999999997,3155.0,3161.02,3149043,AMZN
08/12/20,3108.0,3174.385,3101.42,3162.24,3527229,AMZN
08/11/20,3113.2,3159.22,3073.0,3080.67,3718057,AMZN
08/10/20,3170.31,3172.51,3101.52,3148.16,3167274,AMZN
08/07/20,3224.01,3240.81,3140.673,3167.46,3936127,AMZN
08/06/20,3194.36,3247.47,3165.43,3225.0,3940602,AMZN
08/05/20,3143.77,3213.586,3127.3,3205.03,3930025,AMZN
08/04/20,3101.21,3167.24,3101.21,3138.83,4694294,AMZN
08/03/20,3180.51,3184.0,3104.0,3111.89,5074663,AMZN
07/31/20,3244.0,3246.82,3151.0,3164.68,8083369,AMZN
07/30/20,3014.0,3092.0,3005.0,3051.88,6128265,AMZN
07/29/20,3030.99,3039.159,2996.77,3033.53,2974060,AMZN
07/28/20,3054.27,3077.093,2995.76,3000.33,3126651,AMZN
07/27/20,3062.0,3098.0,3015.77,3055.21,4170492,AMZN
07/24/20,2930.0,3031.58,2888.0,3008.91,5632413,AMZN
07/23/20,3098.2709999999997,3098.2709999999997,2970.0,2986.55,5656906,AMZN
07/22/20,3125.0,3150.0,3065.26,3099.91,4104225,AMZN
07/21/20,3232.49,3240.5759999999996,3105.72,3138.29,6134965,AMZN
07/20/20,3000.2,3201.36,2994.0170000000003,3196.84,7598176,AMZN
07/17/20,3009.0,3024.0,2948.45,2961.97,4761319,AMZN
07/16/20,2971.06,3032.0,2918.23,2999.9,6394246,AMZN
07/15/20,3080.23,3098.35,2973.18,3008.87,5788874,AMZN
07/14/20,3089.0,3127.38,2950.0,3084.0,7231933,AMZN
07/13/20,3251.06,3344.29,3068.39,3104.0,7720420,AMZN
07/10/20,3191.76,3215.0,3135.7,3200.0,5485982,AMZN
07/09/20,3115.99,3193.88,3074.002,3182.63,6388659,AMZN
07/08/20,3022.61,3083.97,3012.43,3081.11,5037635,AMZN
07/07/20,3058.55,3069.55,2990.0,3000.12,5257514,AMZN
07/06/20,2934.97,3059.88,2930.0,3057.04,6880642,AMZN
07/02/20,2912.01,2955.56,2871.1020000000003,2890.3,6593387,AMZN
07/01/20,2757.99,2895.0,2754.0,2878.7,6363439,AMZN
06/30/20,2685.065,2769.63,2675.03,2758.82,3769686,AMZN
06/29/20,2690.01,2696.8,2630.08,2680.38,4223422,AMZN
06/26/20,2775.0559999999996,2782.5690000000004,2688.0,2692.87,6500784,AMZN
06/25/20,2739.55,2756.23,2712.14,2754.58,2968657,AMZN
06/24/20,2780.0,2796.0,2721.0,2734.4,4526605,AMZN
06/23/20,2726.02,2783.11,2718.04,2764.41,4231707,AMZN
06/22/20,2684.5,2715.0,2669.0,2713.82,3208780,AMZN
06/19/20,2678.08,2697.43,2659.0,2675.01,5776963,AMZN
06/18/20,2647.01,2659.64,2636.11,2653.98,2487774,AMZN
06/17/20,2647.5,2655.0,2631.82,2640.98,2959316,AMZN
06/16/20,2620.0,2620.0,2576.0,2615.27,3595649,AMZN
06/15/20,2526.6,2584.0,2508.0,2572.68,3873335,AMZN
06/12/20,2601.21,2621.4770000000003,2503.35,2545.02,5436127,AMZN
06/11/20,2603.5,2671.38,2536.23,2557.96,5800107,AMZN
06/10/20,2645.0,2722.35,2626.26,2647.45,4946031,AMZN
06/09/20,2529.44,2626.43,2525.0,2600.86,5175950,AMZN
06/08/20,2500.2,2530.0,2487.335,2524.06,3970654,AMZN
06/05/20,2444.51,2488.645,2437.13,2483.0,3306445,AMZN
