Date, Open, High, Low, Close, Volume,ticker
12/24/20,288.69,289.38,285.97,288.84,101784,ANET
12/23/20,290.11,292.41,286.39,286.49,336026,ANET
12/22/20,287.11,292.12,286.975,290.82,655132,ANET
12/21/20,283.36,287.44,279.41,287.26,503992,ANET
12/18/20,287.59,290.98,284.69,287.72,1258198,ANET
12/17/20,285.79,287.4,282.0,285.37,574044,ANET
12/16/20,285.55,293.5,284.27,285.7,1013623,ANET
12/15/20,277.23,280.3,276.715,279.59,614185,ANET
12/14/20,277.74,283.47,274.22,274.48,513030,ANET
12/11/20,276.28,281.0,275.16,277.34,610471,ANET
12/10/20,276.27,278.31,274.02,276.37,471045,ANET
12/09/20,283.29,284.54,276.59,277.59,440939,ANET
12/08/20,277.95,289.0,277.57,283.7,1139516,ANET
12/07/20,270.89,275.73,269.45,275.61,619017,ANET
12/04/20,269.84,271.91,268.52,270.11,408819,ANET
12/03/20,270.51,272.46,269.01,269.69,379048,ANET
12/02/20,271.0,272.85,269.61,271.58,413809,ANET
12/01/20,270.0,273.72,268.49,273.0,463789,ANET
11/30/20,272.48,274.89,267.38,270.7,746846,ANET
11/27/20,272.1,273.725,268.38,272.56,275296,ANET
11/25/20,273.2,274.72,270.01,270.55,317845,ANET
11/24/20,270.46,273.19,268.44,272.31,526513,ANET
11/23/20,266.97,270.95,265.01,268.46,484775,ANET
11/20/20,273.0,274.1,268.23,268.5,517517,ANET
11/19/20,271.88,273.07,269.06,272.87,392025,ANET
11/18/20,278.87,280.35,271.81,272.03,590222,ANET
11/17/20,272.1,278.04,271.75,277.78,658239,ANET
11/16/20,275.0,276.19,270.15,273.26,646524,ANET
11/13/20,271.12,274.32,267.15,273.86,604118,ANET
11/12/20,263.73,269.24,262.615,267.09,492168,ANET
11/11/20,259.0,266.47,257.75,265.21,555390,ANET
11/10/20,257.9,260.92400000000004,255.67,257.4,739571,ANET
11/09/20,265.8,270.51,261.46,261.68,909395,ANET
11/06/20,255.84,263.56,254.59,263.0,881693,ANET
11/05/20,256.24,258.86,253.03,257.0,979397,ANET
11/04/20,248.5,258.46,248.01,254.44,1115915,ANET
11/03/20,243.12,259.01,239.245,249.49,3829711,ANET
11/02/20,210.0,218.81,207.7084,216.12,1700908,ANET
10/30/20,210.0,212.69,200.35,208.9,1661324,ANET
10/29/20,204.33,205.71,201.32,203.16,609345,ANET
10/28/20,206.59,207.58,203.03,204.38,773186,ANET
10/27/20,210.25,212.66,208.53,210.55,480760,ANET
10/26/20,212.26,213.98,204.61,208.87,666205,ANET
10/23/20,214.0,218.88,210.59,214.11,518475,ANET
10/22/20,214.82,216.83,210.64,213.97,533682,ANET
10/21/20,218.19,221.7707,213.11,214.31,885096,ANET
10/20/20,223.32,225.28,220.21,221.98,479578,ANET
10/19/20,226.95,227.055,221.35,221.63,450239,ANET
10/16/20,226.44,226.765,222.75,225.45,423956,ANET
10/15/20,223.36,226.23,222.14,226.23,465505,ANET
10/14/20,228.1,233.28,226.2,228.03,606751,ANET
10/13/20,227.5,228.735,224.945,225.84,468276,ANET
10/12/20,224.5,229.025,220.58,228.25,957374,ANET
