Date, Open, High, Low, Close, Volume,ticker
12/24/20,362.76,366.325,361.13,364.17,209331,ANSS
12/23/20,364.72,369.82,362.19,362.22,398798,ANSS
12/22/20,355.0,362.58,355.0,362.31,376029,ANSS
12/21/20,351.73,357.89,344.2746,355.95,635566,ANSS
12/18/20,347.67,358.01,347.005,357.81,932540,ANSS
12/17/20,345.74,346.73,342.255,346.63,360730,ANSS
12/16/20,344.63,346.0,341.3004,343.62,315085,ANSS
12/15/20,344.31,349.37,342.19,343.03,418017,ANSS
12/14/20,336.75,346.31,335.26,343.39,426115,ANSS
12/11/20,331.57,335.73,328.6,335.185,329790,ANSS
12/10/20,332.19,337.2123,330.255,334.04,323285,ANSS
12/09/20,342.7,343.48,333.27,334.55,329640,ANSS
12/08/20,344.49,344.49,338.27,341.28,402701,ANSS
12/07/20,343.92,346.6761,340.48,341.89,350074,ANSS
12/04/20,339.15,345.54,339.0,343.47,294333,ANSS
12/03/20,332.65,340.5,332.65,337.54,269097,ANSS
12/02/20,338.87,339.8451,334.23,334.93,284758,ANSS
12/01/20,339.09,343.7,335.2,340.85,397479,ANSS
11/30/20,330.17,338.84,328.75,338.06,598692,ANSS
11/27/20,326.24,331.99,324.23,330.41,209297,ANSS
11/25/20,323.7,328.13,320.2,322.87,324758,ANSS
11/24/20,316.41,321.33,313.845,320.12,428680,ANSS
11/23/20,318.95,319.425,310.9425,313.42,357059,ANSS
11/20/20,323.73,325.95,317.81,318.26,296977,ANSS
11/19/20,316.25,325.53,313.64,324.12,338513,ANSS
11/18/20,318.52,319.77,315.34,317.99,319654,ANSS
11/17/20,321.88,324.185,318.48,319.79,380220,ANSS
11/16/20,328.17,328.79,320.955,322.67,334836,ANSS
11/13/20,326.36,329.23,324.55,328.21,420728,ANSS
11/12/20,328.52,332.58,322.865,323.64,254960,ANSS
11/11/20,325.24,334.05,325.24,328.96,300667,ANSS
11/10/20,321.99,329.23,318.13,319.43,632639,ANSS
11/09/20,346.13,348.98,328.13,328.47,500875,ANSS
11/06/20,330.14,337.67,323.4475,336.8,269601,ANSS
