Date, Open, High, Low, Close, Volume,ticker
12/24/20,307.97,309.6,307.895,308.67,224455,ANTM
12/23/20,306.43,311.67,306.43,308.35,777249,ANTM
12/22/20,305.89,307.36,302.56,303.3,1037287,ANTM
12/21/20,303.34,306.64,298.6,306.38,1121588,ANTM
12/18/20,314.06,315.32,306.4,308.64,2829602,ANTM
12/17/20,309.78,315.39,309.78,314.08,1103895,ANTM
12/16/20,312.46,312.89,306.84,310.24,1003182,ANTM
12/15/20,312.99,314.66,310.52,313.22,1544884,ANTM
12/14/20,314.14,316.22,309.595,310.1,918560,ANTM
12/11/20,312.16,315.91,310.16,311.4,1372850,ANTM
12/10/20,317.66,319.05,313.48,313.75,1224600,ANTM
12/09/20,322.75,324.07,316.25,318.44,1016505,ANTM
12/08/20,316.66,322.99,315.9,322.69,1637024,ANTM
12/07/20,321.52,324.2,317.03,319.24,697527,ANTM
12/04/20,321.61,326.9,321.08,323.27,931400,ANTM
12/03/20,318.17,325.53,318.1,323.03,1254992,ANTM
12/02/20,313.12,321.64,313.07,318.45,1131725,ANTM
12/01/20,317.0,326.85,313.31,313.9,1364274,ANTM
11/30/20,311.79,315.3,309.34,311.52,1645796,ANTM
11/27/20,308.69,313.54,308.24,312.8,533263,ANTM
11/25/20,315.07,315.07,306.66,309.05,1180805,ANTM
11/24/20,310.57,317.88,310.0,313.94,1302770,ANTM
11/23/20,307.7,313.74,307.7,310.66,1169562,ANTM
11/20/20,311.43,312.115,304.67,305.62,2311572,ANTM
11/19/20,320.62,320.8,311.67,311.85,1611025,ANTM
11/18/20,331.16,333.49,322.13,322.38,1350976,ANTM
11/17/20,328.73,332.8,326.13,329.84,1038546,ANTM
11/16/20,335.92,338.2,330.0435,333.15,1344599,ANTM
11/13/20,329.94,334.695,327.74,332.96,1205533,ANTM
11/12/20,322.82,331.265,320.99,329.92,1504336,ANTM
11/11/20,330.19,332.75,323.12,323.37,1517702,ANTM
11/10/20,323.05,330.26,314.43,328.56,1975634,ANTM
11/09/20,334.98,337.68,321.83,322.41,1617725,ANTM
11/06/20,317.93,318.16,312.24,313.32,1606423,ANTM
11/05/20,328.72,334.1,317.745,319.6,2333229,ANTM
11/04/20,312.8,332.4,311.75,327.86,3987726,ANTM
11/03/20,282.67,295.59,281.905,293.46,1790107,ANTM
11/02/20,278.19,279.68,270.44,278.25,2193904,ANTM
10/30/20,273.92,275.03,269.01,272.8,1567701,ANTM
10/29/20,284.47,285.35,272.34,273.26,1737334,ANTM
10/28/20,287.92,297.69,285.23,285.8,1557811,ANTM
10/27/20,297.78,300.5,293.01,298.88,1532448,ANTM
10/26/20,307.61,308.25,297.71,299.75,1205272,ANTM
10/23/20,306.72,311.75,305.32,310.76,1489432,ANTM
10/22/20,297.02,306.295,296.46,305.17,1176630,ANTM
10/21/20,290.5,297.29,290.34,296.16,898306,ANTM
10/20/20,293.18,296.46,290.95,291.19,822685,ANTM
10/19/20,296.0,298.39,290.2098,292.21,946899,ANTM
10/16/20,295.1,300.3745,292.84,296.87,768940,ANTM
10/15/20,287.48,296.91,287.166,294.9,785082,ANTM
10/14/20,295.26,298.13,289.61,292.34,1014369,ANTM
10/13/20,297.06,299.23,295.015,297.44,870082,ANTM
10/12/20,295.43,300.915,294.43,298.57,1037698,ANTM
10/09/20,295.0,298.45,293.83,294.41,813518,ANTM
10/08/20,294.5,294.5,288.74,293.29,1000189,ANTM
10/07/20,285.23,293.935,285.23,293.12,970185,ANTM
10/06/20,286.15,290.64,282.5,283.64,1086454,ANTM
10/05/20,276.98,285.0,276.68,284.79,965723,ANTM
10/02/20,265.79,280.48,264.44,275.01,1582541,ANTM
10/01/20,268.59,270.765,266.11,270.17,918107,ANTM
09/30/20,259.52,271.155,258.75,268.59,1312763,ANTM
09/29/20,258.35,261.75,256.56,259.79,862001,ANTM
09/28/20,258.83,261.8,255.78,257.06,914060,ANTM
09/25/20,247.49,256.1,246.2,255.25,1321960,ANTM
09/24/20,245.04,249.27,244.1,248.78,1311881,ANTM
09/23/20,248.2,251.01,245.04,245.73,1669128,ANTM
09/22/20,256.82,258.62,246.3779,247.44,1977556,ANTM
09/21/20,257.24,257.88,250.4,257.71,1567806,ANTM
09/18/20,262.05,266.32,260.48,264.19,2162522,ANTM
09/17/20,261.47,264.57,259.41,263.0,820108,ANTM
09/16/20,261.82,265.73,258.52,263.62,997442,ANTM
09/15/20,265.88,267.345,258.865,260.15,1250511,ANTM
09/14/20,258.99,269.2,258.99,265.6,1448054,ANTM
09/11/20,262.68,265.5,254.48,258.03,1336676,ANTM
09/10/20,268.08,270.03,260.59,260.84,1096202,ANTM
09/09/20,267.93,269.35,264.56,267.42,1023871,ANTM
09/08/20,275.0,275.27,266.32,267.21,1191014,ANTM
09/04/20,278.23,279.28,270.5,276.22,874661,ANTM
09/03/20,281.84,284.37,274.19,277.0,1247689,ANTM
09/02/20,274.64,281.18,273.54,279.97,1388623,ANTM
09/01/20,278.02,280.64,272.83,273.08,1714725,ANTM
08/31/20,276.21,284.345,276.19,281.52,1514798,ANTM
08/28/20,274.68,279.005,271.855,277.28,643374,ANTM
08/27/20,271.41,278.64,269.28,274.59,1360804,ANTM
08/26/20,276.7,276.715,266.8,270.21,1342014,ANTM
08/25/20,280.75,280.94,275.16,276.47,870887,ANTM
08/24/20,286.77,287.0,278.39,279.16,729657,ANTM
08/21/20,282.5,286.27,281.75,284.63,957555,ANTM
08/20/20,281.83,283.745,280.55,281.75,813927,ANTM
08/19/20,282.78,286.298,282.74,283.4,634051,ANTM
