Date, Open, High, Low, Close, Volume,ticker
12/24/20,55.49,55.5,54.8375,55.48,214998,AOS
12/23/20,55.45,55.51,54.705,55.11,797250,AOS
12/22/20,55.76,55.94,55.28,55.36,865722,AOS
12/21/20,54.62,56.125,54.3,55.82,769560,AOS
12/18/20,55.27,55.7,54.25,55.64,1762428,AOS
12/17/20,55.37,55.8,54.675,55.26,1760886,AOS
12/16/20,56.31,56.9,54.98,55.08,1198794,AOS
12/15/20,55.54,56.49,55.27,56.42,667720,AOS
12/14/20,56.81,57.24,55.38,55.41,871832,AOS
12/11/20,56.13,56.645,55.78,56.36,717023,AOS
12/10/20,57.37,57.72,55.955,56.31,827388,AOS
12/09/20,56.08,57.74,56.06,57.67,1055364,AOS
12/08/20,55.0,56.1,54.89,56.09,1266738,AOS
12/07/20,55.15,55.56,54.8,55.31,675079,AOS
12/04/20,55.28,55.39,54.88,55.06,983275,AOS
12/03/20,55.05,55.1298,54.67,54.96,1461675,AOS
12/02/20,54.84,55.37,54.645,54.87,1313999,AOS
12/01/20,56.82,57.05,54.92,55.06,1888914,AOS
11/30/20,56.74,56.92,55.79,56.31,2645821,AOS
11/27/20,56.81,57.37,56.69,57.08,305790,AOS
11/25/20,57.64,57.64,56.22,56.37,956412,AOS
11/24/20,57.82,58.66,57.55,57.96,1071348,AOS
11/23/20,56.61,57.69,56.27,57.49,1169723,AOS
11/20/20,56.46,56.71,55.22,56.06,850848,AOS
11/19/20,56.36,56.97,55.84,56.6,615903,AOS
11/18/20,56.38,57.15,56.125,56.49,911341,AOS
11/17/20,56.19,56.62,55.43,56.38,934490,AOS
11/16/20,55.5,56.46,54.95,56.4,935183,AOS
11/13/20,54.74,55.63,54.55,55.07,827281,AOS
11/12/20,54.5,54.68,53.545,54.09,583146,AOS
11/11/20,55.0,55.15,54.22,54.82,755070,AOS
11/10/20,52.99,55.24,52.99,54.75,886788,AOS
11/09/20,56.42,57.395,53.07,53.13,1425139,AOS
11/06/20,54.14,54.84,53.51,54.56,943124,AOS
11/05/20,53.09,54.43,53.09,53.82,674901,AOS
11/04/20,53.1,53.39,51.95,52.42,678055,AOS
11/03/20,53.45,54.19,53.04,53.3,908755,AOS
11/02/20,52.16,52.91,51.97,52.85,1062634,AOS
10/30/20,53.31,53.765,51.04,51.69,1448733,AOS
10/29/20,53.01,55.0,52.34,53.38,1686894,AOS
10/28/20,52.26,53.36,51.44,51.46,1270498,AOS
10/27/20,54.03,54.08,53.0,53.03,764825,AOS
10/26/20,54.38,54.385,53.27,53.93,817210,AOS
10/23/20,55.0,55.0,54.45,54.93,773995,AOS
10/22/20,55.04,55.12,54.57,54.91,1118884,AOS
