Date, Open, High, Low, Close, Volume,ticker
12/24/20,14.79,14.8,14.255,14.43,3763210,APA
12/23/20,14.33,15.17,14.31,14.78,8416138,APA
12/22/20,14.84,14.88,14.08,14.12,7260829,APA
12/21/20,14.25,15.19,14.2,14.85,7723298,APA
12/18/20,15.7,15.93,15.185,15.33,11712780,APA
12/17/20,15.96,16.14,15.562000000000001,15.75,7233335,APA
12/16/20,15.953,16.245,15.54,15.8,7005329,APA
12/15/20,15.5,16.09,15.06,15.89,8781710,APA
12/14/20,16.682000000000002,16.81,15.265,15.31,10583440,APA
12/11/20,16.31,16.56,15.75,16.1,8903476,APA
12/10/20,14.97,16.86,14.91,16.5,16598199,APA
12/09/20,15.07,15.43,14.59,15.02,12417130,APA
12/08/20,14.38,15.26,14.3102,14.76,10115680,APA
12/07/20,14.847999999999999,15.04,14.39,14.61,9997965,APA
12/04/20,14.04,15.23,14.02,15.18,13982280,APA
12/03/20,13.24,13.96,12.97,13.74,8372185,APA
12/02/20,12.33,13.56,12.2001,13.11,10107450,APA
12/01/20,13.4,13.53,12.36,12.37,12476170,APA
11/30/20,13.672,13.76,12.85,12.89,11868700,APA
11/27/20,14.1265,14.390999999999998,13.7601,13.92,5393519,APA
11/25/20,13.8,14.41,13.65,14.12,10782960,APA
11/24/20,13.56,14.35,13.39,14.04,18789061,APA
11/23/20,11.67,12.89,11.64,12.86,13446880,APA
11/20/20,11.37,11.5,11.16,11.44,7963705,APA
11/19/20,11.0,11.405,10.89,11.35,10344060,APA
11/18/20,11.61,11.895,11.03,11.04,12374940,APA
11/17/20,10.76,11.455,10.72,11.44,11772970,APA
11/16/20,11.0,11.16,10.7125,11.14,11238850,APA
11/13/20,9.86,10.375,9.8,10.32,9907875,APA
11/12/20,9.73,10.21,9.645,9.7,13381650,APA
11/11/20,10.27,10.38,9.7,9.95,12631400,APA
11/10/20,10.03,10.2,9.57,9.99,18289520,APA
11/09/20,9.73,10.52,9.59,9.75,26861561,APA
11/06/20,8.87,9.09,8.5,8.535,12204500,APA
11/05/20,9.19,9.585,8.95,8.97,15996460,APA
11/04/20,8.749,9.3,8.4329,8.99,19236859,APA
11/03/20,9.1,9.205,8.625,8.73,10428690,APA
11/02/20,8.415,8.96,7.98,8.885,12978640,APA
10/30/20,8.21,8.3,7.96,8.3,11479710,APA
10/29/20,7.67,8.22,7.445,8.19,12689650,APA
10/28/20,7.96,8.155,7.7,7.79,13792210,APA
10/27/20,8.56,8.6,8.32,8.345,8028301,APA
