Date, Open, High, Low, Close, Volume,ticker
12/24/20,266.08,268.36,265.13,268.35,227647,APD
12/23/20,266.04,268.98,265.0,266.25,840613,APD
12/22/20,264.01,264.68,261.61,264.01,1278608,APD
12/21/20,265.37,266.57,260.605,264.49,1387116,APD
12/18/20,267.62,270.46,265.32,269.55,2605132,APD
12/17/20,269.99,271.43,268.5,268.6,940097,APD
12/16/20,270.05,271.07,267.4,268.9,1154876,APD
12/15/20,270.1,272.07,268.06,270.01,1667132,APD
12/14/20,269.08,270.33,265.32,265.4,894233,APD
12/11/20,266.59,268.63,265.7,267.36,751837,APD
12/10/20,269.21,270.22,266.69,268.82,1065053,APD
12/09/20,269.38,271.61,267.86,270.57,1038060,APD
12/08/20,269.0,270.04,267.0978,268.23,1358717,APD
12/07/20,274.48,276.43,268.16,269.18,1114156,APD
12/04/20,267.01,273.85,264.63,273.76,1587125,APD
12/03/20,274.38,275.2,266.07,267.25,2035608,APD
12/02/20,281.69,282.5,273.87,273.88,1373182,APD
12/01/20,285.0,286.0,279.275,283.18,1259675,APD
11/30/20,278.0,280.15,275.785,280.14,1312877,APD
11/27/20,279.01,279.9677,276.56,277.83,674705,APD
11/25/20,283.66,286.22,277.26,278.12,1177933,APD
11/24/20,278.0,286.38,276.26,284.02,1921633,APD
11/23/20,272.77,276.67,270.9,275.26,1268243,APD
11/20/20,269.94,271.15,265.38,270.48,1102925,APD
11/19/20,266.75,272.63,263.79,270.36,1340474,APD
11/18/20,266.82,272.1,266.02,267.7,2028877,APD
11/17/20,264.59,266.67,262.24,266.29,2218910,APD
11/16/20,267.58,269.72,262.8,266.44,2201756,APD
11/13/20,268.03,269.56,262.26,263.87,2553754,APD
11/12/20,277.89,279.97,263.61,265.31,4849826,APD
11/11/20,297.0,300.16,277.16,280.84,4733188,APD
11/10/20,315.08,315.565,309.52,309.97,1279783,APD
11/09/20,318.91,327.89,312.51,312.67,1261696,APD
11/06/20,303.43,307.78,302.14,306.72,745427,APD
11/05/20,295.26,306.51,295.07,303.34,856416,APD
11/04/20,289.97,291.887,284.64,289.29,924184,APD
11/03/20,289.97,292.71,286.97,289.04,842319,APD
11/02/20,280.72,287.6,279.1,286.69,690177,APD
10/30/20,274.92,278.05,271.675,276.24,827453,APD
10/29/20,272.81,279.65,271.27,276.77,715629,APD
10/28/20,277.0,279.65,272.75,272.98,903864,APD
10/27/20,287.13,288.34,283.37,283.5,538641,APD
