Date, Open, High, Low, Close, Volume,ticker
12/24/20,129.07,129.38,128.26,129.17,337314,APH
12/23/20,129.69,130.22,128.67,128.76,969803,APH
12/22/20,129.49,129.49,128.22,128.87,858047,APH
12/21/20,128.45,129.88,127.265,129.36,1700306,APH
12/18/20,132.18,132.425,129.83,130.65,2364691,APH
12/17/20,131.89,132.985,131.555,132.17,1071864,APH
12/16/20,131.37,131.62,129.58,130.86,1068824,APH
12/15/20,131.2,131.9,130.085,131.55,1225836,APH
12/14/20,132.12,132.96,130.075,130.3,1076244,APH
12/11/20,130.47,131.645,129.93,131.01,1272229,APH
12/10/20,132.87,133.65,131.26,131.41,1262261,APH
12/09/20,134.0,135.68,133.175,133.62,1405175,APH
12/08/20,131.18,133.435,131.14,133.24,1370138,APH
12/07/20,133.1,133.91,131.815,132.43,1627141,APH
12/04/20,132.54,134.52,132.4,132.91,1418089,APH
12/03/20,130.75,132.23,130.63,131.7,1348949,APH
12/02/20,131.54,131.78,130.185,131.09,1459011,APH
12/01/20,132.65,133.55,131.47,131.61,1882010,APH
11/30/20,131.14,132.125,130.02,130.81,1816100,APH
11/27/20,131.72,132.45,131.08,131.95,526932,APH
11/25/20,130.51,131.15,129.87,130.83,869565,APH
11/24/20,129.42,131.485,128.545,131.25,1288517,APH
11/23/20,128.35,129.6,127.53,128.07,1111606,APH
11/20/20,127.36,128.43,127.12,127.39,1534775,APH
11/19/20,125.01,127.63,124.81,127.2,916454,APH
11/18/20,127.4,127.43,125.545,125.8,1409923,APH
11/17/20,125.05,128.42,125.0,127.06,1528254,APH
11/16/20,121.46,126.3,121.35,126.28,1629387,APH
11/13/20,121.36,123.75,121.03,123.4,1313158,APH
11/12/20,123.45,123.89,119.635,120.21,1611612,APH
11/11/20,123.19,125.4,122.79,124.28,2141261,APH
11/10/20,121.0,122.92,120.51,121.85,2018240,APH
11/09/20,125.5,128.54,121.42,121.59,1956655,APH
11/06/20,119.67,120.62,119.12,120.34,831964,APH
11/05/20,118.39,120.4,117.91,119.46,1698056,APH
11/04/20,116.62,117.84,114.82,115.92,2206613,APH
11/03/20,116.67,118.85,116.41,116.5,1472632,APH
11/02/20,114.31,115.47,113.55,115.07,1503449,APH
10/30/20,112.67,112.9,111.01,112.84,1109208,APH
10/29/20,111.46,114.54,110.66,113.17,1384974,APH
10/28/20,113.19,113.77,111.16,111.51,1157719,APH
10/27/20,116.36,117.38,114.51,115.05,1258858,APH
10/26/20,118.04,118.33,114.59,116.45,1108109,APH
10/23/20,119.4,119.77,117.89,119.75,1531614,APH
10/22/20,115.12,119.35,114.735,118.51,1647439,APH
10/21/20,114.86,119.08,113.71,114.94,2168228,APH
10/20/20,114.62,116.18,113.505,114.6,1379541,APH
10/19/20,115.13,115.84,112.57,113.1,1561765,APH
10/16/20,115.0,115.97,114.815,115.16,2972622,APH
10/15/20,112.21,114.42,111.63,114.36,1362186,APH
10/14/20,113.77,114.65,112.755,113.48,1062905,APH
10/13/20,114.17,114.44,112.695,112.98,1534737,APH
10/12/20,114.2,116.1,113.74,114.76,1959475,APH
10/09/20,114.53,115.255,113.12,113.49,1209762,APH
10/08/20,113.53,114.55,113.17,113.5,703560,APH
10/07/20,111.23,113.56,111.23,113.03,859016,APH
10/06/20,111.29,112.76,110.04,110.14,1175671,APH
10/05/20,110.26,112.63,110.26,111.53,1474138,APH
10/02/20,107.63,110.71,106.98,109.36,1209328,APH
10/01/20,109.92,110.0,108.945,109.79,1029572,APH
09/30/20,109.04,109.79,107.5906,108.27,1848594,APH
09/29/20,108.71,109.28,107.61,108.63,1518412,APH
09/28/20,107.53,108.94,107.0,108.18,1205236,APH
09/25/20,103.64,106.13,103.17,105.66,1121473,APH
09/24/20,102.71,105.6,102.42,104.19,1338478,APH
09/23/20,104.51,105.25,102.8,103.29,1523006,APH
09/22/20,103.79,104.85,101.69,104.62,1629656,APH
09/21/20,107.21,107.68,102.91,103.49,1583817,APH
09/18/20,109.74,110.76,108.23,108.87,2071286,APH
09/17/20,108.11,110.445,107.84,109.88,1995675,APH
09/16/20,110.0,110.26,108.88,109.08,1354310,APH
09/15/20,107.47,109.305,107.3,108.33,901424,APH
09/14/20,105.39,107.04,105.25,106.78,1253321,APH
09/11/20,105.37,106.13,103.87,104.29,1709391,APH
09/10/20,107.49,107.97,104.05,104.53,1366209,APH
09/09/20,106.5,107.79,105.855,106.78,2619238,APH
09/08/20,106.67,107.57,104.95,105.06,1697386,APH
09/04/20,109.47,109.63,106.51,108.45,1302957,APH
09/03/20,112.66,112.67,107.66,108.47,1259199,APH
09/02/20,111.49,113.25,110.77,112.96,1363032,APH
09/01/20,110.0,111.03,109.41,110.79,1254223,APH
08/31/20,109.64,110.3,109.35,109.8,1103902,APH
08/28/20,108.19,109.95,107.73,109.78,1076306,APH
08/27/20,110.05,110.05,107.9,108.1,813297,APH
08/26/20,108.96,109.57,108.51,109.05,937547,APH
08/25/20,109.14,110.19,108.52,108.91,1073500,APH
08/24/20,104.99,109.27,104.2,108.75,827649,APH
08/21/20,107.3,108.6,107.11,108.24,963219,APH
08/20/20,108.28,108.5,107.09,107.3,888257,APH
08/19/20,109.5,109.96,108.92,109.14,584636,APH
08/18/20,109.66,109.86,109.01,109.15,832183,APH
08/17/20,110.19,110.79,109.8,109.89,838896,APH
08/14/20,110.07,110.3,109.44,109.78,797197,APH
08/13/20,109.35,111.4,108.81,110.57,1034945,APH
08/12/20,109.26,110.375,108.4401,109.79,1355581,APH
08/11/20,108.71,110.0,108.56,108.81,1664001,APH
08/10/20,107.69,108.94,107.61,108.12,2267907,APH
08/07/20,107.97,108.44,107.14,107.96,1089366,APH
08/06/20,108.18,108.83,107.87,108.35,775123,APH
08/05/20,108.73,109.5,108.09,108.65,809161,APH
08/04/20,107.13,108.54,107.0,108.42,1101045,APH
08/03/20,105.96,107.74,105.96,107.39,1109548,APH
07/31/20,104.97,105.89,104.04,105.76,1181437,APH
07/30/20,104.7,105.43,104.12,105.17,1190369,APH
07/29/20,104.52,106.19,104.09,105.83,1363952,APH
07/28/20,105.93,106.14,104.02,104.21,1188069,APH
07/27/20,104.42,106.43,104.02,106.17,1229504,APH
07/24/20,105.15,105.57,103.76,104.39,1467785,APH
07/23/20,104.46,105.98,103.83,105.6,2223170,APH
07/22/20,104.0,106.31,101.9427,103.27,1918585,APH
07/21/20,102.12,103.18,101.87,102.1,1253811,APH
07/20/20,101.71,102.005,100.59,101.48,1454571,APH
07/17/20,101.52,102.55,101.11,102.02,1236387,APH
07/16/20,100.45,101.32,100.255,100.91,1117233,APH
07/15/20,98.29,100.78,98.29,100.44,2361821,APH
07/14/20,94.53,97.47,94.16,97.4,1981271,APH
07/13/20,95.87,96.2067,94.18,94.46,1886383,APH
07/10/20,94.65,95.32,93.52,94.93,1156639,APH
07/09/20,94.79,95.41,93.62,94.49,1693625,APH
07/08/20,96.19,96.5,94.325,95.05,1496365,APH
07/07/20,97.17,97.97399999999999,96.09,96.22,919642,APH
07/06/20,97.53,98.39,97.01,98.14,1038573,APH
07/02/20,96.75,97.34,95.305,95.87,1270792,APH
07/01/20,96.15,96.85,94.62,95.08,1465521,APH
06/30/20,95.21,96.49,95.07,95.81,2111772,APH
06/29/20,95.09,95.72,94.29,95.23,1256905,APH
06/26/20,95.0,95.16,93.0,93.97,3066613,APH
06/25/20,94.2,95.26,92.59,95.2,902446,APH
06/24/20,96.49,96.8,93.69,94.61,1722424,APH
06/23/20,98.97,99.6,97.15,97.15,1077703,APH
06/22/20,96.84,97.97,95.88,97.56,961328,APH
06/19/20,100.92,100.92,96.87,97.03,2400969,APH
06/18/20,97.73,98.85,97.3,97.96,814555,APH
06/17/20,99.19,99.665,97.62,98.47,1098127,APH
06/16/20,99.37,100.78,96.94,98.57,1307318,APH
06/15/20,93.2,96.53,91.81,96.48,1269877,APH
06/12/20,97.47,97.75,93.25,95.01,1463099,APH
06/11/20,97.76,98.2275,94.49,94.51,1715762,APH
06/10/20,102.5,102.5,99.67,100.34,1107523,APH
06/09/20,102.55,103.11,101.4,101.72,1519899,APH
06/08/20,106.76,107.19,103.94,104.08,2659945,APH
06/05/20,104.16,108.36,104.16,107.0,3597270,APH
06/04/20,102.0,103.3799,100.96,101.57,2124983,APH
06/03/20,100.0,103.34,99.51,103.19,1984301,APH
06/02/20,98.19,99.22,97.05,98.94,1904317,APH
06/01/20,96.23,98.33,95.93,97.73,1376795,APH
05/29/20,95.05,96.78,94.1,96.56,2061641,APH
05/28/20,96.35,96.57,94.84,95.35,1438615,APH
05/27/20,95.0,96.03,94.3,95.53,1660355,APH
05/26/20,93.15,94.48,92.95,93.99,2055209,APH
05/22/20,90.13,90.9,89.2,90.8,1592061,APH
05/21/20,90.68,91.24,89.77,90.21,1469739,APH
05/20/20,90.58,92.05,90.365,90.96,1018837,APH
05/19/20,88.09,90.43,87.95,89.12,1112708,APH
05/18/20,84.84,88.96,84.78,88.44,1544862,APH
05/15/20,82.51,83.335,81.35,82.31,1625179,APH
05/14/20,80.46,83.31,80.16,83.28,1651300,APH
05/13/20,84.32,84.4,80.525,81.82,1481343,APH
05/12/20,87.59,87.98,84.2,84.27,1262202,APH
05/11/20,88.41,88.41,87.04,87.1,1135367,APH
05/08/20,88.78,89.57,88.43,89.56,1073740,APH
05/07/20,87.4,88.53,86.94,87.24,1051631,APH
05/06/20,86.88,87.455,85.75,86.08,1046054,APH
05/05/20,84.96,87.19,84.96,86.25,996598,APH
05/04/20,84.69,84.985,83.22,83.92,1683536,APH
05/01/20,86.19,86.66,84.31,85.5,1619020,APH
04/30/20,90.93,91.22,88.205,88.26,1924454,APH
04/29/20,90.0,92.74,89.76,92.16,1408207,APH
04/28/20,89.8,90.57,87.96,88.34,1687168,APH
04/27/20,86.63,88.13,86.63,87.53,1417013,APH
04/24/20,84.42,86.53,84.25,86.17,1417321,APH
04/23/20,83.83,86.15,82.61399999999999,83.98,2900421,APH
04/22/20,78.66,82.5,77.31,81.67,3349090,APH
04/21/20,80.02,80.77,76.275,76.92,4104698,APH
04/20/20,81.33,82.9,80.68,81.25,1832580,APH
04/17/20,82.66,84.87,82.61,84.22,2218521,APH
04/16/20,80.38,81.17,79.59,80.86,1546032,APH
04/15/20,80.37,81.3,79.3607,80.37,2164162,APH
04/14/20,81.96,83.62,81.27,82.47,2366634,APH
04/13/20,80.36,81.571,79.905,80.66,1611153,APH
04/09/20,80.29,83.12,80.2795,81.91,1785538,APH
04/08/20,76.26,80.08,76.01,79.62,2209746,APH
04/07/20,79.07,79.72,75.54,75.71,2487402,APH
04/06/20,72.18,75.77,71.46,75.34,3783390,APH
04/03/20,68.38,69.36,67.59,68.42,2111260,APH
04/02/20,69.67,70.525,67.46,68.76,4304816,APH
04/01/20,70.15,72.02,69.395,69.52,2850433,APH
03/31/20,75.87,76.01,72.39,72.88,2333725,APH
03/30/20,74.56,76.19,73.57,75.83,2701450,APH
03/27/20,75.98,77.32,74.05,74.27,1905911,APH
03/26/20,74.98,80.1,74.51,79.17,2582535,APH
03/25/20,74.44,77.96,72.005,74.92,2600435,APH
03/24/20,72.48,74.99,71.61,74.15,2935811,APH
03/23/20,68.94,71.88,65.0,69.0,3712600,APH
03/20/20,68.8,72.69,68.61,70.04,3133979,APH
03/19/20,67.31,69.5,64.32,68.76,3070913,APH
03/18/20,65.56,68.45,63.05,68.41,2956103,APH
03/17/20,69.61,73.14,66.75,71.33,2894462,APH
03/16/20,69.88,73.84,64.1,68.34,3517326,APH
03/13/20,79.22,80.86,73.4425,79.6,4231921,APH
03/12/20,78.84,82.31,75.11,75.12,3639248,APH
03/11/20,87.54,87.87,82.37,84.27,2458284,APH
03/10/20,88.34,90.51,84.6,90.49,2894658,APH
03/09/20,86.67,98.1,85.0,85.53,2327108,APH
03/06/20,90.22,92.97,90.08,92.56,1585754,APH
03/05/20,94.36,95.54,92.75,93.42,1681017,APH
03/04/20,94.53,97.06,93.67,97.0,1264980,APH
03/03/20,94.62,97.64,92.72,92.97,1813242,APH
03/02/20,92.41,94.95,90.61,94.93,2539835,APH
02/28/20,90.45,92.43,89.19,91.68,2994763,APH
02/27/20,93.53,95.6,92.56,92.58,2126077,APH
02/26/20,96.37,98.03,95.39,95.67,2459770,APH
02/25/20,98.43,99.05,95.2,95.47,2528622,APH
02/24/20,98.0,99.5,96.05,97.67,2196083,APH
