Date, Open, High, Low, Close, Volume,ticker
12/24/20,173.78,174.6,173.06,174.5,212771,ARE
12/23/20,176.72,178.07,173.1,173.69,581718,ARE
12/22/20,174.39,176.09,173.75,175.89,638270,ARE
12/21/20,173.19,175.22,172.89,174.62,975429,ARE
12/18/20,177.36,178.505,174.25,175.26,2900610,ARE
12/17/20,179.01,179.79,176.49,177.7,901633,ARE
12/16/20,176.76,178.88,176.3749,177.63,716163,ARE
12/15/20,172.84,176.18,171.33,176.18,1066519,ARE
12/14/20,173.73,176.915,172.48,172.83,1017568,ARE
12/11/20,170.05,172.65,170.025,172.58,709595,ARE
12/10/20,170.14,172.4,170.14,171.01,601425,ARE
12/09/20,170.94,171.95,168.45,171.26,640889,ARE
12/08/20,170.97,171.93,170.38,170.79,566819,ARE
12/07/20,170.35,171.67,170.35,171.04,592553,ARE
12/04/20,169.07,171.24,168.64,170.94,659771,ARE
12/03/20,165.95,168.84,165.95,167.73,668764,ARE
12/02/20,167.77,170.18,165.46,165.97,695310,ARE
12/01/20,165.08,168.83,164.92,168.11,817077,ARE
11/30/20,161.97,163.92,160.98,163.73,876864,ARE
11/27/20,162.75,163.21,161.54,162.14,251247,ARE
11/25/20,162.33,163.144,161.06,162.58,492339,ARE
11/24/20,165.75,166.4,162.03,162.36,1006892,ARE
11/23/20,164.81,166.17,163.49,163.97,743040,ARE
11/20/20,163.87,164.87,162.88,164.14,522244,ARE
11/19/20,162.07,163.94,160.66,163.74,475177,ARE
11/18/20,165.43,167.065,162.52,162.53,553529,ARE
11/17/20,164.77,165.44,163.41,165.29,549686,ARE
11/16/20,166.705,167.19,161.63,165.33,853517,ARE
11/13/20,161.6,164.76,161.54,164.37,715434,ARE
11/12/20,162.57,163.18,159.92,161.37,826623,ARE
11/11/20,162.325,163.575,160.705,162.75,896626,ARE
11/10/20,154.51,161.88,153.615,161.76,1421265,ARE
11/09/20,164.68,169.47,153.65,154.07,1726918,ARE
11/06/20,157.92,159.68,156.44,157.12,1069349,ARE
11/05/20,159.6,159.915,157.34,158.39,612543,ARE
11/04/20,156.61,160.1,156.11,158.64,1140142,ARE
11/03/20,156.26,157.23,154.89,155.75,908448,ARE
11/02/20,152.96,154.92,152.3,154.92,1104495,ARE
10/30/20,151.09,152.45,150.08,151.52,832813,ARE
10/29/20,152.6,153.85,150.395,151.51,618266,ARE
10/28/20,153.41,154.75,152.02,152.17,902082,ARE
10/27/20,156.45,158.58,154.07,156.16,811254,ARE
10/26/20,159.27,159.85,155.83,156.83,823656,ARE
10/23/20,161.25,161.42,159.8,160.54,387183,ARE
10/22/20,159.8,161.07,159.4643,160.16,488704,ARE
10/21/20,160.0,161.26,158.9,160.08,619900,ARE
10/20/20,159.62,160.68,158.98,160.02,540394,ARE
10/19/20,162.69,162.96,158.42,158.54,1148151,ARE
10/16/20,162.01,163.46,161.52,162.06,696318,ARE
10/15/20,161.0,162.98,160.51,161.93,483526,ARE
10/14/20,165.36,165.71,162.065,162.27,486240,ARE
10/13/20,166.35,168.085,165.08,165.62,835449,ARE
