Date, Open, High, Low, Close, Volume,ticker
12/24/20,90.3,91.22,90.28,90.96,2269128,ATVI
12/23/20,89.95,90.49,88.8,90.21,4728622,ATVI
12/22/20,89.44,89.61,88.3,89.42,5085628,ATVI
12/21/20,89.48,90.05,87.18,88.81,7303993,ATVI
12/18/20,89.04,90.78,88.29,90.37,14075340,ATVI
12/17/20,88.865,89.35,86.979,88.46,6796917,ATVI
12/16/20,87.26,88.29,86.84,88.22,6969291,ATVI
12/15/20,86.25,86.96,85.59,86.92,5946788,ATVI
12/14/20,84.27,86.2601,84.075,85.94,7506401,ATVI
12/11/20,83.13,84.04,82.87,83.68,5864152,ATVI
12/10/20,82.28,83.93,81.68,83.11,8503317,ATVI
12/09/20,83.5,83.68,81.87,82.58,11116610,ATVI
12/08/20,82.48,83.635,81.99,83.63,6740344,ATVI
12/07/20,81.4,82.95,81.18,82.27,6731026,ATVI
12/04/20,78.72,80.93,78.635,80.88,6414285,ATVI
12/03/20,79.31,79.81,78.55,78.79,4860022,ATVI
12/02/20,79.72,80.01,78.7388,79.15,4780605,ATVI
12/01/20,79.94,79.99,78.63,79.93,5795761,ATVI
11/30/20,78.32,79.73,77.78,79.48,15235000,ATVI
11/27/20,77.7,78.21,76.66,78.14,3382461,ATVI
11/25/20,75.93,77.14,75.65,76.51,4823084,ATVI
11/24/20,75.93,76.05,74.91,75.23,7259106,ATVI
11/23/20,76.92,77.34,75.11,75.92,6953471,ATVI
11/20/20,75.7,77.71,75.5,76.81,6731817,ATVI
11/19/20,73.96,76.7,73.74,75.93,8750739,ATVI
11/18/20,76.945,77.07,75.26,75.5,9287224,ATVI
11/17/20,77.52,78.8,77.01,77.11,6210318,ATVI
11/16/20,76.72,77.5,75.57,77.44,7876961,ATVI
11/13/20,77.5,77.7,76.61,77.55,5596410,ATVI
11/12/20,77.12,78.4,76.525,76.71,4881896,ATVI
11/11/20,76.345,76.69,75.71,76.55,5510993,ATVI
11/10/20,74.8,76.24,73.21,75.12,8658862,ATVI
11/09/20,75.0,78.23,71.19,75.41,13716610,ATVI
11/06/20,79.87,80.14,77.27,78.81,7576545,ATVI
11/05/20,80.743,81.68,79.89,80.14,6581667,ATVI
11/04/20,78.93,80.02,77.67,79.37,8632891,ATVI
11/03/20,76.58,77.68,75.76,76.26,6820353,ATVI
11/02/20,76.55,77.77,75.7,76.4,7306645,ATVI
10/30/20,77.45,78.28,74.37,75.73,11979400,ATVI
10/29/20,78.96,79.47,77.133,77.77,9877153,ATVI
10/28/20,80.18,80.68,78.93,79.01,5910440,ATVI
10/27/20,81.0,81.49,80.08,80.96,5469669,ATVI
10/26/20,80.75,81.76,79.76,80.49,4235527,ATVI
10/23/20,81.0,81.3807,79.89,81.04,4303407,ATVI
10/22/20,82.205,82.205,79.57,80.77,4344010,ATVI
10/21/20,80.985,82.59,80.72,81.94,5305066,ATVI
10/20/20,80.5,81.13,79.595,80.14,3366040,ATVI
10/19/20,82.28,82.505,79.81,80.08,4463197,ATVI
10/16/20,80.95,81.615,80.52,80.62,4683982,ATVI
10/15/20,81.02,81.47,80.115,80.35,3864132,ATVI
10/14/20,82.51,82.96,81.0768,81.9,5516890,ATVI
10/13/20,81.44,82.46,80.461,81.98,5270342,ATVI
10/12/20,79.28,81.92,78.95,81.06,6724619,ATVI
10/09/20,78.19,78.75,77.72,78.21,5433235,ATVI
10/08/20,78.7,78.9618,77.35,77.8,5492097,ATVI
10/07/20,78.68,78.925,77.66,78.47,5421275,ATVI
10/06/20,79.77,80.64399999999999,78.12,78.3,4886976,ATVI
10/05/20,79.36,80.17,78.4,79.99,5561114,ATVI
10/02/20,81.99,81.99,78.13,78.3,8789527,ATVI
10/01/20,81.72,83.54,81.38,82.68,6035872,ATVI
09/30/20,80.61,82.015,80.4,80.95,7454960,ATVI
09/29/20,81.83,82.0,80.54,80.78,4829970,ATVI
09/28/20,81.63,82.02,80.505,81.95,3838053,ATVI
09/25/20,79.88,81.335,79.06,80.98,4954328,ATVI
09/24/20,79.28,80.89,79.25,79.69,5023697,ATVI
09/23/20,82.53,83.15,79.89,80.13,5849101,ATVI
09/22/20,82.31299999999999,83.275,80.755,82.65,6237487,ATVI
09/21/20,79.64,81.465,79.16,81.41,6293228,ATVI
09/18/20,79.33,80.64,78.08,80.09,9409432,ATVI
09/17/20,78.06,79.19,77.71,78.77,7609525,ATVI
09/16/20,81.68,82.39,79.825,79.99,4996733,ATVI
09/15/20,80.0,82.2089,79.78,81.75,6501143,ATVI
09/14/20,79.04,79.42,78.48,79.12,6221811,ATVI
09/11/20,79.83,80.52,77.63,77.97,6024537,ATVI
09/10/20,80.29,81.11,78.73,79.09,8457979,ATVI
09/09/20,77.85,80.0,77.26,79.59,6984702,ATVI
09/08/20,76.58,77.49,75.92,76.18,11025000,ATVI
09/04/20,79.1,79.8,75.68,79.01,8947258,ATVI
09/03/20,82.96,83.0,79.411,80.31,7996811,ATVI
09/02/20,83.58,84.02,82.475,83.45,7125069,ATVI
09/01/20,83.844,84.49,82.6,83.33,5955106,ATVI
08/31/20,82.81,83.9299,82.69,83.52,6269549,ATVI
08/28/20,83.95,84.03,82.31,83.21,4646739,ATVI
08/27/20,85.0,85.0,82.775,83.9,4221334,ATVI
08/26/20,83.83,84.94,83.54,84.48,7046351,ATVI
08/25/20,82.93,83.845,82.3685,83.62,3658992,ATVI
08/24/20,83.34,83.66,81.91,83.1,4281857,ATVI
08/21/20,84.05,84.09,82.73,83.21,5102134,ATVI
08/20/20,82.02,84.22,81.8613,83.995,5604107,ATVI
08/19/20,82.95,83.73,81.73,81.98,5566091,ATVI
08/18/20,82.6,83.2799,81.59,83.13,4479265,ATVI
08/17/20,80.97,82.05,80.1686,81.99,7091775,ATVI
08/14/20,81.97,82.3,79.98,80.4,9390035,ATVI
08/13/20,82.28,82.98,81.2,81.29,5329083,ATVI
08/12/20,79.58,81.99,79.58,81.71,6200326,ATVI
08/11/20,81.51,81.51,78.7,79.12,9095695,ATVI
08/10/20,82.43,83.51,80.84,82.26,8018241,ATVI
08/07/20,84.43,85.4,80.99,82.47,9181875,ATVI
08/06/20,87.55,87.7265,85.5,86.84,9586305,ATVI
08/05/20,84.65,86.02,83.35,84.32,12559790,ATVI
08/04/20,86.77,87.04,83.95,86.45,16110330,ATVI
08/03/20,84.41,85.05,82.87,84.79,8589596,ATVI
07/31/20,82.81,83.45,81.76,82.63,8923266,ATVI
07/30/20,80.6,82.02,79.91,81.7,4034047,ATVI
07/29/20,81.26,81.44,80.62,81.2,2957601,ATVI
07/28/20,81.37,81.86,80.59,80.72,3637146,ATVI
07/27/20,80.6,81.795,80.59,81.63,3777232,ATVI
07/24/20,79.32,80.745,78.12,79.99,4371429,ATVI
07/23/20,81.49,82.67,79.38,79.61,5963149,ATVI
07/22/20,80.97,81.38,80.42,81.1,2937364,ATVI
07/21/20,81.645,81.83,79.62,80.76,5496467,ATVI
07/20/20,79.07,81.37,78.68,81.16,5556413,ATVI
07/17/20,79.41,79.85,77.95,78.64,6241468,ATVI
07/16/20,78.88,79.48,77.87,79.37,4950149,ATVI
07/15/20,78.52,79.585,77.455,79.15,6994327,ATVI
07/14/20,76.81,79.89,76.21,79.77,4875560,ATVI
07/13/20,82.01,82.05,77.52,77.95,7437572,ATVI
07/10/20,80.72,81.5254,79.63,81.27,6071116,ATVI
07/09/20,79.93,80.75,78.8213,80.64,6005720,ATVI
07/08/20,79.06,79.345,77.97,79.28,4863396,ATVI
07/07/20,79.0,80.38,78.39,78.5,6038790,ATVI
07/06/20,78.46,79.44,78.05,78.67,6041824,ATVI
07/02/20,78.86,79.11,77.045,77.51,5169711,ATVI
07/01/20,75.45,78.23,74.97,78.03,10187730,ATVI
06/30/20,75.69,76.43,75.42,75.9,6535740,ATVI
06/29/20,75.82,76.515,74.93,75.5,5099362,ATVI
06/26/20,76.54,76.84,74.65,76.4,11572670,ATVI
06/25/20,76.61,76.77,74.46,76.21,6157310,ATVI
06/24/20,76.46,77.17,74.43,75.58,7744934,ATVI
06/23/20,76.73,77.63,76.22,76.45,4472169,ATVI
06/22/20,76.67,77.2,75.87,76.12,5243074,ATVI
06/19/20,76.18,76.75,75.09,76.58,10385250,ATVI
06/18/20,75.99,76.37,74.89,76.01,7270416,ATVI
06/17/20,73.69,76.48,73.31,75.53,12763570,ATVI
06/16/20,74.0,74.19,72.23,73.0,6360259,ATVI
06/15/20,71.48,73.55,71.27,73.19,6494643,ATVI
06/12/20,71.5,73.21,70.25,71.68,5921437,ATVI
06/11/20,72.87,74.35,71.02,71.28,7808023,ATVI
06/10/20,72.38,74.24,72.31,73.82,9106784,ATVI
06/09/20,71.28,72.16,70.23,72.0,6245192,ATVI
06/08/20,68.49,70.77,68.33,70.73,6941441,ATVI
06/05/20,67.99,69.59,67.4,69.43,8620317,ATVI
06/04/20,69.5,71.1,69.1,69.81,7629965,ATVI
06/03/20,72.39,72.63,69.665,69.92,10519780,ATVI
06/02/20,72.78,73.04,71.0902,72.98,6518530,ATVI
06/01/20,72.19,73.58,71.72,72.99,4931853,ATVI
05/29/20,70.66,72.21,69.82,71.98,11437090,ATVI
05/28/20,70.0,71.73,69.4006,70.22,7899909,ATVI
05/27/20,69.29,70.34,66.592,70.15,13218570,ATVI
05/26/20,73.37,73.4888,69.61,70.0,11628600,ATVI
05/22/20,73.01,73.16,72.2,73.08,5161359,ATVI
05/21/20,74.36,74.49,72.44,72.47,9522924,ATVI
05/20/20,73.535,74.54,73.24,73.78,6231063,ATVI
05/19/20,72.9,74.44,72.72,73.03,5509676,ATVI
05/18/20,73.86,74.68,72.45,72.88,8495178,ATVI
05/15/20,72.62,74.0,72.285,73.92,5854174,ATVI
05/14/20,73.12,73.9,71.61,72.96,6749221,ATVI
05/13/20,72.51,75.01,71.97,73.67,8807713,ATVI
05/12/20,75.265,75.49,71.95,72.25,8921039,ATVI
05/11/20,73.061,75.97,72.6,75.46,9285199,ATVI
05/08/20,73.18,74.0,72.51,73.14,6089228,ATVI
05/07/20,72.31,73.645,71.12,73.1,8653066,ATVI
05/06/20,74.0,74.795,71.03,72.87,21709490,ATVI
05/05/20,67.67,69.63,66.97,68.53,15461920,ATVI
05/04/20,65.33,66.89,65.23,66.7,7778103,ATVI
05/01/20,63.14,64.935,62.85,64.72,5103496,ATVI
04/30/20,64.82,65.46,63.41,63.73,9895100,ATVI
04/29/20,64.149,65.2,62.3374,64.79,8572624,ATVI
04/28/20,67.0,67.33,63.72,63.86,7912156,ATVI
04/27/20,67.39699999999999,67.77,66.51,67.06,6135258,ATVI
04/24/20,66.07,66.88,65.8,66.65,7315817,ATVI
04/23/20,66.98,67.5799,65.82,65.88,5900153,ATVI
04/22/20,66.7,67.12,64.73,66.98,6690149,ATVI
04/21/20,66.24,67.04,64.97,65.72,7782687,ATVI
04/20/20,66.62,67.15,65.96,66.5,5110247,ATVI
04/17/20,66.5,67.0,64.89,66.88,10942340,ATVI
04/16/20,66.454,68.32,65.55,68.05,11276050,ATVI
04/15/20,62.63,66.0566,62.25,65.71,9411348,ATVI
