Date, Open, High, Low, Close, Volume,ticker
12/24/20,157.39,158.11,156.10399999999998,157.74,246072,AVB
12/23/20,159.58,160.89,156.51,156.72,564129,AVB
12/22/20,158.31,158.62,156.21,158.56,823614,AVB
12/21/20,155.0,158.26,155.0,157.96,952831,AVB
12/18/20,162.69,163.42,157.01,158.44,2432864,AVB
12/17/20,162.51,163.33,160.51,163.23,1005962,AVB
12/16/20,162.0,163.25,159.71,161.51,1109945,AVB
12/15/20,160.15,161.98,158.23,161.97,839716,AVB
12/14/20,163.24,164.84,159.585,159.67,971926,AVB
12/11/20,161.1,162.84,160.8,162.36,1052402,AVB
12/10/20,165.88,167.81,162.32,162.52,1071012,AVB
12/09/20,169.16,170.54,164.76,166.45,1415096,AVB
12/08/20,171.64,172.27,169.29,169.35,1168056,AVB
12/07/20,172.45,174.16,172.24,172.68,550246,AVB
12/04/20,172.14,174.19,170.75,173.84,1012443,AVB
12/03/20,169.01,171.99,168.71,171.13,1204482,AVB
12/02/20,168.51,172.99,167.83,169.28,967947,AVB
12/01/20,169.28,169.715,167.05,167.45,907234,AVB
11/30/20,166.69,168.57,164.275,166.59,2290077,AVB
11/27/20,170.92,170.92,167.2,167.87,324489,AVB
11/25/20,172.38,172.635,169.71,171.05,660637,AVB
11/24/20,173.83,175.37,172.36,173.31,907729,AVB
11/23/20,172.35,174.04,170.56,171.05,1130497,AVB
11/20/20,171.02,172.64,169.77,171.9,984711,AVB
11/19/20,168.64,170.57,164.83,170.3,961192,AVB
11/18/20,174.96,175.67,169.56,169.6,832561,AVB
11/17/20,171.46,175.45,170.01,174.12,664748,AVB
11/16/20,176.28,176.79,170.58,173.35,962092,AVB
11/13/20,167.39,169.52,167.285,169.34,894676,AVB
11/12/20,168.19,168.59,164.41,166.5,980883,AVB
11/11/20,171.2,171.2,167.21,168.82,1526893,AVB
11/10/20,165.29,174.49,164.55,171.79,2680540,AVB
11/09/20,158.98,184.49,158.98,164.69,3047815,AVB
11/06/20,148.09,150.41,146.95,147.95,956053,AVB
11/05/20,148.79,150.7,147.27,148.24,951206,AVB
11/04/20,150.58,150.95,146.9269,148.33,1178167,AVB
11/03/20,147.03,153.29,146.75,151.15,1330682,AVB
11/02/20,140.1,145.35,137.895,145.34,1180842,AVB
10/30/20,135.28,140.09,135.28,139.13,1330504,AVB
10/29/20,132.71,137.82,132.06,136.13,1638844,AVB
10/28/20,137.5,137.78,131.38,132.71,2059930,AVB
10/27/20,143.02,143.97,139.88,139.88,969483,AVB
10/26/20,145.0,145.295,142.02,143.38,912799,AVB
10/23/20,147.72,148.2471,145.66,145.79,788215,AVB
10/22/20,146.32,147.24,144.93,146.48,521607,AVB
10/21/20,145.09,146.39,144.27,145.97,948005,AVB
10/20/20,146.82,147.33,145.15,145.55,1045091,AVB
10/19/20,149.73,150.565,145.25,145.41,1158205,AVB
10/16/20,152.89,153.67,148.94,148.94,1420691,AVB
10/15/20,152.21,155.33,152.21,153.16,683102,AVB
10/14/20,154.78,155.83,153.6,153.62,836282,AVB
10/13/20,155.5,158.16,152.87,154.9,1042487,AVB
10/12/20,158.99,159.66,157.33,159.1,867319,AVB
10/09/20,161.01,161.82,157.29,158.34,883724,AVB
10/08/20,157.96,160.82,157.35,160.1,716104,AVB
10/07/20,159.12,160.13,155.75,156.85,1024905,AVB
10/06/20,161.49,162.33,157.79,158.6,1100720,AVB
10/05/20,159.04,160.84,156.71,160.43,1135490,AVB
10/02/20,153.32,159.02,151.59,157.94,1487269,AVB
10/01/20,149.72,155.63,149.61,155.6,1140147,AVB
09/30/20,148.65,150.48,147.31,149.34,1204279,AVB
09/29/20,149.34,150.78,146.44,147.52,851786,AVB
09/28/20,150.38,152.82,149.58,151.45,1126066,AVB
09/25/20,146.46,148.1,145.305,148.04,1225393,AVB
09/24/20,146.44,148.62,145.01,146.96,1287287,AVB
09/23/20,149.02,151.16,146.52,147.06,1294678,AVB
09/22/20,146.04,150.47,146.04,149.2,1055897,AVB
09/21/20,149.75,149.88,145.61,145.93,1579081,AVB
09/18/20,152.31,153.5,150.97,151.06,1945431,AVB
09/17/20,151.97,154.845,150.51,153.5,850266,AVB
09/16/20,152.68,154.905,152.19,153.09,966923,AVB
09/15/20,154.54,155.9,152.47,152.57,896634,AVB
09/14/20,150.87,156.08,150.14,154.56,1386051,AVB
09/11/20,152.36,152.43,148.5,149.87,1353321,AVB
09/10/20,155.72,156.13,151.35,152.52,1855918,AVB
09/09/20,158.38,159.29,155.93,156.34,1214593,AVB
09/08/20,160.84,160.93,157.94,158.46,1135512,AVB
09/04/20,160.35,163.31,159.15,162.1,855643,AVB
09/03/20,162.87,164.12,158.6,160.32,923456,AVB
09/02/20,158.18,161.33,157.2,161.3,965607,AVB
09/01/20,157.05,158.38,155.83,158.2,1127429,AVB
08/31/20,158.67,158.955,156.75,158.06,979056,AVB
08/28/20,158.84,160.13,156.83,159.62,839659,AVB
08/27/20,154.69,158.78,154.69,158.45,611459,AVB
08/26/20,154.55,154.9,152.24,153.85,969094,AVB
08/25/20,155.82,156.81,154.305,155.52,649486,AVB
08/24/20,152.14,155.78,150.555,155.78,839545,AVB
08/21/20,153.93,154.96,151.04,152.41,616337,AVB
08/20/20,151.73,154.9,151.46,153.7,728794,AVB
08/19/20,154.34,154.34,151.16,152.15,1082123,AVB
08/18/20,155.38,155.43,153.425,154.67,739698,AVB
08/17/20,153.17,155.4,152.51,155.37,591408,AVB
08/14/20,150.31,154.66,149.81,153.05,652707,AVB
08/13/20,151.79,154.91,150.6,150.7,825810,AVB
08/12/20,151.95,153.02,150.87,152.91,539234,AVB
08/11/20,155.32,157.0,151.03,151.74,643720,AVB
08/10/20,154.15,156.6,153.62,153.8,501332,AVB
08/07/20,150.0,153.88,149.76,153.86,884726,AVB
08/06/20,149.75,151.85,149.75,150.97,584351,AVB
08/05/20,152.0,153.26,149.91,150.93,727305,AVB
08/04/20,149.69,152.24,148.825,151.7,1087010,AVB
08/03/20,151.31,151.495,149.35,149.93,951053,AVB
07/31/20,151.12,153.24,146.97,153.12,1412238,AVB
07/30/20,149.75,151.2,145.68,151.2,1311973,AVB
07/29/20,151.41,151.75,146.67,151.58,1258036,AVB
07/28/20,145.8,150.84,144.55,150.24,872821,AVB
07/27/20,146.0,146.26,143.31,145.72,851440,AVB
07/24/20,148.67,149.33,146.63,146.85,725610,AVB
07/23/20,150.55,151.878,146.72,148.15,826177,AVB
07/22/20,146.64,150.71,145.58,150.41,2345302,AVB
07/21/20,150.52,151.2,147.32,147.48,932039,AVB
07/20/20,151.28,153.09,148.06,149.56,908334,AVB
07/17/20,154.79,155.035,152.8,153.89,893011,AVB
07/16/20,152.77,155.4,152.77,154.37,768030,AVB
07/15/20,156.07,156.2,152.525,154.54,869773,AVB
07/14/20,151.86,155.39,151.37,154.4,523204,AVB
07/13/20,152.94,154.31,150.65,152.14,624547,AVB
07/10/20,151.62,153.9,151.07,152.74,504646,AVB
07/09/20,152.45,153.45,149.89,151.64,1307646,AVB
07/08/20,154.72,155.76,152.935,153.3,841759,AVB
07/07/20,156.96,158.24,154.57,154.72,1060280,AVB
07/06/20,163.22,163.7,158.31,159.49,1240407,AVB
07/02/20,161.57,162.55,157.2927,159.92,947334,AVB
07/01/20,155.03,159.76,154.595,159.05,690195,AVB
06/30/20,152.72,155.37,151.96,154.64,1405043,AVB
06/29/20,151.37,153.0,148.97,153.0,680170,AVB
06/26/20,152.7,154.44,150.13,151.38,1183121,AVB
06/25/20,150.67,153.49,149.95,153.37,869012,AVB
