Date, Open, High, Low, Close, Volume,ticker
12/24/20,428.49,432.0,427.57,431.46,412268,AVGO
12/23/20,435.0,436.0,425.08,425.46,1053366,AVGO
12/22/20,428.88,433.55,428.0,433.1,1793801,AVGO
12/21/20,428.15,432.0,423.7,428.88,1909606,AVGO
12/18/20,424.8,435.65,422.0,434.56,4524332,AVGO
12/17/20,426.5,430.01,424.545,426.1,1715176,AVGO
12/16/20,418.0,427.14599999999996,416.9648,424.9,2315954,AVGO
12/15/20,415.28,419.39,412.99,418.06,2122133,AVGO
12/14/20,406.529,414.3,406.0,411.8,2611611,AVGO
12/11/20,404.0,407.0,398.28,405.82,2666510,AVGO
12/10/20,411.44,415.25,408.01,410.04,2624360,AVGO
12/09/20,419.47,426.1,413.67,416.22,2090846,AVGO
12/08/20,419.28,426.7,418.16,423.41,1812080,AVGO
12/07/20,416.41,422.842,413.34,420.89,1970749,AVGO
12/04/20,402.4,412.4,402.385,411.68,2008271,AVGO
12/03/20,404.5,406.64,398.1,399.8,1612211,AVGO
12/02/20,404.74,405.41,401.11,403.73,1003365,AVGO
12/01/20,403.46,406.68,400.12,404.57,1818154,AVGO
11/30/20,394.02,402.16,392.74,401.58,1545389,AVGO
11/27/20,393.15,399.17,393.0,394.95,684633,AVGO
11/25/20,392.84,395.5,389.0,390.83,1178849,AVGO
11/24/20,388.62,392.81,386.175,392.23,1345835,AVGO
11/23/20,385.37,389.15,383.0,387.0,1221604,AVGO
11/20/20,384.31,388.85,382.7,383.33,1614836,AVGO
11/19/20,377.72,384.84,374.35,384.33,1455537,AVGO
11/18/20,379.89,384.94,379.6205,380.62,1351854,AVGO
11/17/20,378.66,382.4399,377.03,380.6,1195092,AVGO
11/16/20,374.81,381.37,374.0,380.81,1210269,AVGO
11/13/20,375.0,377.33,371.58,373.5,1099688,AVGO
11/12/20,377.23,378.6,368.28,370.2,1217465,AVGO
11/11/20,370.86,377.14,368.55,375.92,1513418,AVGO
11/10/20,370.32,373.2,360.36,363.13,2678417,AVGO
11/09/20,389.1,393.89,375.01,375.54,2408838,AVGO
11/06/20,380.05,383.67,377.17,380.62,1354649,AVGO
11/05/20,372.35699999999997,382.65,372.01,380.87,2178342,AVGO
11/04/20,360.48,368.98,357.1401,364.63,2127661,AVGO
11/03/20,355.95,359.24,346.66,353.76,1545700,AVGO
11/02/20,355.04,355.39,348.345,351.25,1175654,AVGO
10/30/20,349.39,352.99,344.42,349.63,1853026,AVGO
10/29/20,347.26,359.44,345.37,355.01,1569735,AVGO
10/28/20,354.0,354.86,345.525,347.21,2233144,AVGO
10/27/20,365.18,365.18,359.22,359.6,961996,AVGO
10/26/20,369.6,369.955,357.61,363.04,1550896,AVGO
10/23/20,373.26,373.94,370.76,372.72,886849,AVGO
10/22/20,371.075,374.31,367.11,373.37,1354842,AVGO
10/21/20,375.77,376.86,370.31,372.05,1189635,AVGO
10/20/20,377.01,381.1352,375.56,376.99,1329692,AVGO
10/19/20,381.24,383.605,375.15,375.77,1480273,AVGO
10/16/20,383.28,383.28,378.15,378.65,1029702,AVGO
10/15/20,375.05,380.49,375.02,379.93,1437354,AVGO
10/14/20,383.54,383.735,377.85,380.3,1730153,AVGO
10/13/20,384.41,387.8,378.61,381.49,1673145,AVGO
10/12/20,381.79,385.1,379.79,382.43,1883948,AVGO
10/09/20,375.93,380.0,374.0,376.7,1725547,AVGO
10/08/20,369.89,374.29,368.31,373.33,1704535,AVGO
10/07/20,368.35,369.86,366.06,366.74,1275008,AVGO
10/06/20,366.11,372.0,362.02,363.98,1667193,AVGO
10/05/20,360.84,366.85,359.9,366.1,1892328,AVGO
10/02/20,360.0,364.92,356.15,356.83,1710021,AVGO
