Date, Open, High, Low, Close, Volume,ticker
12/24/20,153.57,153.945,152.2,153.4,82155,AVY
12/23/20,152.67,154.14,151.78,152.71,305711,AVY
12/22/20,151.37,152.81,150.19,151.76,336680,AVY
12/21/20,150.69,152.36,148.55,152.08,312923,AVY
12/18/20,151.95,153.17,150.585,152.96,995289,AVY
12/17/20,151.65,152.92,150.49,152.23,351502,AVY
12/16/20,151.01,151.22,148.9,150.65,300973,AVY
12/15/20,150.65,151.79,149.16,150.98,437578,AVY
12/14/20,151.82,151.93,148.45,148.77,599292,AVY
12/11/20,149.53,150.69,149.15,150.01,437399,AVY
12/10/20,153.12,153.21,149.96,150.8,456409,AVY
12/09/20,156.14,156.61,153.0,153.9,349453,AVY
12/08/20,153.69,156.05,152.26,155.31,438350,AVY
12/07/20,154.31,155.37,153.03,154.18,409503,AVY
12/04/20,150.35,154.24,150.1388,154.04,313830,AVY
12/03/20,150.81,152.2,149.54,149.87,450787,AVY
12/02/20,150.65,152.43,150.0,150.84,324297,AVY
12/01/20,150.81,152.71,149.01,151.75,399508,AVY
11/30/20,150.08,151.245,148.5,149.34,590297,AVY
11/27/20,151.4,152.24,149.44,150.3,179364,AVY
11/25/20,152.25,152.97,150.85,151.56,317399,AVY
11/24/20,149.27,153.5,148.58,153.06,559755,AVY
11/23/20,148.91,149.69,146.63,147.48,369977,AVY
11/20/20,146.86,147.85,146.115,147.5,414211,AVY
11/19/20,146.84,147.5,145.35,147.03,509739,AVY
11/18/20,150.16,151.5,147.41,147.43,480392,AVY
11/17/20,151.38,152.23,149.1,149.44,556536,AVY
11/16/20,152.18,153.98,150.86,152.6,513566,AVY
11/13/20,148.99,151.07,148.33,149.58,638159,AVY
11/12/20,150.54,151.35,146.595,147.62,493249,AVY
11/11/20,151.82,153.23,150.33,151.78,426883,AVY
11/10/20,151.64,152.7203,147.705,150.7,1172911,AVY
11/09/20,153.99,156.8207,150.98,152.35,891224,AVY
11/06/20,147.12,148.82,146.92,148.26,312119,AVY
11/05/20,145.4,148.895,145.0,147.04,348608,AVY
11/04/20,145.29,145.89,142.51,143.38,483012,AVY
11/03/20,143.88,146.02,143.12,145.21,452531,AVY
11/02/20,140.09,142.28,139.43,141.7,480770,AVY
10/30/20,138.15,140.29,136.68,138.39,550230,AVY
10/29/20,135.63,140.84,135.29,139.81,579491,AVY
