Date, Open, High, Low, Close, Volume,ticker
12/24/20,116.93,117.44,115.82,117.35,706966,AXP
12/23/20,115.78,118.19,115.78,116.95,2725210,AXP
12/22/20,116.19,116.26,114.38,114.55,3634384,AXP
12/21/20,115.77,118.0,113.72,116.41,4528289,AXP
12/18/20,118.59,119.36,116.65,117.51,8394103,AXP
12/17/20,119.41,119.6691,118.46,118.98,3747029,AXP
12/16/20,118.93,119.59,118.28,119.0,2943758,AXP
12/15/20,118.79,119.31,115.56,119.1,4529332,AXP
12/14/20,121.73,121.79,116.65,117.36,5336327,AXP
12/11/20,120.11,120.5,118.84,120.23,2942770,AXP
12/10/20,120.72,122.13,119.7,121.84,2818840,AXP
12/09/20,123.28,123.96,121.0065,121.69,3622849,AXP
12/08/20,122.47,124.55,122.02,123.52,3623321,AXP
12/07/20,124.51,124.87,122.63,123.94,4253683,AXP
12/04/20,124.35,125.32,123.85,125.04,5048606,AXP
12/03/20,122.85,123.95,122.115,123.12,4285438,AXP
12/02/20,119.28,122.85,118.9,122.33,3271937,AXP
12/01/20,120.32,122.57,119.85,119.93,3584437,AXP
11/30/20,120.03,121.4848,118.0,118.59,3517667,AXP
11/27/20,120.53,121.69,119.79,120.59,2447715,AXP
11/25/20,119.5,120.98,118.25,120.58,4646612,AXP
11/24/20,119.0,120.84,117.89,120.39,6169168,AXP
11/23/20,114.24,116.78,113.72,116.09,3024092,AXP
11/20/20,113.74,114.54,111.9,112.58,3702955,AXP
11/19/20,113.78,114.8,112.53,114.14,3249828,AXP
11/18/20,116.94,118.76,114.19,114.24,3264263,AXP
11/17/20,116.97,117.79,114.14,116.48,4023241,AXP
11/16/20,119.1,120.39,116.75,118.67,5339095,AXP
11/13/20,112.34,115.635,112.21,114.99,4812925,AXP
11/12/20,109.82,112.12,109.5523,111.1,4942909,AXP
11/11/20,115.93,116.0,110.302,111.12,5642656,AXP
11/10/20,118.59,119.89,115.12,115.95,7056799,AXP
11/09/20,110.54,119.81,110.19,117.37,17261689,AXP
11/06/20,98.52,98.64,96.27,96.69,3126557,AXP
11/05/20,97.21,98.32,96.84,98.11,4197252,AXP
11/04/20,94.0,97.82,92.86,96.4,4545528,AXP
11/03/20,94.75,96.8481,94.4,96.29,4004301,AXP
11/02/20,92.96,94.13,92.27,93.4,3573259,AXP
10/30/20,90.8,91.32,89.11,91.24,4736471,AXP
10/29/20,91.41,92.23,90.13,91.07,5419484,AXP
10/28/20,91.96,93.57,91.0,91.6,7037765,AXP
10/27/20,97.62,97.7,94.9,94.93,3780294,AXP
10/26/20,99.77,100.1,95.78,96.88,5731514,AXP
10/23/20,100.63,103.64,100.0,100.98,8921228,AXP
10/22/20,101.7,104.86,101.5701,104.79,3748804,AXP
10/21/20,103.17,103.385,101.355,101.43,2588393,AXP
10/20/20,102.94,104.61,102.83,103.14,2955074,AXP
10/19/20,105.13,105.22,102.25,102.47,3196787,AXP
10/16/20,104.65,105.68,104.2,104.91,2394339,AXP
10/15/20,103.44,104.89,103.02,104.43,2699337,AXP
10/14/20,105.38,106.27,104.76,104.81,2826595,AXP
10/13/20,105.89,106.59,104.76,105.01,2602606,AXP
10/12/20,106.46,107.01,106.0,106.61,2626756,AXP
10/09/20,105.99,107.21,105.235,106.34,3510785,AXP
10/08/20,104.33,106.14,104.06,106.06,2922912,AXP
10/07/20,102.81,104.1546,102.39,103.38,3048720,AXP
10/06/20,105.01,105.29,101.32,101.76,3309168,AXP
10/05/20,103.33,104.08,102.27,103.89,2863463,AXP
10/02/20,99.78,103.14,98.63,101.61,3783618,AXP
10/01/20,100.33,101.48,99.37,101.33,4179279,AXP
09/30/20,98.23,101.52,98.23,100.25,5060944,AXP
09/29/20,98.74,99.35,97.23,97.75,3200685,AXP
09/28/20,99.0,99.725,98.63,98.82,3931088,AXP
09/25/20,94.68,96.85,94.46,96.26,2775850,AXP
09/24/20,95.34,96.8988,93.71,95.45,4249018,AXP
09/23/20,95.76,97.1,95.09,95.56,9427242,AXP
09/22/20,98.01,99.7847,96.41,98.48,4884443,AXP
09/21/20,100.6,100.63,96.215,98.17,8340195,AXP
09/18/20,104.46,106.12,103.31,103.44,6630252,AXP
09/17/20,104.27,105.35,103.3201,104.66,3215625,AXP
09/16/20,106.73,107.49,104.69,105.98,5799110,AXP
09/15/20,107.84,108.12,106.24,106.68,3371640,AXP
09/14/20,104.65,107.69,104.22,107.27,3620420,AXP
09/11/20,102.91,103.85,102.0105,103.36,2604824,AXP
09/10/20,104.19,105.11,102.31,102.77,3289041,AXP
09/09/20,104.57,104.71,102.69,103.78,2474721,AXP
09/08/20,104.42,105.08,103.3,103.67,4517032,AXP
09/04/20,106.35,108.275,104.48,105.67,5235348,AXP
09/03/20,104.97,109.03,103.85,104.46,6747861,AXP
09/02/20,102.58,104.87,102.29,104.4,3536855,AXP
09/01/20,100.54,102.78,100.16,102.47,3143403,AXP
08/31/20,102.9,102.9,101.36,101.59,4665753,AXP
08/28/20,102.15,102.9,100.74,102.54,4382870,AXP
08/27/20,98.76,102.14,98.53,101.53,3992187,AXP
08/26/20,98.56,99.14,97.81,98.4,2936486,AXP
08/25/20,100.62,100.79,98.0282,99.05,2946625,AXP
08/24/20,96.68,99.37,96.39,99.33,4141096,AXP
08/21/20,96.49,97.65,95.96,96.15,2845431,AXP
08/20/20,95.74,97.5755,95.68,96.72,3102494,AXP
08/19/20,96.82,97.9148,95.89,96.89,3079639,AXP
08/18/20,98.19,98.83,96.47,96.67,3337580,AXP
08/17/20,99.92,100.0,97.44,97.55,7488517,AXP
08/14/20,99.66,101.29,99.27,100.41,1956491,AXP
08/13/20,100.53,101.83,99.5,100.42,3265769,AXP
08/12/20,104.76,104.8,100.68,101.68,3408210,AXP
08/11/20,103.99,105.7,102.96,103.26,4744256,AXP
08/10/20,99.49,102.645,99.26,101.62,5254766,AXP
08/07/20,95.29,99.3,94.95,99.16,4690730,AXP
08/06/20,95.18,96.265,94.48,95.92,2698777,AXP
08/05/20,93.82,95.58,93.81,95.39,2852335,AXP
08/04/20,93.49,93.7966,92.49,93.19,2415124,AXP
08/03/20,93.31,94.4,92.44,93.54,2869843,AXP
07/31/20,94.31,94.45,92.23,93.32,4088793,AXP
07/30/20,94.68,94.78,92.5,94.65,3856299,AXP
07/29/20,94.71,96.75,94.44,96.69,2791954,AXP
07/28/20,95.76,96.29,94.18,94.42,3567652,AXP
07/27/20,94.64,95.98,93.6401,95.79,3501828,AXP
07/24/20,95.3,97.15,93.3,95.33,4790446,AXP
