Date, Open, High, Low, Close, Volume,ticker
12/24/20,1195.94,1208.01,1187.13,1204.22,82345,AZO
12/23/20,1187.72,1205.64,1179.55,1192.99,180301,AZO
12/22/20,1192.04,1196.06,1177.65,1190.19,205064,AZO
12/21/20,1177.17,1196.185,1166.21,1192.91,249753,AZO
12/18/20,1180.68,1190.17,1174.78,1181.9,443420,AZO
12/17/20,1196.51,1208.13,1172.45,1180.89,315440,AZO
12/16/20,1186.25,1210.15,1180.61,1190.5,331008,AZO
12/15/20,1157.33,1182.4389999999999,1150.14,1179.37,350063,AZO
12/14/20,1159.63,1182.41,1142.74,1151.13,346187,AZO
12/11/20,1146.11,1163.1,1137.0,1155.3,329659,AZO
12/10/20,1127.57,1147.84,1122.47,1137.85,335260,AZO
12/09/20,1107.17,1146.4,1098.69,1136.67,705649,AZO
12/08/20,1128.0,1138.0,1085.85,1095.99,789646,AZO
12/07/20,1169.9,1172.58,1141.63,1157.18,403514,AZO
12/04/20,1150.88,1165.005,1150.792,1162.63,208374,AZO
12/03/20,1147.08,1160.41,1144.0,1154.01,181404,AZO
12/02/20,1157.95,1158.88,1130.33,1152.22,283331,AZO
12/01/20,1148.23,1170.82,1140.33,1164.84,260254,AZO
11/30/20,1114.81,1141.98,1106.615,1137.65,272502,AZO
11/27/20,1127.54,1141.34,1118.28,1119.24,109731,AZO
11/25/20,1137.39,1141.23,1120.55,1129.6,194236,AZO
11/24/20,1123.44,1152.31,1112.48,1135.79,247822,AZO
11/23/20,1114.07,1123.62,1106.745,1113.41,237326,AZO
11/20/20,1133.5,1137.54,1112.01,1114.2,187948,AZO
11/19/20,1129.32,1136.985,1114.675,1133.76,244492,AZO
11/18/20,1118.78,1151.24,1118.78,1131.65,182410,AZO
11/17/20,1135.8,1135.846,1111.69,1124.21,293742,AZO
11/16/20,1164.28,1164.28,1137.57,1146.02,346738,AZO
11/13/20,1160.92,1167.85,1145.9,1155.8,191199,AZO
11/12/20,1179.83,1185.2,1152.06,1159.73,183938,AZO
11/11/20,1182.13,1189.16,1171.65,1181.83,318394,AZO
11/10/20,1151.27,1181.91,1150.05,1170.41,357375,AZO
11/09/20,1182.84,1204.4,1150.96,1151.39,349318,AZO
11/06/20,1153.46,1162.61,1137.74,1158.53,245183,AZO
11/05/20,1170.11,1174.4,1145.94,1149.51,306040,AZO
11/04/20,1168.1,1184.29,1153.71,1154.02,381927,AZO
11/03/20,1147.25,1172.44,1127.41,1164.65,290598,AZO
11/02/20,1138.55,1160.89,1123.96,1141.15,242782,AZO
10/30/20,1128.02,1135.44,1115.355,1128.98,198224,AZO
10/29/20,1128.5,1142.65,1118.49,1129.76,273852,AZO
10/28/20,1119.83,1138.665,1112.125,1128.85,241357,AZO
10/27/20,1155.36,1156.745,1132.3,1133.59,179215,AZO
10/26/20,1168.75,1169.453,1141.785,1152.0,148776,AZO
10/23/20,1180.51,1187.1,1161.465,1183.16,148937,AZO
10/22/20,1176.47,1185.0,1168.0,1175.55,151421,AZO
10/21/20,1179.77,1192.465,1174.55,1178.12,149803,AZO
10/20/20,1177.59,1196.5,1176.72,1178.62,196051,AZO
10/19/20,1194.53,1199.98,1174.325,1176.42,155893,AZO
10/16/20,1192.44,1206.445,1184.5,1193.38,250231,AZO
10/15/20,1160.0,1199.25,1154.28,1193.26,202636,AZO
10/14/20,1192.55,1196.755,1163.375,1169.03,193767,AZO
10/13/20,1142.21,1170.99,1142.21,1164.59,150041,AZO
10/12/20,1142.62,1158.72,1129.775,1144.06,218935,AZO
10/09/20,1156.65,1156.65,1137.08,1137.74,159997,AZO
10/08/20,1146.11,1157.48,1145.92,1150.0,150832,AZO
10/07/20,1146.46,1155.3419999999999,1136.0,1139.99,190985,AZO
10/06/20,1180.75,1182.84,1132.12,1138.53,251591,AZO
10/05/20,1174.17,1191.76,1174.17,1178.27,161142,AZO
10/02/20,1169.81,1183.76,1158.86,1176.99,137320,AZO
10/01/20,1181.06,1192.95,1168.19,1181.72,222745,AZO
09/30/20,1153.64,1183.575,1153.64,1177.64,254889,AZO
09/29/20,1150.78,1167.06,1146.0,1154.92,175921,AZO
09/28/20,1145.48,1162.5,1140.35,1155.56,211772,AZO
09/25/20,1121.76,1146.645,1120.55,1135.02,201571,AZO
09/24/20,1129.11,1145.34,1108.62,1129.63,252110,AZO
09/23/20,1174.44,1174.44,1128.01,1128.95,428484,AZO
09/22/20,1224.17,1236.005,1155.0,1166.71,537115,AZO
09/21/20,1196.26,1197.025,1164.8,1186.01,342541,AZO
09/18/20,1214.81,1224.04,1188.475,1205.28,364080,AZO
09/17/20,1229.0,1230.0,1214.49,1224.12,176700,AZO
09/16/20,1250.56,1251.26,1225.91,1229.23,200939,AZO
09/15/20,1247.73,1251.31,1239.895,1242.95,110982,AZO
09/14/20,1248.96,1251.81,1232.25,1241.66,163472,AZO
09/11/20,1222.66,1240.89,1216.72,1234.45,150458,AZO
09/10/20,1235.68,1238.13,1208.55,1216.04,172183,AZO
09/09/20,1216.98,1247.16,1212.76,1233.0,199913,AZO
09/08/20,1204.78,1224.3,1196.43,1211.49,159753,AZO
09/04/20,1216.55,1222.18,1194.65,1206.79,157763,AZO
09/03/20,1245.07,1246.89,1205.15,1215.7,166244,AZO
09/02/20,1227.64,1267.93,1225.62,1250.35,216054,AZO
09/01/20,1198.35,1223.475,1193.9,1222.43,225425,AZO
08/31/20,1188.68,1200.85,1175.915,1196.31,226333,AZO
08/28/20,1193.11,1199.715,1178.79,1189.12,152613,AZO
08/27/20,1203.17,1204.46,1193.8,1195.89,136072,AZO
08/26/20,1198.43,1208.48,1188.695,1198.01,152803,AZO
08/25/20,1209.93,1213.98,1188.435,1201.66,132616,AZO
08/24/20,1211.61,1219.13,1201.45,1209.93,143212,AZO
08/21/20,1206.07,1211.31,1200.94,1209.07,143442,AZO
08/20/20,1204.86,1213.23,1196.333,1203.5,120485,AZO
08/19/20,1213.57,1221.48,1200.355,1210.0,131457,AZO
08/18/20,1215.7,1227.27,1203.66,1211.81,252182,AZO
08/17/20,1199.01,1210.65,1198.65,1207.75,236890,AZO
08/14/20,1190.07,1207.18,1190.0,1196.05,124074,AZO
