Date, Open, High, Low, Close, Volume,ticker
12/24/20,102.22,103.44,101.83,102.55,996700,BBY
12/23/20,104.43,105.29,102.31,102.34,2314015,BBY
12/22/20,103.54,105.28,103.13,104.13,3580661,BBY
12/21/20,100.73,103.33,100.51,103.3,2991853,BBY
12/18/20,102.05,102.72,101.515,101.95,4913075,BBY
12/17/20,104.3,104.4586,102.23,102.34,3067079,BBY
12/16/20,103.51,104.15,102.59,103.5,3136926,BBY
12/15/20,101.6,103.0,101.2,102.99,3310013,BBY
12/14/20,101.02,101.79,99.65,101.28,3926184,BBY
12/11/20,102.8,103.03,100.2049,100.6,4044310,BBY
12/10/20,101.75,103.41,99.6,103.03,4406626,BBY
12/09/20,103.07,105.15,102.595,104.76,4784387,BBY
12/08/20,102.2,103.512,102.02,102.99,2974795,BBY
12/07/20,105.16,105.45,101.45,102.73,5506910,BBY
12/04/20,106.56,106.62,104.85,105.57,3657531,BBY
12/03/20,106.94,107.4336,105.71,106.54,4566979,BBY
12/02/20,108.03,109.47,107.2,107.47,3393771,BBY
12/01/20,108.78,109.49,107.15,108.86,5335390,BBY
11/30/20,112.68,112.68,108.57,108.8,6493681,BBY
11/27/20,115.0,115.09,112.08,112.63,3242386,BBY
11/25/20,114.06,116.44,113.0827,113.9,5503029,BBY
11/24/20,115.79,117.0496,113.2,113.54,11676030,BBY
11/23/20,120.21,124.31,119.9,122.04,4443761,BBY
11/20/20,119.88,120.74,118.97,119.14,1866503,BBY
11/19/20,118.42,120.5,117.77,118.83,1728442,BBY
11/18/20,119.1,120.16,117.74,117.77,2963118,BBY
11/17/20,118.12,120.87,117.36,119.02,2740898,BBY
11/16/20,115.0,118.8499,113.62,118.65,3306999,BBY
11/13/20,114.64,115.84,113.5,114.3,1832044,BBY
11/12/20,114.45,115.5,112.34,114.0,2279667,BBY
11/11/20,113.83,114.81,112.1,114.56,2058314,BBY
11/10/20,111.6,113.71,110.99,112.63,3906709,BBY
11/09/20,120.31,123.21,110.92,111.0,4896084,BBY
11/06/20,123.0,123.75,121.61,123.06,1670063,BBY
11/05/20,122.2,124.89,121.75,123.06,2489882,BBY
11/04/20,119.69,121.4,118.56,119.86,1916071,BBY
11/03/20,117.0,119.73,116.17,118.82,2033408,BBY
11/02/20,112.97,115.795,112.76,115.72,2838979,BBY
10/30/20,111.56,112.65,109.6,111.55,1897109,BBY
10/29/20,112.28,113.95,111.5,112.28,2107033,BBY
10/28/20,111.5,114.3,110.345,111.11,2264016,BBY
10/27/20,115.01,116.12,113.3,113.58,2143715,BBY
10/26/20,117.14,117.18,112.88,114.36,1377014,BBY
10/23/20,115.5,118.25,115.21,118.21,1858577,BBY
10/22/20,118.98,119.62,115.77,117.46,1977727,BBY
10/21/20,121.45,121.78,118.55,118.69,1772180,BBY
10/20/20,121.29,123.67,120.78,120.89,1725793,BBY
10/19/20,120.12,123.22,119.71,120.83,2260028,BBY
10/16/20,120.89,121.1,119.31,119.35,1855426,BBY
10/15/20,117.43,120.7433,116.9,120.56,1625462,BBY
10/14/20,118.93,119.9,117.39,118.44,1640980,BBY
10/13/20,118.12,119.15,117.21,118.21,1231774,BBY
10/12/20,117.87,118.7,116.86,118.33,1334002,BBY
10/09/20,115.37,118.25,115.11,116.59,2824096,BBY
10/08/20,115.13,115.65,113.91,114.92,1523429,BBY
10/07/20,114.0,115.44,113.76,114.49,1552469,BBY
10/06/20,115.98,116.43,112.25,112.45,2395375,BBY
10/05/20,112.57,116.74,112.57,116.07,2006376,BBY
