Date, Open, High, Low, Close, Volume,ticker
12/24/20,244.9,249.25,244.9,247.99,439981,BDX
12/23/20,247.08,247.23,244.18,244.25,919508,BDX
12/22/20,247.41,248.48,245.23,245.9,941191,BDX
12/21/20,249.36,250.4,245.27,247.86,938607,BDX
12/18/20,248.45,253.23,247.0,252.09,2750686,BDX
12/17/20,246.45,249.63,246.01,248.7,1172739,BDX
12/16/20,244.95,247.065,242.25,245.29,1210735,BDX
12/15/20,240.44,245.5899,239.8405,244.13,1261695,BDX
12/14/20,243.46,246.74,239.88,240.0,1236637,BDX
12/11/20,241.25,242.94,240.05,242.69,1274140,BDX
12/10/20,240.43,243.31,240.03,242.33,1351229,BDX
12/09/20,240.04,240.78,237.6,239.96,1315769,BDX
12/08/20,235.11,240.36,234.6101,240.24,1194947,BDX
12/07/20,242.43,243.58,235.86,236.45,1298340,BDX
12/04/20,238.49,242.795,238.39,242.76,2360880,BDX
12/03/20,241.26,241.3323,237.49,238.51,2347908,BDX
12/02/20,238.65,246.5,238.43,241.87,2235471,BDX
12/01/20,236.12,238.73,235.575,238.65,1682128,BDX
11/30/20,230.08,234.89,229.97,234.84,4174643,BDX
11/27/20,228.3,229.5,226.15,228.96,849129,BDX
11/25/20,230.48,230.99,226.77,227.47,1628132,BDX
11/24/20,229.0,229.76,226.87,229.29,2314373,BDX
11/23/20,231.78,233.405,227.69,228.48,1496456,BDX
11/20/20,232.62,234.73,231.05700000000002,231.87,1255875,BDX
11/19/20,234.25,235.49,231.88,232.9,1439467,BDX
11/18/20,242.18,242.26,233.31,233.47,1860237,BDX
11/17/20,241.75,245.22,240.47,242.41,1128959,BDX
11/16/20,246.41,246.5,241.755,242.57,1575182,BDX
11/13/20,241.47,244.22,240.06,242.81,1873193,BDX
11/12/20,242.9,243.685,239.13,240.21,1305888,BDX
11/11/20,243.61,243.92,240.81,243.16,1556311,BDX
11/10/20,241.04,243.39,239.62,240.3,2166113,BDX
11/09/20,246.82,247.83,239.89,240.31,1929157,BDX
11/06/20,235.19,241.63,234.72,236.62,1333734,BDX
11/05/20,240.0,244.47,232.44,234.65,2171781,BDX
11/04/20,240.57,245.2088,236.66,236.79,1482826,BDX
11/03/20,236.48,239.69,234.94,237.72,1131294,BDX
11/02/20,233.61,237.15,232.04,234.79,1036787,BDX
10/30/20,232.36,233.96,227.82,231.13,1413146,BDX
10/29/20,235.84,236.75,230.87,232.47,1076363,BDX
10/28/20,240.1,241.36,235.3648,235.89,1059761,BDX
10/27/20,242.96,245.87,242.41,244.24,997974,BDX
10/26/20,239.29,242.88,238.57,242.0,975116,BDX
10/23/20,240.84,242.62,239.2289,240.28,985368,BDX
10/22/20,235.62,241.42,235.48,241.09,1096113,BDX
10/21/20,238.22,239.0,233.035,236.4,1174490,BDX
10/20/20,237.92,238.485,236.0,236.26,830544,BDX
10/19/20,237.52,240.75,236.48,237.38,1121642,BDX
10/16/20,235.81,239.17,234.64,236.99,1055055,BDX
10/15/20,232.17,236.475,231.5,235.01,1144140,BDX
10/14/20,236.78,238.86,233.105,233.69,921569,BDX
10/13/20,237.43,239.74,235.4,236.71,886064,BDX
10/12/20,238.08,240.5,236.71,238.36,865022,BDX
10/09/20,237.52,238.125,234.42,237.31,1572659,BDX
10/08/20,235.77,237.38,234.44,236.21,1010292,BDX
10/07/20,236.27,237.73,234.05,235.7,1037089,BDX
10/06/20,238.0,240.32,235.03,235.45,994051,BDX
10/05/20,234.17,238.51,234.1301,238.14,975993,BDX
10/02/20,231.9,234.99900000000002,231.0,232.66,1008100,BDX
10/01/20,234.41,236.82,228.65,230.85,1214213,BDX
09/30/20,227.31,235.57,226.8,232.68,2311324,BDX
09/29/20,226.1,226.98,224.93,225.43,845651,BDX
09/28/20,226.41,227.91,224.71,225.0,1046586,BDX
09/25/20,220.05,224.57,219.5,224.08,1492671,BDX
09/24/20,226.0,226.47,220.0366,221.16,1520316,BDX
09/23/20,225.92,229.72,224.51,225.59,1691680,BDX
09/22/20,227.58,228.085,222.75,223.8,1880475,BDX
09/21/20,231.39,231.39,225.36,228.44,1219720,BDX
09/18/20,226.16,233.935,226.16,231.9,4018832,BDX
09/17/20,226.35,229.18,224.41,227.8,1909444,BDX
09/16/20,226.12,229.87,224.21,227.03,2434029,BDX
09/15/20,236.0,236.45,226.05,226.15,2480486,BDX
09/14/20,236.91,238.48,235.86,235.9,1126714,BDX
09/11/20,234.83,236.74,233.755,235.78,1171561,BDX
09/10/20,235.0,235.715,231.3,234.18,2075501,BDX
09/09/20,236.16,239.0478,234.5901,235.57,1402853,BDX
09/08/20,234.75,235.54,230.51,234.06,1502588,BDX
09/04/20,236.87,238.1572,232.43,234.08,1545664,BDX
09/03/20,246.0,246.68,234.08,235.06,1770133,BDX
09/02/20,240.58,246.27,240.025,246.19,1301419,BDX
09/01/20,243.97,245.8743,238.725,240.84,1412500,BDX
08/31/20,243.85,244.48,241.83,242.77,2324541,BDX
08/28/20,247.13,247.38,240.9,242.8,1914485,BDX
08/27/20,238.52,248.26,232.0,246.57,3851306,BDX
08/26/20,254.68,255.1,250.05,253.98,1158599,BDX
08/25/20,256.11,257.3299,254.17,255.79,1095759,BDX
08/24/20,258.86,259.58,254.39,254.95,903853,BDX
08/21/20,258.11,259.36,255.46,257.72,1166123,BDX
08/20/20,260.27,261.98,258.1,258.93,768245,BDX
08/19/20,265.0,266.19,260.55,262.0,1014737,BDX
08/18/20,261.52,264.9,259.16,263.86,1781165,BDX
08/17/20,258.89,260.65,258.0,260.04,987076,BDX
08/14/20,261.54,262.3031,256.66,258.17,1126289,BDX
08/13/20,256.92,262.86,256.48,262.33,1049469,BDX
08/12/20,255.89,259.545,255.89,257.22,1224426,BDX
08/11/20,259.29,260.56,254.95,255.0,1625902,BDX
08/10/20,259.5,259.5,255.05,256.75,2501623,BDX
08/07/20,260.2,261.82,255.0,256.41,2228028,BDX
08/06/20,266.0,267.9498,256.3667,259.61,2591057,BDX
08/05/20,280.3,284.97,280.3,283.43,1072159,BDX
08/04/20,283.03,283.9,281.5,282.86,829018,BDX
08/03/20,282.97,284.56,280.0021,283.68,1215314,BDX
07/31/20,274.07,281.35,273.25,281.34,1491504,BDX
07/30/20,273.34,275.14,270.03,273.84,917880,BDX
07/29/20,273.72,277.91,273.72,276.4,843287,BDX
07/28/20,274.55,275.365,272.19,273.0,812642,BDX
07/27/20,270.26,275.68,269.055,275.18,933218,BDX
07/24/20,272.54,272.98,269.0,271.89,618628,BDX
07/23/20,274.1,276.16,271.71,272.71,841412,BDX
07/22/20,271.71,274.755,270.91,273.44,1110906,BDX
07/21/20,269.73,276.42,269.0,271.31,1446208,BDX
07/20/20,267.98,268.53,265.035,267.85,1003461,BDX
07/17/20,266.73,269.09,264.14,266.98,1280065,BDX
07/16/20,266.9,268.38,264.87,265.05,1286904,BDX
07/15/20,265.0,268.15,264.11,266.96,1356994,BDX
07/14/20,257.04,263.8,256.78,263.4,1263514,BDX
07/13/20,257.32,262.23,255.855,257.41,1342238,BDX
07/10/20,258.02,259.785,254.77,257.37,887139,BDX
07/09/20,255.26,260.34,253.96,258.61,1769441,BDX
07/08/20,251.94,256.93,251.23,252.73,2346793,BDX
07/07/20,248.38,252.27,247.56,251.38,1826452,BDX
07/06/20,248.42,253.72,247.59,250.47,3197452,BDX
07/02/20,242.18,246.08,240.52,245.03,1884460,BDX
07/01/20,239.04,242.965,238.755,241.53,1439630,BDX
06/30/20,232.59,240.82,231.06,239.27,2312877,BDX
06/29/20,234.04,234.54,228.725,232.97,2087788,BDX
