Date, Open, High, Low, Close, Volume,ticker
12/24/20,575.32,579.2166,569.89,575.07,40220,BIO
12/23/20,584.14,584.5826,572.365,574.42,108701,BIO
12/22/20,588.78,594.85,581.17,583.48,362578,BIO
12/21/20,597.89,605.06,580.32,590.86,301033,BIO
12/18/20,585.95,609.59,580.62,605.87,500742,BIO
12/17/20,581.3,589.02,579.625,584.24,230205,BIO
12/16/20,591.41,591.59,570.79,576.72,190065,BIO
12/15/20,583.08,593.04,574.44,587.91,218638,BIO
12/14/20,570.03,587.91,570.0,579.65,337544,BIO
12/11/20,556.81,569.08,554.15,567.26,257214,BIO
12/10/20,543.86,561.79,543.85,554.78,131452,BIO
12/09/20,555.98,558.47,537.12,541.87,196503,BIO
12/08/20,562.27,562.63,554.82,559.27,137287,BIO
12/07/20,560.93,566.27,558.5,560.55,147565,BIO
12/04/20,555.94,562.66,549.27,559.4,472943,BIO
12/03/20,549.6,557.34,548.42,553.27,464213,BIO
12/02/20,557.92,557.92,543.16,549.6,248473,BIO
12/01/20,540.65,560.27,540.65,557.28,384438,BIO
11/30/20,535.07,544.15,528.3,538.5,657906,BIO
11/27/20,525.78,536.35,521.4,535.07,274360,BIO
11/25/20,519.96,531.245,516.37,523.23,302615,BIO
11/24/20,553.46,553.71,507.22,516.56,872566,BIO
11/23/20,570.0,573.49,554.07,554.98,247953,BIO
11/20/20,578.12,578.84,566.37,569.98,227099,BIO
11/19/20,582.69,583.99,570.47,574.38,219920,BIO
11/18/20,594.91,594.91,578.62,578.98,115157,BIO
11/17/20,598.04,600.63,588.525,592.57,109130,BIO
11/16/20,598.45,602.2,590.69,597.21,148562,BIO
11/13/20,601.88,609.7040000000001,601.62,602.36,92804,BIO
11/12/20,590.92,602.39,584.91,602.25,134030,BIO
11/11/20,562.69,588.85,562.69,585.45,152640,BIO
11/10/20,572.91,572.91,550.45,555.78,345634,BIO
11/09/20,648.39,648.39,577.95,579.96,294542,BIO
11/06/20,632.39,647.91,623.41,643.45,148208,BIO
11/05/20,638.46,641.2399,627.085,630.57,128577,BIO
11/04/20,610.01,631.55,609.005,624.79,239100,BIO
11/03/20,598.61,606.02,590.8201,601.57,140618,BIO
11/02/20,595.0,609.45,583.465,591.02,150272,BIO
10/30/20,567.54,598.06,567.54,586.42,234986,BIO
10/29/20,559.81,572.57,554.6803,568.03,159638,BIO
10/28/20,577.5,581.89,558.36,559.46,184962,BIO
10/27/20,582.16,592.66,579.83,589.54,148461,BIO
10/26/20,576.65,585.5938,573.185,583.82,102230,BIO
10/23/20,580.85,586.2,574.03,581.71,99642,BIO
10/22/20,560.0,584.38,557.89,579.04,130472,BIO
10/21/20,565.28,568.7,553.965,559.43,155466,BIO
10/20/20,553.96,566.59,552.61,562.58,134557,BIO
10/19/20,561.13,563.35,551.01,554.34,90642,BIO
10/16/20,556.97,566.56,554.56,556.57,165666,BIO
10/15/20,552.9,554.14,543.9197,552.61,98030,BIO
10/14/20,566.23,569.66,552.04,557.39,128977,BIO
10/13/20,568.05,573.795,563.3273,565.74,85252,BIO
10/12/20,572.71,572.71,560.34,568.49,137475,BIO
10/09/20,552.9,567.33,551.94,566.14,94327,BIO
10/08/20,549.95,551.14,540.76,551.1,95543,BIO
10/07/20,539.0,549.56,536.795,545.39,171254,BIO
10/06/20,529.51,537.695,520.36,533.33,133943,BIO
10/05/20,511.76,534.555,511.76,530.66,224067,BIO
10/02/20,513.26,518.52,507.82,510.68,76380,BIO
10/01/20,519.19,521.23,512.665,520.81,148579,BIO
09/30/20,518.9,525.61,510.74,515.46,194911,BIO
09/29/20,517.06,521.06,513.54,515.1,96900,BIO
09/28/20,508.85,519.465,508.85,513.92,106840,BIO
09/25/20,491.58,506.58,491.58,504.15,149831,BIO
09/24/20,512.45,512.45,490.725,494.17,176444,BIO
09/23/20,513.71,523.76,510.39,511.77,94843,BIO
09/22/20,515.46,517.93,504.65,515.68,219439,BIO
09/21/20,511.26,517.92,500.6,517.91,122045,BIO
09/18/20,513.17,515.72,503.68,513.48,408257,BIO
09/17/20,508.31,513.75,504.98,511.5,111821,BIO
09/16/20,517.59,519.27,512.6,513.16,110383,BIO
09/15/20,515.22,518.33,511.06,512.82,92953,BIO
09/14/20,508.63,514.385,506.83,508.84,156613,BIO
09/11/20,506.38,513.31,502.38,505.02,135594,BIO
09/10/20,500.3,514.73,499.715,503.45,255228,BIO
09/09/20,483.29,504.735,483.29,501.49,162209,BIO
09/08/20,480.1,484.685,473.43,478.82,262997,BIO
09/04/20,489.45,493.76,472.84,484.23,192282,BIO
09/03/20,522.51,525.16,491.0,494.24,146770,BIO
09/02/20,508.35,528.95,503.56,524.3,182874,BIO
09/01/20,515.14,515.14,503.09,509.66,160741,BIO
08/31/20,497.82,512.36,497.82,508.59,149818,BIO
08/28/20,493.7,499.77,490.815,498.84,175561,BIO
08/27/20,511.58,511.58,485.82,497.15,202615,BIO
08/26/20,511.6,516.07,508.86,513.21,178807,BIO
08/25/20,512.68,516.36,508.17,511.98,120082,BIO
08/24/20,518.44,523.075,507.15,511.17,367132,BIO
08/21/20,515.21,519.03,512.37,517.95,376184,BIO
08/20/20,518.8,522.0,514.87,515.58,166579,BIO
08/19/20,521.0,523.415,517.34,520.89,161443,BIO
08/18/20,512.41,521.15,510.89,520.82,158350,BIO
08/17/20,508.31,514.48,507.95,511.91,113815,BIO
08/14/20,510.56,510.56,503.0,506.37,91146,BIO
08/13/20,503.15,510.66,499.1269,509.78,170450,BIO
08/12/20,497.34,506.52,494.87,501.85,109516,BIO
08/11/20,507.37,509.52,492.88,496.34,169621,BIO
08/10/20,524.36,528.51,506.39,506.95,167067,BIO
08/07/20,524.64,527.41,518.62,524.13,181442,BIO
08/06/20,528.93,529.19,520.52,525.22,132210,BIO
08/05/20,524.1,530.25,521.74,527.3,146701,BIO
08/04/20,525.99,531.83,520.9,526.86,159137,BIO
08/03/20,531.19,536.44,528.6,531.04,159539,BIO
07/31/20,524.93,528.9,496.14,524.89,299864,BIO
07/30/20,526.28,540.0628,523.27,535.6,160230,BIO
07/29/20,521.3,531.95,521.3,530.77,113785,BIO
07/28/20,529.08,529.08,520.44,521.75,86578,BIO
07/27/20,520.53,532.0,517.56,530.47,117148,BIO
07/24/20,520.6,520.6,508.48,515.75,285082,BIO
07/23/20,522.71,536.24,517.295,520.32,190127,BIO
07/22/20,520.62,526.695,517.38,520.27,144288,BIO
07/21/20,521.6,525.925,514.405,519.04,151401,BIO
07/20/20,520.0,524.48,517.66,520.37,217740,BIO
07/17/20,505.73,518.97,505.73,516.7,202151,BIO
07/16/20,500.46,505.4,498.06,501.99,209140,BIO
07/15/20,492.47,500.51,489.71,498.35,238865,BIO
07/14/20,466.23,489.31,466.23,488.96,189176,BIO
07/13/20,481.25,484.73,465.16,467.91,196075,BIO
07/10/20,479.97,479.97,473.0,477.66,230028,BIO
