Date, Open, High, Low, Close, Volume,ticker
12/24/20,2119.0,2119.0,2081.0,2088.35,182524,BKNG
12/23/20,2055.39,2114.15,2050.43,2100.85,314692,BKNG
12/22/20,2068.35,2069.355,2031.39,2052.82,198826,BKNG
12/21/20,2050.0,2071.82,2024.02,2068.2,357109,BKNG
12/18/20,2118.75,2118.75,2087.93,2099.65,536194,BKNG
12/17/20,2117.95,2126.95,2070.515,2113.43,295251,BKNG
12/16/20,2118.2,2118.2,2077.395,2098.71,238614,BKNG
12/15/20,2078.22,2105.815,2055.005,2098.05,314709,BKNG
12/14/20,2120.09,2143.06,2065.08,2066.01,339277,BKNG
12/11/20,2090.22,2104.02,2050.125,2089.21,354474,BKNG
12/10/20,2094.99,2151.58,2079.19,2104.87,380192,BKNG
12/09/20,2100.47,2170.03,2076.81,2107.11,697945,BKNG
12/08/20,2093.06,2128.21,2082.45,2086.65,342350,BKNG
12/07/20,2119.97,2137.43,2085.0,2128.78,321537,BKNG
12/04/20,2103.7,2138.97,2090.0,2125.03,339519,BKNG
12/03/20,2096.8,2122.03,2065.175,2096.63,337299,BKNG
12/02/20,2052.67,2097.99,2036.88,2078.42,247731,BKNG
12/01/20,2047.21,2088.85,2030.0,2052.67,295782,BKNG
11/30/20,2057.67,2058.0,2019.87,2028.45,335763,BKNG
11/27/20,2067.86,2083.72,2048.28,2052.67,117204,BKNG
11/25/20,2108.74,2118.955,2043.85,2063.8,215938,BKNG
11/24/20,2050.0,2107.03,2026.61,2103.45,445810,BKNG
11/23/20,2004.87,2042.06,2000.0,2019.84,336463,BKNG
11/20/20,2017.6,2036.52,1987.84,1992.77,307785,BKNG
11/19/20,2022.84,2054.975,2000.0,2010.97,388921,BKNG
11/18/20,2076.0,2103.51,2044.02,2044.6,376683,BKNG
11/17/20,2080.0,2091.52,2057.96,2081.25,339109,BKNG
11/16/20,2117.87,2121.987,2060.78,2109.61,845904,BKNG
11/13/20,1970.0,2069.89,1970.0,2052.87,445569,BKNG
11/12/20,1975.0,1990.0,1953.148,1962.92,381543,BKNG
11/11/20,1996.95,2008.0,1955.7,2000.02,441505,BKNG
11/10/20,2079.59,2103.0,1989.61,2007.44,738521,BKNG
11/09/20,2049.0,2128.02,2013.22,2118.24,1649404,BKNG
11/06/20,1721.04,1796.01,1701.09,1783.75,452327,BKNG
11/05/20,1734.01,1783.17,1734.01,1768.31,388201,BKNG
11/04/20,1702.97,1751.83,1674.8,1713.32,423354,BKNG
11/03/20,1622.79,1682.33,1598.78,1669.58,341135,BKNG
11/02/20,1653.5,1653.5,1598.01,1604.13,342743,BKNG
10/30/20,1620.78,1634.96,1591.1,1622.5,411558,BKNG
10/29/20,1600.0,1643.1,1589.0,1630.26,340881,BKNG
10/28/20,1663.17,1669.98,1602.545,1605.05,420846,BKNG
10/27/20,1738.56,1745.0,1685.36,1697.71,244850,BKNG
