Date, Open, High, Low, Close, Volume,ticker
12/24/20,21.2,21.24,20.85,21.01,1213358,BKR
12/23/20,21.38,21.59,21.04,21.13,3898588,BKR
12/22/20,21.22,21.62,21.11,21.19,5431362,BKR
12/21/20,20.3,21.42,20.29,21.25,5381752,BKR
12/18/20,21.41,21.68,20.93,21.17,12639160,BKR
12/17/20,21.67,21.86,21.135,21.5,4765590,BKR
12/16/20,21.85,21.85,21.19,21.5,5950551,BKR
12/15/20,21.77,22.19,21.48,22.01,6023323,BKR
12/14/20,22.95,23.0,21.54,21.68,8371517,BKR
12/11/20,22.85,23.05,22.42,22.67,6101822,BKR
12/10/20,22.33,23.49,22.25,23.12,5463836,BKR
12/09/20,22.65,23.29,22.4,22.73,7426984,BKR
12/08/20,21.56,22.48,21.51,22.42,6728059,BKR
12/07/20,21.56,22.07,21.36,22.02,7006650,BKR
12/04/20,20.82,21.79,20.735,21.79,11665490,BKR
12/03/20,19.87,20.62,19.69,20.42,6883674,BKR
12/02/20,19.04,20.01,18.91,19.67,6720162,BKR
12/01/20,19.39,19.515,19.15,19.23,6501327,BKR
11/30/20,19.52,19.705,18.7,18.72,12001950,BKR
11/27/20,19.73,19.85,19.6,19.78,2415200,BKR
11/25/20,19.81,19.895,19.49,19.78,8643831,BKR
11/24/20,20.0,20.415,19.7,20.26,8997050,BKR
11/23/20,18.49,19.39,18.33,19.26,8670275,BKR
11/20/20,18.16,18.27,17.975,18.21,7444541,BKR
11/19/20,18.39,18.58,18.01,18.31,9324379,BKR
11/18/20,19.36,19.36,18.57,18.58,8241808,BKR
11/17/20,18.44,19.4,18.315,19.26,11196500,BKR
11/16/20,18.67,19.09,18.175,18.79,8335242,BKR
11/13/20,17.51,17.94,17.38,17.87,4630027,BKR
11/12/20,17.22,17.51,16.95,17.25,7570509,BKR
11/11/20,17.85,17.9,17.17,17.56,5727658,BKR
11/10/20,17.7,18.22,17.07,17.6,9989946,BKR
11/09/20,17.41,18.44,16.92,17.67,14117050,BKR
11/06/20,15.52,15.94,15.355,15.57,7022580,BKR
11/05/20,15.59,15.99,15.55,15.73,6399787,BKR
11/04/20,15.74,16.05,15.24,15.66,7658394,BKR
11/03/20,15.98,16.165,15.59,15.88,8610853,BKR
11/02/20,15.0,15.93,14.8,15.71,10397590,BKR
10/30/20,14.26,14.79,14.18,14.77,10456370,BKR
10/29/20,13.5,14.36,13.36,14.35,9574794,BKR
10/28/20,13.78,14.025,13.62,13.7,9975301,BKR
10/27/20,13.83,14.21,13.62,14.17,5904760,BKR
10/26/20,14.06,14.06,13.7,13.9,4193435,BKR
10/23/20,14.59,14.68,14.06,14.29,6998390,BKR
10/22/20,14.17,14.52,13.97,14.46,7498577,BKR
10/21/20,13.4,14.34,13.28,14.04,10954420,BKR
10/20/20,13.34,13.7063,13.28,13.63,9801401,BKR
10/19/20,13.38,13.63,13.0818,13.11,7472115,BKR
10/16/20,13.33,13.46,13.12,13.14,7910082,BKR
10/15/20,12.89,13.545,12.83,13.45,7062799,BKR
10/14/20,12.87,13.64,12.81,13.15,8812832,BKR
10/13/20,13.05,13.085,12.74,12.86,6947883,BKR
10/12/20,13.13,13.22,12.9,13.13,4825114,BKR
10/09/20,13.42,13.61,13.11,13.2,4379925,BKR
10/08/20,13.15,13.42,13.0,13.38,5671140,BKR
10/07/20,12.81,13.03,12.6015,12.97,5242099,BKR
10/06/20,13.23,13.31,12.74,12.76,6223348,BKR
10/05/20,12.86,13.065,12.76,12.96,6843885,BKR
10/02/20,12.29,12.86,12.13,12.65,5973405,BKR
10/01/20,13.0,13.17,12.57,12.76,5442565,BKR
09/30/20,13.17,13.535,13.15,13.29,5729756,BKR
09/29/20,13.43,13.58,12.96,13.13,4779847,BKR
09/28/20,13.43,13.68,13.345,13.47,5526239,BKR
09/25/20,13.12,13.245,13.01,13.13,6253978,BKR
09/24/20,13.35,13.605,13.1,13.32,6886881,BKR
09/23/20,14.39,14.49,13.5,13.53,6465287,BKR
09/22/20,14.43,14.5825,14.215,14.4,4559494,BKR
09/21/20,14.77,14.81,14.13,14.33,6700371,BKR
