Date, Open, High, Low, Close, Volume,ticker
12/24/20,703.36,710.84,703.36,707.18,173253,BLK
12/23/20,702.0,708.17,696.21,703.64,752601,BLK
12/22/20,700.0,703.66,691.75,693.52,596988,BLK
12/21/20,694.0,703.52,689.17,698.83,631849,BLK
12/18/20,705.15,706.6,691.5001,698.8,1610738,BLK
12/17/20,703.0,709.68,699.29,706.01,832259,BLK
12/16/20,704.0,708.8,693.55,698.37,849361,BLK
12/15/20,691.52,704.13,690.33,698.18,617347,BLK
12/14/20,700.53,700.55,683.46,683.92,658625,BLK
12/11/20,692.3,697.03,689.4533,695.2,488140,BLK
12/10/20,699.59,702.7407,694.25,698.41,438642,BLK
12/09/20,715.84,716.145,696.84,701.68,489465,BLK
12/08/20,706.79,718.55,703.475,713.92,598173,BLK
12/07/20,702.7,709.575,699.025,709.49,680588,BLK
12/04/20,713.42,720.29,696.55,703.47,816358,BLK
12/03/20,718.36,721.82,711.755,715.42,604411,BLK
12/02/20,715.0,718.81,708.98,718.36,484103,BLK
12/01/20,709.67,720.51,705.2,715.23,549542,BLK
11/30/20,710.31,713.19,697.73,698.35,888410,BLK
11/27/20,706.75,718.85,705.14,715.11,313425,BLK
11/25/20,698.12,704.26,696.42,703.61,401239,BLK
11/24/20,694.67,700.66,686.5,699.3,651984,BLK
11/23/20,676.88,689.0,673.84,682.87,505375,BLK
11/20/20,674.02,675.75,669.0,672.71,396240,BLK
11/19/20,665.97,675.34,663.24,673.48,471167,BLK
11/18/20,670.8,676.65,668.9545,669.89,509045,BLK
11/17/20,676.46,676.46,664.51,667.49,768905,BLK
11/16/20,682.5,682.5,669.265,676.43,607760,BLK
11/13/20,660.0,671.1,658.29,669.77,664060,BLK
11/12/20,665.76,668.67,654.87,659.79,501907,BLK
11/11/20,670.79,675.7475,667.025,670.62,455787,BLK
11/10/20,661.07,666.54,645.12,660.6,758008,BLK
11/09/20,685.12,692.73,663.18,666.02,870313,BLK
11/06/20,666.06,668.0,654.19,654.9,493945,BLK
11/05/20,661.02,672.0,659.78,668.19,714509,BLK
11/04/20,628.29,657.98,627.8101,651.6,811990,BLK
11/03/20,620.9,633.34,619.0,629.26,560555,BLK
11/02/20,608.96,618.35,606.4462,614.87,455350,BLK
10/30/20,597.58,600.87,587.9,599.21,530463,BLK
10/29/20,600.21,606.59,590.26,602.33,447449,BLK
10/28/20,602.69,606.445,596.26,600.71,645648,BLK
10/27/20,620.32,624.58,613.47,614.53,349823,BLK
10/26/20,630.0,631.59,615.83,622.19,686099,BLK
10/23/20,637.87,639.1599,633.51,637.31,494217,BLK
10/22/20,635.0,637.83,629.82,635.18,483384,BLK
10/21/20,646.58,653.72,634.82,634.99,452696,BLK
10/20/20,636.62,650.9848,636.62,645.07,473550,BLK
10/19/20,658.25,666.64,633.03,634.89,775662,BLK
10/16/20,652.04,659.57,648.0,657.38,765555,BLK
10/15/20,634.09,648.9,632.64,646.24,792733,BLK
10/14/20,641.83,643.46,634.05,639.85,694202,BLK
10/13/20,634.17,646.29,626.16,638.96,1155021,BLK
10/12/20,615.37,620.66,613.66,614.89,644719,BLK
10/09/20,610.6,614.3,606.58,611.57,525143,BLK
10/08/20,595.36,606.21,594.34,604.44,538097,BLK
10/07/20,584.32,592.79,584.32,592.05,573701,BLK
10/06/20,580.98,590.6044,578.13,580.23,704311,BLK
10/05/20,574.7,581.52,573.0,580.98,435362,BLK
10/02/20,560.54,574.67,559.18,570.12,523471,BLK
10/01/20,576.84,578.24,566.17,567.91,551296,BLK
09/30/20,557.2,570.885,555.11,563.55,741054,BLK
09/29/20,560.16,562.2,552.37,554.8,409654,BLK
09/28/20,554.44,563.94,554.0,558.65,567033,BLK
