Date, Open, High, Low, Close, Volume,ticker
12/24/20,88.44,89.1,88.13,88.66,463645,BMRN
12/23/20,88.63,89.38,87.71,88.3,1215971,BMRN
12/22/20,87.91,89.35,87.825,88.35,1353020,BMRN
12/21/20,86.12,87.7,82.75,87.51,2203018,BMRN
12/18/20,91.39,92.305,87.57,88.85,6695846,BMRN
12/17/20,90.0,92.565,89.37,90.2,2702074,BMRN
12/16/20,85.671,90.7,85.65,89.28,2899893,BMRN
12/15/20,83.0,85.06,82.05,85.03,1376095,BMRN
12/14/20,83.11,84.95,80.93,82.85,2557966,BMRN
12/11/20,77.81,79.67,77.68,79.49,1224586,BMRN
12/10/20,76.3,78.16,76.0,77.76,1049395,BMRN
12/09/20,79.046,79.11,75.95,76.16,992929,BMRN
12/08/20,78.81,78.96,78.07,78.79,912982,BMRN
12/07/20,79.75,79.78,77.775,78.39,823724,BMRN
12/04/20,79.1,79.83,78.81,79.61,623486,BMRN
12/03/20,79.69,80.1768,78.11,79.1,913288,BMRN
12/02/20,79.64,80.44,79.2,79.86,938551,BMRN
12/01/20,79.26,79.91,78.18,79.5,822811,BMRN
11/30/20,80.13,80.81,78.32,78.7,2524537,BMRN
11/27/20,78.43,80.65,78.37,80.4,766776,BMRN
11/25/20,78.48,79.38,77.54,78.15,865544,BMRN
11/24/20,77.15,78.76,76.83,77.96,1174544,BMRN
11/23/20,76.52,77.4,76.27,77.04,1020563,BMRN
11/20/20,75.64,76.48,75.36,75.95,1257315,BMRN
11/19/20,74.14,75.6,73.85,75.13,851348,BMRN
11/18/20,76.55,76.63,74.1,74.17,1027807,BMRN
11/17/20,77.23,77.33,75.595,76.53,817268,BMRN
11/16/20,77.7,77.9,75.6,77.11,1204190,BMRN
11/13/20,76.97,78.154,76.57,77.52,940873,BMRN
11/12/20,75.8,77.965,75.6901,76.91,905437,BMRN
11/11/20,77.06,78.0,74.86,76.22,1126810,BMRN
11/10/20,75.0,76.64,73.28,76.18,1764855,BMRN
11/09/20,79.05,79.28,74.86,75.09,1590682,BMRN
11/06/20,74.0,78.83,72.8,76.74,2109622,BMRN
11/05/20,76.66,76.95,74.52,75.05,1454059,BMRN
11/04/20,74.56,79.42,74.56,76.37,2352976,BMRN
11/03/20,72.83,74.0,71.65,72.61,2075655,BMRN
11/02/20,75.21,75.25,71.8,73.42,1656709,BMRN
10/30/20,73.74,74.5697,72.4,74.43,1513573,BMRN
10/29/20,74.37,75.45,73.71,74.42,1185168,BMRN
10/28/20,75.69,75.75,74.355,74.39,1520798,BMRN
10/27/20,76.92,77.3,76.15,76.18,919692,BMRN
10/26/20,77.13,78.085,76.31,76.88,1097181,BMRN
10/23/20,79.5,79.62,76.53,77.53,1257843,BMRN
10/22/20,77.56,79.275,77.56,79.17,1493528,BMRN
10/21/20,77.59,78.8,77.29,77.5,1145815,BMRN
10/20/20,77.68,78.65,77.0,77.91,1180832,BMRN
10/19/20,79.7,80.12,76.95,77.33,1211439,BMRN
10/16/20,77.89,80.3,77.67,79.25,1890375,BMRN
10/15/20,77.64,78.68,76.52,77.67,1279104,BMRN
10/14/20,79.91,80.29,78.115,78.79,1045406,BMRN
10/13/20,79.73,80.51,79.44,79.88,1108276,BMRN
10/12/20,80.26,80.46,77.94,79.85,1098350,BMRN
10/09/20,79.79,80.19,78.78,78.85,1156575,BMRN
10/08/20,78.0,79.86,77.72,79.61,1236294,BMRN
10/07/20,75.96,77.99,75.48,77.71,1104157,BMRN
10/06/20,76.67,77.57,75.5,75.55,1144527,BMRN
10/05/20,75.546,77.62,75.17,77.0,1510811,BMRN
10/02/20,75.33,76.04,73.8,74.98,2548201,BMRN
10/01/20,77.02,77.24,75.33,75.82,1157203,BMRN
09/30/20,76.15,77.555,75.4301,76.08,1597347,BMRN
09/29/20,78.12,78.37,75.94,76.0,1320921,BMRN
09/28/20,78.55,79.21,77.72,77.99,1458890,BMRN
09/25/20,76.46,77.96,75.835,77.39,1770374,BMRN
09/24/20,77.4,78.0,75.02,76.58,2584323,BMRN
09/23/20,79.38,80.24,78.09,78.43,1899044,BMRN
09/22/20,77.39,80.94,75.41,79.36,2708782,BMRN
09/21/20,78.56,78.63,76.71,77.28,2202515,BMRN
09/18/20,78.81,79.72,77.18,79.38,4440889,BMRN
09/17/20,74.84,78.64,74.1233,78.36,3097149,BMRN
09/16/20,75.5,76.39,75.09,75.64,1689612,BMRN
09/15/20,75.94,76.095,74.64,75.51,1537011,BMRN
09/14/20,72.99,76.14,72.99,75.34,2460031,BMRN
09/11/20,72.6,73.24,71.35,72.05,2277376,BMRN
09/10/20,74.11,75.15,71.5,71.87,3395343,BMRN
09/09/20,75.45,75.63,73.8701,74.49,2675911,BMRN
09/08/20,74.72,75.72,73.7,74.49,1772326,BMRN
09/04/20,75.74,76.635,73.76,76.0,2310132,BMRN
09/03/20,77.7435,77.825,75.3899,75.84,2582355,BMRN
09/02/20,76.73,78.86,76.12,77.99,2185758,BMRN
09/01/20,77.85,78.04,75.56,76.0,2485428,BMRN
08/31/20,76.57,79.0,76.54,78.03,3038880,BMRN
08/28/20,75.99,76.44,74.7959,76.38,1790255,BMRN
08/27/20,74.78,77.24,74.24,75.43,4067498,BMRN
08/26/20,73.86,75.32,73.7005,74.89,2566079,BMRN
08/25/20,74.165,75.0,73.29,74.4,3379281,BMRN
08/24/20,75.46,75.65,72.24,73.0,3918256,BMRN
08/21/20,74.8,75.7434,73.88,75.03,6373334,BMRN
08/20/20,76.27,76.73,74.6,74.85,7297174,BMRN
08/19/20,85.81,85.85,74.56,76.715,34099090,BMRN
08/18/20,119.14,119.9,117.31,118.54,723862,BMRN
08/17/20,119.23,121.23,118.67,119.49,637200,BMRN
08/14/20,118.42,119.9844,117.515,118.16,971828,BMRN
08/13/20,118.61,118.61,115.775,116.87,1135910,BMRN
08/12/20,117.0,118.98,116.995,118.02,1006937,BMRN
08/11/20,117.71,118.82,116.4,116.83,980358,BMRN
08/10/20,118.35,118.66,116.06,118.25,785329,BMRN
08/07/20,119.84,120.75,117.81,118.67,754348,BMRN
08/06/20,119.6,120.66,118.36,119.65,642581,BMRN
08/05/20,119.99,124.5199,118.765,119.83,1378909,BMRN
08/04/20,122.69,122.69,118.15,119.83,1129938,BMRN
08/03/20,120.35,122.47,118.78,122.04,1084393,BMRN
07/31/20,121.81,121.925,117.72,119.81,956515,BMRN
07/30/20,119.21,123.19,118.2,121.72,816168,BMRN
07/29/20,123.67,123.67,120.19,120.53,1025795,BMRN
07/28/20,124.46,124.46,121.8,122.83,887729,BMRN
07/27/20,124.08,124.9,122.63,124.0,963701,BMRN
07/24/20,123.41,124.985,121.63,122.95,1180335,BMRN
07/23/20,127.99,129.18,124.33,124.49,967018,BMRN
07/22/20,129.06,130.16,126.44,127.58,1046393,BMRN
07/21/20,130.97,131.945,129.03,129.89,772502,BMRN
07/20/20,128.89,131.725,128.26,131.03,1113903,BMRN
07/17/20,128.54,129.34,126.81,128.21,966422,BMRN
07/16/20,126.74,128.63,124.47,127.78,1071646,BMRN
07/15/20,126.21,127.36,124.68,126.74,936247,BMRN
07/14/20,123.2,126.87,119.51,126.43,1377541,BMRN
07/13/20,126.65,130.04,123.82,124.4,1713953,BMRN
07/10/20,126.61,127.405,124.99,126.06,812912,BMRN
07/09/20,129.0,129.21,124.475,126.81,1004362,BMRN
07/08/20,125.85,129.38,125.7326,128.73,1089362,BMRN
07/07/20,127.21,129.8854,127.21,127.98,840733,BMRN
07/06/20,127.77,128.4199,126.0,127.71,1264156,BMRN
07/02/20,126.95,127.98,124.17,126.78,1091934,BMRN
07/01/20,123.01,128.77,121.66,125.84,2147471,BMRN
06/30/20,122.19,123.92,120.66,123.34,1188800,BMRN
06/29/20,124.78,124.78,121.46,122.18,1275507,BMRN
06/26/20,123.61,124.95,121.24,124.02,2866595,BMRN
06/25/20,120.57,124.74,120.39,124.22,2119909,BMRN
06/24/20,121.3,122.635,118.89,120.63,1508700,BMRN
06/23/20,123.01,123.81,121.01,121.72,1507445,BMRN
06/22/20,122.38,123.77,118.38,122.34,2223752,BMRN
06/19/20,114.14,124.95,113.83,124.12,4600867,BMRN
06/18/20,114.37,115.95,112.25,113.83,2123772,BMRN
06/17/20,106.49,113.84,103.85,111.32,2503154,BMRN
06/16/20,107.86,107.9,105.01,106.47,907354,BMRN
06/15/20,105.03,106.8,103.3824,105.76,1268406,BMRN
06/12/20,106.06,106.805,103.08,105.72,1135020,BMRN
06/11/20,106.68,107.29,103.86,103.86,1327005,BMRN
06/10/20,107.56,108.55,106.14,107.66,1374847,BMRN
06/09/20,106.84,107.5,104.84,105.09,1012345,BMRN
06/08/20,105.19,107.33,104.23,106.87,1026049,BMRN
06/05/20,107.46,109.71,105.22,105.8,1298132,BMRN
