Date, Open, High, Low, Close, Volume,ticker
12/24/20,61.12,61.36,60.935,61.15,3099674,BMY
12/23/20,61.37,61.63,61.0,61.0,6235071,BMY
12/22/20,61.77,61.97,61.13,61.43,8114059,BMY
12/21/20,62.0,62.12,61.34,62.01,13055650,BMY
12/18/20,62.65,63.45,62.4358,63.12,21177770,BMY
12/17/20,62.57,62.82,61.99,62.54,10642360,BMY
12/16/20,62.5,63.2793,62.29,62.34,9498025,BMY
12/15/20,61.26,62.64,60.85,62.57,14943240,BMY
12/14/20,61.01,61.1017,59.92,59.97,11400400,BMY
12/11/20,60.33,61.47,60.2,60.72,10021620,BMY
12/10/20,60.91,61.04,59.96,60.2,9428615,BMY
12/09/20,61.5,61.56,60.33,60.92,10244470,BMY
12/08/20,61.17,61.78,60.85,61.12,10830630,BMY
12/07/20,62.19,62.59,60.97,61.2,8974004,BMY
12/04/20,61.79,62.31,61.65,62.31,8159036,BMY
12/03/20,62.0,62.2867,61.58,61.78,10944870,BMY
12/02/20,62.41,62.83,61.9,62.18,8077211,BMY
12/01/20,63.15,63.74,62.335,62.41,9871490,BMY
11/30/20,63.05,63.27,61.99,62.4,14996590,BMY
11/27/20,63.28,63.69,62.88,63.05,4178758,BMY
11/25/20,63.42,63.5,62.2,62.84,9520905,BMY
11/24/20,61.95,63.51,61.88,63.22,13512670,BMY
11/23/20,61.74,62.01,61.08,61.92,9595949,BMY
11/20/20,61.85,62.33,61.4,61.61,8305175,BMY
11/19/20,62.2,62.4,61.15,62.09,9025456,BMY
11/18/20,64.67,64.7,62.0,62.01,12455270,BMY
11/17/20,64.47,64.7,63.88,64.32,8610180,BMY
11/16/20,64.12,64.93,63.845,64.5,7199552,BMY
11/13/20,62.79,64.04,62.77,63.62,9435226,BMY
11/12/20,63.14,63.14,62.195,62.75,7603951,BMY
11/11/20,65.07,65.12,63.025,63.42,8269684,BMY
11/10/20,64.21,64.795,63.71,64.52,11210020,BMY
11/09/20,65.12,66.08,63.99,64.08,15533290,BMY
11/06/20,63.61,64.92,63.38,63.8,9680121,BMY
11/05/20,64.99,65.38,63.54,63.75,17676080,BMY
11/04/20,63.96,66.23,63.75,65.43,24699670,BMY
11/03/20,61.01,62.24,60.21,61.24,14235980,BMY
11/02/20,59.19,59.64,58.84,59.49,10318910,BMY
10/30/20,57.71,58.48,57.59,58.45,11156020,BMY
10/29/20,57.81,58.43,56.754,57.92,8838608,BMY
10/28/20,58.0,58.54,57.4,57.76,11931160,BMY
10/27/20,59.26,59.84,58.56,58.74,10008250,BMY
10/26/20,59.82,60.14,59.035,59.67,7484139,BMY
10/23/20,60.83,61.22,60.0717,60.13,7336812,BMY
10/22/20,59.98,61.01,59.95,60.76,7038473,BMY
10/21/20,60.39,60.75,59.95,60.03,8004805,BMY
10/20/20,61.09,61.2684,60.53,60.64,6635199,BMY
10/19/20,61.8,62.42,60.5051,60.77,10999140,BMY
