Date, Open, High, Low, Close, Volume,ticker
12/24/20,148.23,150.02,147.58,150.01,162003,BR
12/23/20,148.81,148.975,147.4,147.41,454343,BR
12/22/20,149.6,149.92,148.21,148.48,587782,BR
12/21/20,151.69,152.74,148.55,149.36,495478,BR
12/18/20,151.06,154.22,150.23,153.88,1263795,BR
12/17/20,148.3,150.92,148.0009,150.83,714580,BR
12/16/20,147.72,148.35,145.8757,146.81,654720,BR
12/15/20,146.62,148.07,145.85,147.41,637598,BR
12/14/20,147.33,148.97,145.6,146.1,751216,BR
12/11/20,145.88,147.755,145.66,147.63,677894,BR
12/10/20,147.27,148.535,145.34,146.22,923255,BR
12/09/20,147.75,148.56,146.52,148.31,554866,BR
12/08/20,145.98,147.835,145.505,147.23,442933,BR
12/07/20,148.72,149.67,145.1,146.15,798553,BR
12/04/20,148.32,149.23,147.5456,149.22,454200,BR
12/03/20,146.61,148.985,146.61,148.01,345978,BR
12/02/20,148.4,149.28,146.64,147.23,539910,BR
12/01/20,148.5,149.33,146.18,148.45,590288,BR
11/30/20,147.79,148.02,144.75,146.88,812126,BR
11/27/20,146.96,147.48,145.08,147.4,188144,BR
11/25/20,147.73,147.73,145.08,146.27,378911,BR
11/24/20,148.46,148.52,146.13,146.94,416853,BR
11/23/20,145.17,147.8,144.575,147.58,334177,BR
11/20/20,146.87,146.87,144.7,144.92,431368,BR
11/19/20,145.05,146.81,143.44,146.6,426647,BR
11/18/20,146.95,147.55,145.615,145.77,378366,BR
11/17/20,147.96,148.55,146.75,147.28,294354,BR
11/16/20,147.3,148.65,146.38,148.51,466168,BR
11/13/20,147.08,147.52,145.19,146.69,268857,BR
11/12/20,148.54,148.555,144.66,145.55,391076,BR
11/11/20,147.43,149.87,147.24,148.83,285504,BR
11/10/20,146.86,147.72,144.71,146.25,523807,BR
11/09/20,151.2,153.34,146.53,146.88,567573,BR
11/06/20,144.61,147.08,143.83,146.59,337832,BR
11/05/20,147.24,147.9879,143.96,144.68,509616,BR
11/04/20,145.16,147.29,144.43,144.84,451041,BR
11/03/20,142.13,145.96,141.42,143.66,463228,BR
11/02/20,138.34,141.52,138.34,140.77,643659,BR
10/30/20,136.61,141.925,136.13,137.6,1020246,BR
10/29/20,135.21,139.45,134.835,138.12,560940,BR
10/28/20,137.92,138.27,134.68,135.48,617770,BR
10/27/20,142.14,142.975,139.91,139.99,299231,BR
10/26/20,144.05,144.94,140.92,142.18,306411,BR
10/23/20,145.59,146.04,144.65,145.73,363113,BR
10/22/20,144.0,145.23,142.745,144.78,281440,BR
10/21/20,143.84,145.11,143.665,144.51,374734,BR
10/20/20,142.3,144.11,142.04,143.49,335175,BR
10/19/20,143.61,144.41,141.43,141.79,372417,BR
10/16/20,143.72,145.14,143.17,143.34,381617,BR
10/15/20,140.7,143.79,140.33,143.27,419227,BR
10/14/20,142.04,142.75,141.46,141.7,307034,BR
10/13/20,142.6,143.79,141.22,142.08,480465,BR
10/12/20,142.15,143.2,140.98,142.65,445484,BR
10/09/20,139.73,141.42,139.19,140.84,271652,BR
10/08/20,138.72,139.91,137.81,139.05,301042,BR
10/07/20,136.59,137.82,135.3208,137.51,417641,BR
10/06/20,136.2,138.675,135.56,135.75,540167,BR
10/05/20,134.22,136.42,133.46,136.31,505206,BR
10/02/20,131.7,133.88,131.23,133.41,496704,BR
10/01/20,133.41,135.4,132.6,133.94,737120,BR
09/30/20,131.92,132.85,130.85,132.0,789902,BR
09/29/20,132.1,133.14,131.36,131.72,227258,BR
09/28/20,131.8,133.29,131.375,132.0,528746,BR
09/25/20,127.21,130.57,126.77,130.4,399174,BR
