Date, Open, High, Low, Close, Volume,ticker
12/24/20,60.93,61.09,59.88,60.57,6824395,C
12/23/20,60.0,61.31,59.79,60.78,16579061,C
12/22/20,61.1,61.1393,59.155,59.26,17880990,C
12/21/20,60.35,61.82,59.81,61.23,31906141,C
12/18/20,60.3,60.3,58.71,59.06,28712699,C
12/17/20,60.0,60.29,59.5699,60.05,18229881,C
12/16/20,60.065,60.14,59.36,59.75,14988340,C
12/15/20,58.74,59.858999999999995,58.57,59.67,16154760,C
12/14/20,60.0,60.255,58.73,58.74,19688270,C
12/11/20,59.8,59.81,58.18,58.93,20960039,C
12/10/20,58.04,60.785,58.01,60.5,25866619,C
12/09/20,59.16,59.55,58.3,58.95,27278199,C
12/08/20,57.48,58.4,57.36,58.36,15511690,C
12/07/20,58.15,58.61,57.28,58.13,21280900,C
12/04/20,57.56,58.82,57.31,58.62,24695961,C
12/03/20,57.38,57.445,56.2,56.58,18776119,C
12/02/20,55.36,57.415,55.25,57.2,26796770,C
12/01/20,56.55,56.74,55.4,55.47,23521039,C
11/30/20,56.14,56.54,54.995,55.07,23359260,C
11/27/20,57.0,57.24,56.12,56.67,14267080,C
11/25/20,56.27,57.16,55.33,57.06,28250529,C
11/24/20,54.48,57.14,54.48,57.06,32890930,C
11/23/20,52.51,53.63,52.29,53.3,28923230,C
11/20/20,51.83,52.11,51.19,51.65,15478490,C
11/19/20,51.6,52.32,50.95,52.14,20262350,C
11/18/20,51.09,52.645,51.01,51.05,25823971,C
11/17/20,49.84,50.93,49.48,50.73,18969990,C
11/16/20,50.41,51.02,49.855,50.4,26699359,C
11/13/20,48.65,49.065,48.4,48.66,18645631,C
11/12/20,47.97,48.41,47.71,48.28,28465641,C
11/11/20,47.9,49.29,47.68,48.93,29719619,C
11/10/20,48.31,48.75,47.45,47.65,33275852,C
11/09/20,46.87,48.78,46.26,47.64,56895238,C
11/06/20,43.51,43.61,42.5,42.71,17705230,C
11/05/20,42.34,43.58,42.18,43.07,24945080,C
11/04/20,42.53,43.41,41.895,42.08,25956391,C
11/03/20,43.3,44.02,43.06,43.53,29985230,C
11/02/20,41.86,42.67,41.2,42.21,24310830,C
10/30/20,41.03,41.54,40.49,41.42,26971109,C
10/29/20,41.13,42.15,40.71,41.66,23351020,C
10/28/20,40.97,41.59,40.745,41.13,27485039,C
10/27/20,43.04,43.04,41.87,41.88,24251711,C
10/26/20,43.36,43.4,42.81,43.26,24928131,C
10/23/20,44.21,44.57,43.665,43.95,18486490,C
10/22/20,42.89,43.99,42.66,43.95,21341211,C
10/21/20,43.46,43.7299,42.9,43.01,19816330,C
10/20/20,43.37,44.08,43.34,43.52,21255920,C
10/19/20,43.35,43.39,42.81,42.9,22793570,C
10/16/20,43.68,43.88,43.08,43.19,26007090,C
10/15/20,42.54,43.635,42.25,43.61,26408020,C
10/14/20,43.52,44.235,43.0,43.03,30300891,C
10/13/20,46.12,46.12,43.55,43.68,49899070,C
10/12/20,45.09,45.99,44.95,45.88,24070170,C
10/09/20,45.01,45.59,44.69,44.93,25595561,C
10/08/20,44.91,45.17,44.28,44.72,28630721,C
10/07/20,45.02,45.63,44.61,44.84,22135789,C
10/06/20,45.475,46.06,44.16,44.41,29505859,C
10/05/20,44.26,45.23,44.21,44.91,24170631,C
10/02/20,42.54,43.87,42.52,43.66,23899211,C
10/01/20,43.33,43.65,42.6,43.44,21900510,C
09/30/20,42.58,43.59,42.5,43.11,22533430,C
09/29/20,43.1,43.29,42.02,42.42,20700289,C
09/28/20,42.92,43.88,42.89,43.34,21204561,C
09/25/20,41.84,42.13,41.52,42.02,26917180,C
09/24/20,41.85,42.595,41.29,42.19,31259180,C
09/23/20,43.61,43.95,41.79,41.85,28780160,C
09/22/20,43.79,44.13,43.075,43.29,25799189,C
09/21/20,43.41,44.155,43.07,43.93,33469711,C
09/18/20,45.52,45.96,44.755,44.86,33201719,C
09/17/20,45.46,45.83,45.01,45.53,28741600,C
09/16/20,45.21,46.76,44.62,46.02,45536840,C
09/15/20,48.12,48.39,44.67,44.81,84689727,C
09/14/20,51.49,52.08,47.9,48.15,58798352,C
09/11/20,50.89,51.685,50.8,51.0,21033250,C
09/10/20,51.72,52.5,50.7,50.95,22324369,C
09/09/20,51.2,51.59,50.615,51.4,19193920,C
09/08/20,51.92,52.09,50.6599,51.04,28128570,C
09/04/20,52.47,53.36,51.44,52.52,25124051,C
09/03/20,52.44,53.64,51.23,51.5,25003221,C
09/02/20,51.04,52.14,50.6575,51.95,15348570,C
09/01/20,50.88,51.565,50.54,51.2,16909930,C
08/31/20,51.91,52.04,51.1,51.12,16280130,C
08/28/20,52.07,52.37,51.525,52.28,16990330,C
08/27/20,50.72,52.2101,50.65,51.72,19393449,C
08/26/20,51.66,51.79,50.815,50.85,14541570,C
08/25/20,51.85,52.505,50.97,51.65,17244779,C
08/24/20,49.9,51.13,49.45,51.06,19745080,C
08/21/20,49.45,50.08,49.1599,49.3,17416039,C
08/20/20,49.53,50.015,49.23,49.58,15920880,C
08/19/20,50.68,51.33,50.0,50.29,20837301,C
08/18/20,51.52,51.53,50.28,50.34,17100779,C
08/17/20,52.63,52.82,51.35,51.42,19788670,C
08/14/20,52.45,53.345,52.355,52.93,13861310,C
08/13/20,52.83,53.48,52.57,52.89,13815270,C
08/12/20,54.94,55.0185,52.745,53.35,19347990,C
08/11/20,54.45,55.027,53.54,53.76,25256471,C
08/10/20,52.29,53.205,52.25,52.86,16850410,C
08/07/20,50.52,52.23,50.13,52.12,21499090,C
08/06/20,50.75,51.29,50.58,50.89,11024980,C
08/05/20,50.5,51.31,50.47,51.04,16500770,C
08/04/20,50.23,50.32,49.85,50.14,16230760,C
08/03/20,50.56,50.85,49.69,50.39,15865380,C
07/31/20,50.26,50.31,49.3678,50.01,22488391,C
07/30/20,51.11,51.2,49.86,50.87,24154650,C
07/29/20,51.17,52.59,50.99,52.52,16990980,C
07/28/20,51.02,51.66,50.965,51.27,13121390,C
07/27/20,51.46,51.46,50.605,51.29,13991390,C
07/24/20,52.1,52.48,51.5,51.67,16258880,C
07/23/20,51.45,52.23,51.13,52.08,17090420,C
07/22/20,51.54,52.28,51.145,51.66,17873400,C
07/21/20,50.9,51.82,50.67,51.73,21956301,C
07/20/20,49.99,50.58,49.75,50.14,23472570,C
07/17/20,51.22,51.48,50.2,50.22,19801990,C
07/16/20,51.28,52.455,50.935,51.46,18823961,C
