Date, Open, High, Low, Close, Volume,ticker
12/24/20,36.28,36.43,36.15,36.38,807749,CAG
12/23/20,36.16,36.53,36.06,36.41,2234958,CAG
12/22/20,36.03,36.375,35.89,35.99,2790011,CAG
12/21/20,35.79,36.145,35.49,35.97,2541636,CAG
12/18/20,36.2,36.25,35.6425,36.12,5896385,CAG
12/17/20,35.85,36.26,35.74,36.17,2743953,CAG
12/16/20,35.69,35.9587,35.5,35.58,2431712,CAG
12/15/20,35.8,35.84,35.42,35.67,2988506,CAG
12/14/20,35.62,35.99,35.36,35.63,2729191,CAG
12/11/20,35.3,35.43,35.055,35.35,3204090,CAG
12/10/20,35.77,35.85,35.31,35.37,2321887,CAG
12/09/20,35.68,35.84,35.37,35.71,2754396,CAG
12/08/20,35.43,35.72,35.205,35.7,2656448,CAG
12/07/20,35.55,35.945,34.93,35.37,3340359,CAG
12/04/20,35.33,35.65,35.15,35.49,6138623,CAG
12/03/20,35.06,35.51,35.01,35.38,3592804,CAG
12/02/20,36.24,36.41,35.0,35.17,4175605,CAG
12/01/20,36.53,36.595,36.075,36.29,2623252,CAG
11/30/20,36.01,36.6,35.8,36.56,4051871,CAG
11/27/20,35.86,35.9534,35.64,35.94,698358,CAG
11/25/20,35.57,36.065,35.53,35.76,2046222,CAG
11/24/20,35.74,35.8199,35.26,35.36,4098232,CAG
11/23/20,35.76,35.89,35.33,35.7,2637467,CAG
11/20/20,36.07,36.3,35.65,35.86,2988040,CAG
11/19/20,35.27,36.22,35.21,36.19,2622865,CAG
11/18/20,35.84,36.115,35.47,35.48,2775754,CAG
11/17/20,36.16,36.34,35.58,35.74,2779872,CAG
11/16/20,36.16,36.55,35.67,36.54,2513757,CAG
11/13/20,35.6,36.05,35.46,36.03,1554548,CAG
11/12/20,35.59,35.59,34.885,35.41,2733628,CAG
11/11/20,35.13,35.69,34.88,35.51,1692039,CAG
11/10/20,34.28,34.99,33.94,34.98,4604406,CAG
11/09/20,36.06,36.39,34.305,34.38,4442757,CAG
11/06/20,36.18,36.53,35.845,36.07,1561101,CAG
11/05/20,36.6,36.6768,36.13,36.16,2083445,CAG
11/04/20,36.27,36.85,36.03,36.29,2381559,CAG
11/03/20,35.79,36.68,35.755,36.25,1632506,CAG
11/02/20,35.38,35.81,35.172,35.6,2385633,CAG
10/30/20,35.02,35.3467,34.725,35.09,2715453,CAG
10/29/20,35.89,35.96,35.25,35.5,2549948,CAG
10/28/20,36.47,36.915,35.55,35.86,2728002,CAG
10/27/20,37.54,37.7,36.94,36.96,2702544,CAG
10/26/20,37.79,38.15,37.315,37.55,2821386,CAG
10/23/20,37.84,38.025,37.54,38.0,2134266,CAG
10/22/20,37.11,37.765,36.86,37.65,2741712,CAG
10/21/20,37.09,37.425,36.945,37.09,2500645,CAG
10/20/20,37.72,38.01,37.06,37.12,2140118,CAG
10/19/20,37.91,38.26,37.385,37.47,3458045,CAG
10/16/20,37.85,38.08,37.73,37.91,1799788,CAG
