Date, Open, High, Low, Close, Volume,ticker
12/24/20,53.93,54.07,53.31,53.8,349623,CAH
12/23/20,53.77,54.2868,53.64,53.86,925218,CAH
12/22/20,54.1,54.42,53.55,53.63,1171771,CAH
12/21/20,54.0,54.44,53.3006,54.02,1740582,CAH
12/18/20,54.18,55.025,53.82,54.96,2925605,CAH
12/17/20,54.61,54.66,53.655,54.22,3102618,CAH
12/16/20,54.71,54.86,54.12,54.24,1139148,CAH
12/15/20,54.05,55.22,53.9975,54.92,1494301,CAH
12/14/20,54.91,55.02,53.36,53.55,1953832,CAH
12/11/20,55.09,55.13,53.93,54.28,2268142,CAH
12/10/20,55.71,56.05,55.23,55.45,1649694,CAH
12/09/20,56.46,56.69,55.42,56.15,1245625,CAH
12/08/20,55.29,56.63,55.14,56.47,1487530,CAH
12/07/20,56.63,56.63,55.0583,55.4,2778222,CAH
12/04/20,55.72,56.99,55.07,56.99,2223661,CAH
12/03/20,55.72,56.18,54.9,55.43,3345166,CAH
12/02/20,53.87,55.855,53.8,55.65,3001465,CAH
12/01/20,55.4,55.44,53.865,54.03,2231756,CAH
11/30/20,53.9,54.8,53.495,54.59,5380611,CAH
11/27/20,53.59,54.25,53.485,53.78,788108,CAH
11/25/20,54.03,54.13,53.2,53.77,1908810,CAH
11/24/20,52.89,54.13,52.4,53.97,2287781,CAH
11/23/20,52.35,52.75,51.7,52.29,1982639,CAH
11/20/20,52.08,52.55,51.27,51.86,2449677,CAH
11/19/20,52.98,52.98,51.51,52.29,2834146,CAH
11/18/20,55.11,55.95,53.19,53.32,2497381,CAH
11/17/20,55.0,55.34,53.2,54.68,3749739,CAH
11/16/20,58.5,59.19,58.02,58.47,2167212,CAH
11/13/20,56.36,57.59,55.99,57.43,1435189,CAH
11/12/20,55.64,56.49,55.2,56.0,1612050,CAH
11/11/20,57.54,57.685,55.8839,56.23,1899383,CAH
11/10/20,55.6,57.83,55.21,57.37,3553220,CAH
11/09/20,55.5,56.3,54.03,55.41,3043685,CAH
11/06/20,53.23,53.55,52.24,52.64,2255631,CAH
11/05/20,51.51,54.28,51.5,53.06,4444006,CAH
11/04/20,50.0,50.835,49.3,49.44,2901723,CAH
11/03/20,48.53,49.405,48.44,48.79,2180132,CAH
11/02/20,46.8,47.84,46.26,47.52,2496524,CAH
10/30/20,45.49,46.26,45.15,45.79,4173801,CAH
10/29/20,45.83,46.15,44.915,45.61,1894122,CAH
10/28/20,46.55,47.01,45.88,45.96,1698131,CAH
10/27/20,47.85,48.39,47.47,47.48,1473210,CAH
10/26/20,48.88,49.13,47.69,48.03,1643069,CAH
10/23/20,49.11,49.545,48.75,49.34,1290025,CAH
10/22/20,47.9,48.895,47.8996,48.77,1396519,CAH
10/21/20,47.47,48.26,47.31,47.83,1294435,CAH
10/20/20,48.23,48.46,47.69,47.71,1678557,CAH
10/19/20,48.78,49.24,47.8,47.9,1791457,CAH
10/16/20,48.89,49.35,48.36,48.79,1284587,CAH
10/15/20,47.74,48.95,47.4806,48.92,1180127,CAH
10/14/20,48.0,48.9,47.73,48.37,1240600,CAH
10/13/20,47.8,48.34,47.68,47.92,1256476,CAH
10/12/20,48.23,48.51,47.88,48.32,1138293,CAH
10/09/20,48.92,48.93,47.81,48.03,2002519,CAH
10/08/20,47.29,48.73,46.8,48.68,1774793,CAH
10/07/20,46.55,47.43,46.54,47.15,1758654,CAH
10/06/20,47.59,47.8,46.32,46.47,1854283,CAH
10/05/20,46.5,47.43,46.07,47.15,2820863,CAH
10/02/20,45.52,46.765,45.29,46.3,1747173,CAH
10/01/20,47.19,47.2,45.81,46.08,2115029,CAH
09/30/20,46.59,47.41,46.342,46.95,3222041,CAH
09/29/20,47.63,47.68,46.74,46.89,1546368,CAH
09/28/20,47.97,48.54,47.46,47.55,1837230,CAH
09/25/20,46.7,47.68,46.28,47.43,2944848,CAH
09/24/20,45.5,46.23,44.65,45.81,2880580,CAH
09/23/20,47.2,47.21,45.24,45.25,2526306,CAH
09/22/20,47.1,47.525,46.8322,47.08,2423527,CAH
09/21/20,47.03,47.357,46.48,47.1,2632388,CAH
09/18/20,47.3,48.33,47.23,47.68,4227480,CAH
09/17/20,46.7,47.36,45.89,47.3,3926799,CAH
09/16/20,46.74,47.7,46.7,47.21,4038243,CAH
09/15/20,47.44,47.77,46.53,46.55,2600277,CAH
09/14/20,48.61,48.99,46.93,47.05,4552093,CAH
09/11/20,48.84,48.84,47.86,48.38,1481044,CAH
09/10/20,49.31,49.55,48.51,48.54,2393970,CAH
09/09/20,49.56,50.04,48.96,49.54,1560330,CAH
09/08/20,49.67,49.93,48.82,49.27,2825949,CAH
09/04/20,50.17,50.21,49.0,49.72,2368963,CAH
09/03/20,51.35,51.9,49.46,50.02,3189695,CAH
09/02/20,49.62,51.28,49.33,50.99,2355425,CAH
09/01/20,50.52,50.74,48.57,49.34,2033147,CAH
08/31/20,50.25,51.23,50.22,50.76,2279021,CAH
08/28/20,50.6,50.79,49.98,50.5,1119865,CAH
08/27/20,51.19,51.4599,50.26,50.67,1932032,CAH
08/26/20,50.21,51.1,49.94,50.95,2038282,CAH
08/25/20,49.85,50.6,49.46,50.56,1781208,CAH
08/24/20,50.23,50.27,49.44,49.8,1365943,CAH
08/21/20,49.95,50.32,49.59,49.85,1628992,CAH
08/20/20,51.37,51.53,50.045,50.16,1729663,CAH
08/19/20,51.98,52.63,51.51,51.64,1358715,CAH
08/18/20,52.7,53.29,51.93,52.05,1724222,CAH
08/17/20,53.7,53.78,52.6,52.73,1616753,CAH
08/14/20,52.2,53.7,51.92,53.68,1985671,CAH
08/13/20,53.42,53.65,52.26,52.43,2608926,CAH
08/12/20,53.48,54.17,53.26,53.82,1635241,CAH
08/11/20,53.36,53.92,52.85,53.04,1782390,CAH
08/10/20,52.58,53.81,52.35,53.06,2161747,CAH
08/07/20,52.62,52.74,51.61,52.58,2844789,CAH
08/06/20,52.5,55.45,52.11,53.11,5229135,CAH
08/05/20,58.64,58.97,57.09,57.6,2764599,CAH
08/04/20,57.76,58.34,57.03,57.83,1888482,CAH
08/03/20,55.55,58.31,55.54,58.04,2856062,CAH
07/31/20,56.43,56.5,53.91,54.62,4728200,CAH
07/30/20,56.81,57.0,55.6,56.48,2437405,CAH
07/29/20,56.88,57.99,56.53,57.7,1894068,CAH
07/28/20,57.34,57.59,56.49,56.58,1524468,CAH
07/27/20,56.27,57.52,55.74,57.48,1704556,CAH
07/24/20,56.75,57.63,56.14,56.5,1504378,CAH
07/23/20,56.27,57.05,56.04,56.55,1685157,CAH
07/22/20,56.0,56.33,55.52,56.16,1531696,CAH
07/21/20,53.54,56.05,53.54,55.99,2661499,CAH
07/20/20,53.26,53.42,52.52,53.15,2959628,CAH
07/17/20,52.6,53.345,52.38,53.13,1139935,CAH
07/16/20,51.92,52.72,51.58,52.42,1387534,CAH
07/15/20,51.49,52.28,51.19,52.09,1642786,CAH
07/14/20,49.63,51.0,49.51,50.93,1669909,CAH
07/13/20,49.61,50.66,49.26,49.87,2143738,CAH
07/10/20,48.76,49.54,48.25,49.36,1841213,CAH
07/09/20,50.19,50.27,48.39,48.88,1575881,CAH
07/08/20,50.32,50.53,49.4,50.29,1975243,CAH
07/07/20,51.01,51.32,50.17,50.22,1619335,CAH
07/06/20,52.22,52.46,51.3,51.74,2284126,CAH
07/02/20,52.32,52.75,51.54,51.8,2371492,CAH
07/01/20,52.32,52.575,51.46,51.68,1633726,CAH
06/30/20,51.28,52.57,50.83,52.19,2559771,CAH
06/29/20,50.96,51.97,50.93,51.97,1604466,CAH
06/26/20,51.76,52.33,50.43,50.55,8788356,CAH
06/25/20,51.66,52.31,51.17,51.87,2494005,CAH
06/24/20,53.0,53.58,51.575,52.01,2300061,CAH
06/23/20,54.29,54.54,53.41,53.48,1589515,CAH
06/22/20,53.69,53.95,52.94,53.82,1285014,CAH
06/19/20,54.14,54.78,53.32,53.81,4669016,CAH
06/18/20,53.5,53.65,52.66,53.11,2023729,CAH
06/17/20,54.51,54.63,53.5,53.66,2102312,CAH
06/16/20,54.8,55.04,53.6101,54.5,2564726,CAH
06/15/20,51.83,53.93,51.25,53.46,1946511,CAH
06/12/20,54.0,54.4,51.5,52.89,1747737,CAH
06/11/20,54.1,54.48,52.12,52.49,1888406,CAH
06/10/20,57.92,58.033,55.38,55.47,2206911,CAH
06/09/20,58.68,58.91,57.08,57.65,1458612,CAH
06/08/20,57.06,59.46,56.9,59.31,2562208,CAH
06/05/20,57.06,58.49,57.0,57.27,1856720,CAH
06/04/20,56.17,57.08,55.82,56.49,2077663,CAH
06/03/20,55.99,57.13,55.82,56.62,2163750,CAH
06/02/20,54.52,55.99,54.01,55.77,2941947,CAH
06/01/20,54.48,55.07,54.14,54.7,1247832,CAH
