Date, Open, High, Low, Close, Volume,ticker
12/24/20,62.99,63.04,62.145,62.93,393611,CBRE
12/23/20,62.76,63.84,62.74,62.75,1063156,CBRE
12/22/20,62.66,62.895,61.79,62.57,1897036,CBRE
12/21/20,62.37,63.095,61.35,62.39,2423384,CBRE
12/18/20,64.42,64.42,62.32,63.29,6249330,CBRE
12/17/20,66.02,66.02,63.66,64.41,2668066,CBRE
12/16/20,66.12,66.57,64.88,65.83,3172234,CBRE
12/15/20,65.7,66.17,65.09,66.13,1922391,CBRE
12/14/20,66.69,66.89,64.92,65.13,2251517,CBRE
12/11/20,65.66,66.42,65.25,66.15,2189402,CBRE
12/10/20,65.45,66.56,64.85,66.33,2279299,CBRE
12/09/20,67.31,67.7,65.33,66.1,2888737,CBRE
12/08/20,65.78,66.9,65.63,66.75,2692555,CBRE
12/07/20,65.08,66.35,64.76,66.28,1983248,CBRE
12/04/20,63.76,65.91,63.74,65.74,1871307,CBRE
12/03/20,61.98,64.18,61.4,63.78,2233676,CBRE
12/02/20,61.29,62.24,61.12,61.85,1802917,CBRE
12/01/20,61.99,62.39,60.98,61.64,1497888,CBRE
11/30/20,61.19,61.395,60.37,61.14,4042215,CBRE
11/27/20,61.27,61.73,60.64,61.13,643039,CBRE
11/25/20,61.4,61.735,60.5264,61.26,1141558,CBRE
11/24/20,60.43,61.9,59.98,61.46,1457927,CBRE
11/23/20,58.94,59.99,58.18,59.78,1353247,CBRE
11/20/20,58.25,58.595,57.34,58.3,1325052,CBRE
11/19/20,57.72,58.59,56.56,58.47,1645491,CBRE
11/18/20,60.43,60.43,58.07,58.13,1493060,CBRE
11/17/20,58.98,60.97,58.02,60.49,1798435,CBRE
11/16/20,59.64,60.4,58.72,59.92,1879303,CBRE
11/13/20,56.02,58.06,55.73,57.83,1336492,CBRE
11/12/20,56.05,56.14,54.9,55.28,1752870,CBRE
11/11/20,56.94,56.94,55.34,56.31,1687803,CBRE
11/10/20,58.09,59.15,56.22,56.53,2005982,CBRE
11/09/20,57.28,62.41,57.28,58.15,4741450,CBRE
11/06/20,53.12,53.36,51.76,52.27,1055559,CBRE
11/05/20,52.53,53.43,52.1,52.92,1220183,CBRE
11/04/20,51.62,53.34,50.79,51.99,1160658,CBRE
11/03/20,53.72,53.72,50.58,51.93,1774565,CBRE
11/02/20,50.96,53.55,50.81,52.67,2650615,CBRE
10/30/20,50.5,51.055,48.73,50.4,2239150,CBRE
10/29/20,45.08,51.45,44.75,51.3,3808597,CBRE
10/28/20,43.69,44.45,43.17,43.92,1858884,CBRE
10/27/20,45.56,45.86,44.84,44.86,1762735,CBRE
10/26/20,45.99,46.1,44.98,45.58,1645594,CBRE
10/23/20,46.99,47.36,46.38,46.66,1263840,CBRE
10/22/20,46.86,47.37,46.61,46.73,1196751,CBRE
10/21/20,47.52,47.79,46.74,47.05,1102893,CBRE
10/20/20,48.03,48.94,47.86,47.9,1032204,CBRE
10/19/20,48.87,48.93,47.48,47.58,1150671,CBRE
10/16/20,48.99,49.24,47.8,48.61,1423457,CBRE
10/15/20,48.49,49.38,48.3357,49.04,1212114,CBRE
10/14/20,49.11,49.65,48.92,49.02,1036751,CBRE
10/13/20,49.88,50.1,49.01,49.05,894018,CBRE
10/12/20,50.26,50.41,49.135,50.31,1397608,CBRE
10/09/20,51.5,51.58,49.71,49.9,1857283,CBRE
10/08/20,49.21,51.0,49.05,50.99,1003377,CBRE
