Date, Open, High, Low, Close, Volume,ticker
12/24/20,152.88,154.29,152.58,154.0,521785,CCI
12/23/20,154.21,155.38,152.41,152.46,1977127,CCI
12/22/20,152.71,154.295,152.0,153.49,2248656,CCI
12/21/20,152.45,153.6,151.21,153.26,2423128,CCI
12/18/20,154.82,155.8,152.0866,153.81,5924479,CCI
12/17/20,156.28,157.5299,155.02,155.75,4831175,CCI
12/16/20,155.88,157.25,153.52,154.12,4286478,CCI
12/15/20,155.3,156.01,154.35,155.41,3089963,CCI
12/14/20,157.91,158.9,154.92,155.19,2711966,CCI
12/11/20,158.44,158.9,156.14,157.68,2702879,CCI
12/10/20,158.38,159.55,156.5,157.22,2148198,CCI
12/09/20,160.54,160.935,156.88,158.39,3029620,CCI
12/08/20,162.8,163.75,161.02,161.33,2404024,CCI
12/07/20,162.83,165.0,161.35,162.45,2032632,CCI
12/04/20,167.92,167.9483,163.03,163.5,2521287,CCI
12/03/20,166.2,168.5799,166.2,167.44,1861208,CCI
12/02/20,170.04,170.56,166.32,166.84,1494253,CCI
12/01/20,168.0,170.9,167.75,170.8,2891947,CCI
11/30/20,167.0,167.75,164.01,167.57,3208980,CCI
11/27/20,165.31,167.17,164.73,167.17,879727,CCI
11/25/20,164.58,166.5,163.51,164.96,1932661,CCI
11/24/20,167.8,168.265,164.01,164.25,2143929,CCI
11/23/20,167.5,167.89,165.09,166.36,2038936,CCI
11/20/20,168.11,168.84,166.25,166.97,1569842,CCI
11/19/20,170.33,170.34,167.17,168.09,2220211,CCI
11/18/20,166.29,172.13,165.95,170.65,3104414,CCI
11/17/20,165.1,166.89,164.5,166.34,2371723,CCI
11/16/20,169.27,169.42,164.5,165.42,2073461,CCI
11/13/20,167.51,168.37,165.64,168.01,1650627,CCI
11/12/20,164.32,167.13,164.005,166.95,1883718,CCI
11/11/20,161.74,167.29,160.97,164.64,1254039,CCI
11/10/20,161.78,162.075,157.67,160.42,2372514,CCI
11/09/20,167.17,169.42,161.45,161.78,2174088,CCI
11/06/20,163.41,165.28,162.11,164.07,877503,CCI
11/05/20,163.72,164.445,161.61,162.92,1213399,CCI
11/04/20,159.63,165.4529,159.56,162.13,1684449,CCI
11/03/20,160.79,162.4,159.14,160.35,1311511,CCI
11/02/20,157.45,160.81,156.93,159.48,1260660,CCI
10/30/20,156.64,157.59,154.08,156.2,1255995,CCI
10/29/20,158.81,159.61,156.22,157.71,1310745,CCI
10/28/20,158.5,160.08,156.5,156.85,1743447,CCI
10/27/20,160.19,162.35,160.12,160.61,1763707,CCI
10/26/20,157.7,160.43,156.67,159.92,1548074,CCI
10/23/20,156.39,158.99,155.0,158.47,1784076,CCI
10/22/20,162.64,163.3393,154.61,156.25,3377480,CCI
10/21/20,162.92,165.45,162.75,163.79,1434317,CCI
10/20/20,164.67,165.64,162.265,164.46,2082405,CCI
10/19/20,168.25,168.75,163.75,164.32,3165595,CCI
10/16/20,167.04,168.45,166.36,166.9,1171730,CCI
10/15/20,164.16,168.5,163.45,168.14,1046821,CCI
10/14/20,167.17,167.49,164.5,165.03,1463929,CCI
10/13/20,168.09,168.09,165.9409,166.8,1635520,CCI
10/12/20,168.23,168.5,166.52,168.23,1029684,CCI
10/09/20,166.6,167.63,164.88,167.36,1010392,CCI
10/08/20,165.75,169.31,165.34,165.78,1328956,CCI
10/07/20,166.2,166.5,164.18,164.92,1514438,CCI
10/06/20,168.75,168.75,164.44,165.09,2010009,CCI
10/05/20,168.62,169.0,165.28,168.66,1450245,CCI
10/02/20,166.91,169.3,166.1,168.62,2275694,CCI
10/01/20,166.75,168.3,164.93,168.01,1693312,CCI
09/30/20,164.8,167.0,164.35,166.5,2341666,CCI
09/29/20,163.21,164.5,162.3845,164.18,1552650,CCI
09/28/20,163.89,164.75,161.83,163.59,1843922,CCI
09/25/20,156.4,161.86,156.1238,161.71,1827149,CCI
09/24/20,156.53,159.26,155.65,157.4,2292170,CCI
09/23/20,158.6,158.99,155.01,155.62,2495533,CCI
09/22/20,157.1,160.89,157.05,159.98,2203050,CCI
09/21/20,159.01,159.495,156.07,157.58,2017461,CCI
09/18/20,162.23,162.62,158.92,159.68,3016580,CCI
09/17/20,164.51,165.545,161.39,162.65,1820005,CCI
09/16/20,164.94,167.79,164.1601,166.17,1599036,CCI
09/15/20,160.51,165.1,160.31,163.46,2093563,CCI
09/14/20,158.24,160.86,158.22,160.16,1390175,CCI
09/11/20,159.38,160.3,157.76,158.59,1267163,CCI
09/10/20,160.67,161.09,158.65,158.76,1892414,CCI
09/09/20,159.91,163.53,159.7401,161.29,1743065,CCI
09/08/20,159.81,161.44,157.62,158.5,2921466,CCI
09/04/20,161.28,162.27,157.0045,160.59,1943187,CCI
09/03/20,166.36,166.82,160.58,161.71,1749115,CCI
09/02/20,161.16,166.72,160.51,166.28,2362742,CCI
09/01/20,162.51,163.0411,160.36,162.1,1148576,CCI
08/31/20,163.11,164.03,162.53,163.25,1386395,CCI
08/28/20,163.3,164.04,161.7,163.79,1781196,CCI
08/27/20,161.5,163.61,161.38,163.42,1859113,CCI
08/26/20,160.0,161.42,158.89,160.97,1828217,CCI
08/25/20,161.06,161.6,159.69,160.69,1443925,CCI
08/24/20,163.1,163.1,159.0,161.01,1144689,CCI
08/21/20,163.5,163.62,161.43,163.17,1077754,CCI
08/20/20,160.0,163.75,160.0,162.88,1261531,CCI
08/19/20,167.13,167.41,162.28,162.64,1487118,CCI
08/18/20,165.73,168.21,165.3401,166.0,1071459,CCI
08/17/20,164.76,166.32,164.41,166.06,1182399,CCI
08/14/20,164.34,165.88,163.63,164.63,1435283,CCI
08/13/20,164.7,165.39,163.6,164.36,1309754,CCI
08/12/20,162.99,166.16,162.62,165.2,1098663,CCI
08/11/20,167.17,167.3,161.4,161.79,1865216,CCI
08/10/20,168.06,168.225,164.9201,166.18,2287487,CCI
08/07/20,163.91,169.36,163.8,168.19,1633515,CCI
08/06/20,164.01,165.29,163.43,163.87,1513690,CCI
08/05/20,166.37,166.5735,163.73,164.52,1714386,CCI
08/04/20,164.4,167.77,164.15,165.88,2300182,CCI
08/03/20,165.93,166.05,162.0,164.1,2800261,CCI
07/31/20,169.57,170.2,165.9,166.7,3308567,CCI
07/30/20,168.95,170.7,167.095,170.21,2780918,CCI
07/29/20,172.93,175.15,172.1,173.87,2469789,CCI
07/28/20,168.12,172.92,168.1,171.78,2070666,CCI
07/27/20,167.0,169.19,166.335,168.44,1603259,CCI
07/24/20,166.41,167.83,165.73,166.7,1498108,CCI
07/23/20,167.54,168.79,164.72,166.76,1730740,CCI
07/22/20,166.92,169.5055,166.51,168.06,1368464,CCI
07/21/20,171.5,171.5,166.675,167.53,2411659,CCI
07/20/20,177.28,177.28,170.09,170.16,3817799,CCI
07/17/20,166.74,170.15,165.64,168.96,1403367,CCI
07/16/20,166.96,168.02,164.6,165.74,1623947,CCI
07/15/20,171.14,171.6175,167.34,168.0,1797137,CCI
07/14/20,168.0,169.84,165.68,169.35,2534229,CCI
07/13/20,171.28,171.88,166.04,166.91,2245380,CCI
07/10/20,171.97,172.955,169.855,171.5,2070234,CCI
07/09/20,170.89,172.25,168.98,171.65,1435288,CCI
07/08/20,172.1,173.52,169.68,171.41,2282774,CCI
07/07/20,171.96,173.9506,171.2,171.51,1705150,CCI
