Date, Open, High, Low, Close, Volume,ticker
12/24/20,130.46,130.53,128.25,129.23,392930,CDW
12/23/20,131.41,132.585,129.67,129.85,782512,CDW
12/22/20,131.35,131.645,129.47,130.75,1207149,CDW
12/21/20,131.75,132.13,129.3,130.99,1153790,CDW
12/18/20,135.85,136.63,133.27,134.37,2098286,CDW
12/17/20,128.9069,135.38,128.9069,135.24,885874,CDW
12/16/20,132.71,133.185,131.774,132.26,570052,CDW
12/15/20,132.19,133.26,131.755,132.83,650051,CDW
12/14/20,131.57,134.11,130.75,131.73,937023,CDW
12/11/20,130.72,131.6106,128.82,130.7,689126,CDW
12/10/20,131.5,132.37,130.895,131.71,542639,CDW
12/09/20,133.0,133.46,131.11,131.95,687842,CDW
12/08/20,133.6,134.32,132.32,132.94,1203374,CDW
12/07/20,133.25,134.75,132.0,132.94,742443,CDW
12/04/20,131.55,134.38,131.35,133.5,925359,CDW
12/03/20,130.81,132.95,130.735,131.25,610855,CDW
12/02/20,131.97,132.28,130.61,131.21,587038,CDW
12/01/20,131.93,133.1,131.03,132.02,985769,CDW
11/30/20,131.5,131.5,129.06,130.49,1082054,CDW
11/27/20,132.11,132.42,131.08,132.23,357083,CDW
11/25/20,136.24,136.34,131.33,131.94,786789,CDW
11/24/20,131.855,137.67,131.665,136.82,1970328,CDW
11/23/20,132.26,132.69,130.23,131.22,1103111,CDW
11/20/20,132.45,133.6,131.92,131.95,783704,CDW
11/19/20,134.74,135.075,131.05,132.78,1418938,CDW
11/18/20,137.1,138.11,135.67,135.73,1480993,CDW
11/17/20,137.61,138.96,136.33,136.78,711413,CDW
11/16/20,139.31,140.82,138.57,139.08,677911,CDW
11/13/20,136.99,138.43,136.82,137.59,1199473,CDW
11/12/20,138.46,139.23,135.26,135.56,456458,CDW
11/11/20,138.32,139.335,136.87,138.7,582342,CDW
11/10/20,141.33,144.22,136.87,137.53,1310312,CDW
11/09/20,141.09,146.95,141.09,143.95,1568912,CDW
11/06/20,138.3,139.49,137.11,138.05,676298,CDW
11/05/20,135.22,139.75,135.11,138.18,1322187,CDW
11/04/20,132.15,135.95,130.09,133.85,993776,CDW
11/03/20,130.05,131.81,127.66,130.72,676921,CDW
11/02/20,125.17,129.46,123.215,126.45,1247647,CDW
10/30/20,119.94,123.1984,118.6071,122.6,1147024,CDW
10/29/20,117.28,122.09,117.02,120.95,733060,CDW
10/28/20,120.33,120.75,118.31,118.73,706867,CDW
10/27/20,125.35,126.2,123.12,123.28,620061,CDW
10/26/20,128.27,129.61,124.2201,125.67,426470,CDW
10/23/20,130.304,130.54,128.67,130.0,310924,CDW
10/22/20,128.52,129.83,127.32,129.44,337782,CDW
10/21/20,129.75,130.2987,128.09,128.84,468863,CDW
10/20/20,130.72,131.39,128.91,129.32,422356,CDW
10/19/20,130.21,132.25,128.12,128.86,482590,CDW
10/16/20,130.75,131.76,129.3,130.62,393909,CDW
10/15/20,127.58,130.16,127.0,129.8,473929,CDW
10/14/20,130.38,131.13,129.39,129.52,673178,CDW
10/13/20,130.53,131.215,129.685,129.93,688900,CDW
10/12/20,127.86,130.81,126.48,130.01,596325,CDW
10/09/20,127.25,127.83,125.62,125.99,506660,CDW
10/08/20,126.73,127.16,125.57,126.2,404348,CDW
10/07/20,124.68,126.24,124.3,125.93,497869,CDW
10/06/20,126.13,127.24,122.52,123.07,985929,CDW
10/05/20,124.35,126.43,124.06,125.88,653728,CDW
10/02/20,120.64,124.62,120.42,123.49,1128318,CDW
10/01/20,120.445,124.53,120.445,123.5,1000938,CDW
09/30/20,118.53,121.89,118.1,119.53,1013463,CDW
09/29/20,116.99,118.965,116.51,118.11,790063,CDW
09/28/20,114.44,116.72,113.11,116.5,1214966,CDW
09/25/20,110.25,112.86,109.67,112.74,688627,CDW
09/24/20,108.63,111.98,108.14,110.43,911084,CDW
09/23/20,111.01,112.13,108.01,109.21,946435,CDW
09/22/20,108.33,110.31,105.87,110.17,847664,CDW
09/21/20,110.89,111.47,108.49,108.81,1031921,CDW
09/18/20,115.0,115.26,112.17,112.82,1240261,CDW
09/17/20,112.07,114.48,111.76,114.23,908856,CDW
09/16/20,115.11,116.65,113.6412,113.91,894225,CDW
09/15/20,113.32,115.51,113.2,114.18,468891,CDW
09/14/20,112.36,114.815,111.86,113.15,765170,CDW
09/11/20,109.25,111.55,109.05,111.32,1073797,CDW
09/10/20,111.0,112.05,109.36,110.08,1083303,CDW
09/09/20,112.47,112.79,109.52,110.55,637934,CDW
09/08/20,112.14,114.16,111.59,111.72,1157197,CDW
09/04/20,113.74,115.42,111.54,114.25,1383562,CDW
09/03/20,117.01,117.53,111.3,112.17,919022,CDW
09/02/20,113.93,117.86,112.95,117.53,1080820,CDW
09/01/20,112.74,113.48,110.13,112.59,1097007,CDW
08/31/20,115.01,115.01,112.71,113.65,631394,CDW
08/28/20,115.09,115.84,113.76,115.34,578548,CDW
08/27/20,112.52,115.56,111.83,114.84,1177836,CDW
08/26/20,111.98,112.235,110.09,111.17,1026415,CDW
08/25/20,112.52,113.49,111.16,112.15,491916,CDW
08/24/20,111.69,113.39,111.35,112.29,540967,CDW
08/21/20,112.0,112.07,110.53,111.15,556490,CDW
08/20/20,111.31,113.14,111.03,112.32,630188,CDW
08/19/20,110.87,112.94,110.79,111.99,541041,CDW
08/18/20,113.68,114.33,110.77,110.98,750190,CDW
08/17/20,114.01,115.12,113.39,113.62,407914,CDW
08/14/20,113.59,113.8599,112.8125,113.52,533088,CDW
08/13/20,115.87,116.015,113.802,114.58,490761,CDW
08/12/20,118.5,118.5,116.28,116.61,855920,CDW
08/11/20,114.41,119.95,113.91,117.21,1123210,CDW
08/10/20,114.23,115.01,112.98,113.0,675875,CDW
08/07/20,113.74,114.85,112.85,114.77,678383,CDW
08/06/20,115.9,117.95,114.42,114.79,784415,CDW
08/05/20,121.93,121.93,115.46,116.75,1293249,CDW
08/04/20,116.96,119.83,116.695,119.52,996381,CDW
08/03/20,116.68,118.42,116.05,117.46,537427,CDW
07/31/20,115.32,116.4,113.55,116.25,769317,CDW
07/30/20,113.47,115.84,112.4,115.69,529231,CDW
07/29/20,113.76,116.01,113.36,115.64,541661,CDW
07/28/20,115.54,116.79,113.68,113.85,465151,CDW
07/27/20,115.28,116.54,114.26,116.3,761331,CDW
07/24/20,118.02,118.29,113.72,114.56,920663,CDW
07/23/20,119.28,121.48,118.28,118.79,473044,CDW
07/22/20,117.8,119.719,117.61,119.08,519165,CDW
07/21/20,117.67,119.72,116.22,117.0,880227,CDW
07/20/20,117.74,118.36,115.75,118.18,489689,CDW
07/17/20,117.16,119.62,116.55,118.51,560640,CDW
07/16/20,117.12,117.41,116.12799999999999,116.7,567080,CDW
07/15/20,115.74,118.27,114.92,117.7,660742,CDW
07/14/20,111.26,114.56,110.98,114.4,609929,CDW
07/13/20,115.11,115.12,112.46,112.58,780459,CDW
07/10/20,111.81,114.24,111.29,113.84,660454,CDW
07/09/20,113.62,114.005,110.19,112.51,723854,CDW
07/08/20,114.22,114.96,112.3,113.38,865239,CDW
07/07/20,116.87,118.03,113.71,114.06,883927,CDW
07/06/20,119.75,120.0,117.2,117.55,729494,CDW
07/02/20,116.78,118.7574,116.5,117.11,894057,CDW
07/01/20,116.03,117.91,115.16,115.53,880261,CDW
06/30/20,113.6,116.895,112.5,116.18,1006346,CDW
06/29/20,112.65,115.165,111.5,114.0,1912385,CDW
06/26/20,112.8,112.8,108.16,108.49,2005015,CDW
06/25/20,111.7,112.7799,109.7,112.44,733455,CDW
06/24/20,114.79,114.84,110.39,111.49,890534,CDW
06/23/20,117.99,117.99,115.52,115.95,1098359,CDW
06/22/20,115.99,116.58,114.64,116.19,856306,CDW
06/19/20,117.86,121.0,116.33,116.95,1421866,CDW
06/18/20,116.54,117.56,115.64,117.24,703153,CDW
06/17/20,119.99,120.43,116.64,117.18,782720,CDW
06/16/20,118.04,120.65,115.85,119.37,1239296,CDW
06/15/20,111.0,114.075,108.64,113.9,897460,CDW
06/12/20,113.9,116.02,111.03,114.1,923972,CDW
06/11/20,120.24,120.6,110.53,110.54,994659,CDW
06/10/20,124.11,124.52,121.48,121.71,911178,CDW
06/09/20,126.57,127.14,124.29,124.41,1328301,CDW
06/08/20,126.4,129.23,125.35,128.29,1658251,CDW
06/05/20,119.34,126.0,119.3167,125.34,2030927,CDW
06/04/20,114.4,117.0,114.01,116.75,1101849,CDW
06/03/20,113.51,115.75,113.51,115.09,648167,CDW
06/02/20,111.97,113.645,111.6,113.27,881787,CDW
06/01/20,110.26,113.2,109.58,111.91,607064,CDW
05/29/20,110.42,111.5,108.34,110.91,1210466,CDW
05/28/20,110.0,111.66,108.39299999999999,109.65,766941,CDW
05/27/20,109.61,110.38,107.11,110.34,821312,CDW
05/26/20,108.56,110.52,107.97,108.01,940339,CDW
05/22/20,106.23,106.7,105.41,105.74,624167,CDW
05/21/20,108.44,109.9602,107.01,107.21,754356,CDW
05/20/20,105.83,109.39,105.83,109.23,1008258,CDW
05/19/20,106.36,108.51,105.11,105.99,892162,CDW
05/18/20,102.48,107.18,101.49,106.51,1773221,CDW
05/15/20,98.01,98.81,96.91,97.81,1288035,CDW
05/14/20,95.27,99.825,93.75,99.7,1088056,CDW
05/13/20,100.99,102.77,96.5,98.01,958150,CDW
05/12/20,105.38,106.32,101.96,101.98,858884,CDW
05/11/20,106.97,107.31,104.97,104.97,771040,CDW
05/08/20,108.05,109.83,107.54,108.54,583978,CDW
05/07/20,106.47,108.89,104.97,106.67,896753,CDW
05/06/20,110.61,111.3,104.66,106.77,1328896,CDW
05/05/20,107.83,111.005,107.63,109.99,813407,CDW
05/04/20,106.22,108.34,104.46,108.19,724575,CDW
05/01/20,108.22,108.69,106.18,106.82,823500,CDW
04/30/20,110.93,111.19,108.95,110.8,1144421,CDW
04/29/20,109.17,112.14,108.43,111.29,988044,CDW
04/28/20,108.62,109.06,106.18,107.12,1016700,CDW
04/27/20,104.77,107.04,104.6,106.28,734745,CDW
04/24/20,103.05,105.71,102.335,104.77,1068841,CDW
04/23/20,102.51,104.34,100.7,100.86,900194,CDW
04/22/20,100.9,102.93,99.36,101.74,864722,CDW
04/21/20,102.7,103.75,98.12,98.845,1423229,CDW
04/20/20,106.47,107.11,104.51,105.6,1066760,CDW
04/17/20,106.14,109.03,105.64,108.82,965991,CDW
04/16/20,103.83,105.69,101.1,104.25,1092121,CDW
04/15/20,102.43,105.35,102.42,103.68,698035,CDW
04/14/20,104.66,107.24,104.66,106.75,967131,CDW
04/13/20,105.91,107.0,101.58,103.88,832935,CDW
04/09/20,104.2,107.805,103.28,106.26,1318873,CDW
04/08/20,99.53,103.29,98.5,102.27,1010486,CDW
04/07/20,101.52,102.96,98.51,98.63,1273093,CDW
04/06/20,92.64,96.29,91.3,95.84,1178070,CDW
04/03/20,87.44,89.77,85.88,86.89,1125076,CDW
04/02/20,86.63,89.29,85.78,87.97,1439868,CDW
04/01/20,89.32,92.6701,88.01,88.83,1531872,CDW
03/31/20,96.44,98.41,92.46,93.27,2153553,CDW
03/30/20,92.01,97.75,91.82,96.91,932545,CDW
03/27/20,95.86,97.8,92.52,93.75,1361920,CDW
03/26/20,91.5,101.9,90.01,101.06,1577432,CDW
03/25/20,92.66,96.79,90.41,91.91,1747034,CDW
03/24/20,90.24,95.475,88.8,93.83,2191156,CDW
03/23/20,78.38,87.0,73.39,85.6,2204178,CDW
03/20/20,89.66,91.03,79.33,79.56,1903544,CDW
03/19/20,84.06,89.45,78.7628,88.27,1873196,CDW
03/18/20,80.99,88.58,75.2,84.39,2121326,CDW
03/17/20,88.68,89.47,84.36,87.28,2124980,CDW
03/16/20,88.06,91.58,85.01,86.97,2461034,CDW
03/13/20,96.52,101.38,92.51,101.3,2292369,CDW
03/12/20,96.01,101.38,91.25,91.47,2756277,CDW
03/11/20,100.37,104.64,100.37,102.87,2892909,CDW
03/10/20,102.18,104.09,99.075,104.09,2157455,CDW
03/09/20,102.15,105.52,98.19,98.21,2728923,CDW
03/06/20,108.96,112.01,108.32,111.58,1572864,CDW
03/05/20,115.99,116.77,111.68,113.81,1623074,CDW
03/04/20,117.81,119.26,115.94,119.19,1301763,CDW
03/03/20,118.15,120.91,113.87,115.61,1656454,CDW
03/02/20,115.36,119.98,113.125,119.98,2087718,CDW
02/28/20,113.29,117.87,110.92,114.22,2984813,CDW
02/27/20,121.74,121.98,116.04,116.08,1969178,CDW
02/26/20,125.79,129.17,124.68,124.84,1319553,CDW
02/25/20,130.34,131.07,124.75,125.15,1291717,CDW
02/24/20,131.39,132.87,128.36,129.54,1441173,CDW
02/21/20,137.37,138.3,133.145,133.91,960149,CDW
02/20/20,136.53,138.44,135.76,138.24,667898,CDW
02/19/20,135.27,137.36,135.08,136.63,666976,CDW
02/18/20,137.47,137.655,133.33,134.87,1003198,CDW
02/14/20,137.94,138.96,137.055,138.29,1292565,CDW
02/13/20,135.3,137.31,134.8853,137.28,1034088,CDW
02/12/20,136.0,137.56,135.69,136.59,1028507,CDW
02/11/20,134.31,136.18,133.33,135.97,1228320,CDW
02/10/20,132.71,134.07,132.5,133.99,920042,CDW
02/07/20,134.41,134.49,131.17,132.66,1354577,CDW
02/06/20,134.51,138.45,133.68,134.64,1186718,CDW
02/05/20,137.22,137.4896,134.89,136.04,1124335,CDW
02/04/20,134.47,136.2406,133.9926,136.15,1068774,CDW
02/03/20,130.74,133.76,130.54,132.89,1618159,CDW
01/31/20,133.39,133.72,129.92,130.45,1173061,CDW
01/30/20,133.24,134.715,132.7307,133.83,975104,CDW
01/29/20,135.9,136.47,134.34,134.86,746821,CDW
01/28/20,134.66,135.73,133.91,135.46,1180933,CDW
01/27/20,135.48,136.05,133.76,133.87,886992,CDW
01/24/20,139.04,139.5,137.15,137.92,856913,CDW
01/23/20,136.58,138.85,135.47,138.73,1175405,CDW
01/22/20,137.18,138.25,136.35,136.58,1131860,CDW
01/21/20,136.14,138.12,135.83,136.08,1619590,CDW
01/17/20,140.89,141.62,136.08,136.85,2357027,CDW
01/16/20,145.48,146.09,143.58,144.2,834265,CDW
01/15/20,143.89,145.4,143.44,144.6,791263,CDW
01/14/20,143.35,145.06,142.795,143.96,863495,CDW
01/13/20,142.76,143.72,141.86,143.35,1364527,CDW
01/10/20,142.42,143.93,141.23,142.36,668427,CDW
01/09/20,141.28,143.0,141.05,141.97,943883,CDW
01/08/20,141.01,141.84,140.32,140.71,1034231,CDW
01/07/20,141.19,141.78,140.655,140.92,801407,CDW
01/06/20,141.0,141.65,140.295,141.08,1014886,CDW
01/03/20,141.99,143.44,141.81,142.15,883159,CDW
01/02/20,144.49,144.49,141.775,143.88,1287095,CDW
12/31/19,142.21,143.155,141.94,142.84,547605,CDW
12/30/19,143.87,143.9,142.1,142.78,505024,CDW
12/27/19,144.78,144.95,143.52,143.96,420354,CDW
12/26/19,143.06,144.73,143.0,144.63,469763,CDW
12/24/19,143.07,143.45,142.55,142.97,292606,CDW
12/23/19,144.0,144.085,141.96,142.87,1208920,CDW
