Date, Open, High, Low, Close, Volume,ticker
12/24/20,128.81,130.4,128.49,129.85,195740,CE
12/23/20,130.98,132.11,129.36,129.39,574067,CE
12/22/20,131.23,131.23,129.99,130.21,557791,CE
12/21/20,129.59,130.94,128.77,130.76,524585,CE
12/18/20,130.75,132.25,129.59,131.76,1946739,CE
12/17/20,131.15,131.63,129.53,130.96,757545,CE
12/16/20,131.62,132.23,129.79,130.02,664833,CE
12/15/20,130.51,131.34,128.975,131.01,703105,CE
12/14/20,132.33,133.19,128.89,128.99,797958,CE
12/11/20,129.94,131.23,128.535,131.0,846198,CE
12/10/20,130.28,131.47,129.59,130.97,1190137,CE
12/09/20,131.69,132.63,129.23,130.55,1038878,CE
12/08/20,129.2,130.71,128.99,130.55,525590,CE
12/07/20,132.19,132.56,129.55,129.78,710156,CE
12/04/20,130.7,133.545,130.515,132.64,1634145,CE
12/03/20,131.13,131.49,129.27,129.7,847785,CE
12/02/20,130.01,131.34,128.86,130.65,1153129,CE
12/01/20,131.79,133.18,129.965,130.32,993803,CE
11/30/20,131.9,132.88,129.09,129.33,1864354,CE
11/27/20,133.84,134.18,132.84,133.68,429644,CE
11/25/20,136.48,136.48,132.91,133.01,938331,CE
11/24/20,136.46,138.31,135.86,137.44,976037,CE
11/23/20,133.26,135.34,133.26,134.39,688876,CE
11/20/20,133.09,134.44,131.53,131.91,1117014,CE
11/19/20,131.93,134.36,129.0,133.55,1074545,CE
11/18/20,132.91,135.74,131.93,133.21,1227990,CE
11/17/20,131.14,132.53,129.7078,132.41,933355,CE
11/16/20,130.43,132.96,130.175,132.81,885194,CE
11/13/20,125.38,128.52,125.04,128.41,855962,CE
11/12/20,127.26,128.0,123.27,124.42,819517,CE
11/11/20,127.99,128.88,126.51,128.2,1089781,CE
11/10/20,126.51,129.87,126.445,127.88,987665,CE
11/09/20,127.1,133.95,124.56,126.25,1012202,CE
11/06/20,120.51,121.34,119.15,119.69,619810,CE
