Date, Open, High, Low, Close, Volume,ticker
12/24/20,36.71,36.889,36.39,36.81,255840,CF
12/23/20,36.51,37.085,36.3,36.77,1263779,CF
12/22/20,37.61,37.61,36.21,36.22,1724063,CF
12/21/20,36.89,37.645,36.66,37.54,1692328,CF
12/18/20,37.49,37.72,36.97,37.64,4424640,CF
12/17/20,38.12,38.16,37.445,37.54,1855685,CF
12/16/20,38.55,38.55,37.07,37.78,2179427,CF
12/15/20,39.4,39.41,38.02,38.35,2553922,CF
12/14/20,39.66,40.06,38.78,38.82,2478015,CF
12/11/20,38.66,39.46,38.62,39.37,1696742,CF
12/10/20,38.59,39.34,38.55,39.11,1793838,CF
12/09/20,38.91,39.42,38.55,39.06,1778657,CF
12/08/20,37.95,38.71,37.9,38.52,1624467,CF
12/07/20,39.26,39.37,38.0,38.27,1981148,CF
12/04/20,38.39,39.9,38.2,39.57,2861617,CF
12/03/20,38.08,38.66,37.82,38.13,2267335,CF
12/02/20,37.33,38.25,37.25,37.85,2798832,CF
12/01/20,37.9,38.15,37.385,37.5,2424358,CF
11/30/20,38.39,38.44,37.075,37.3,3320325,CF
11/27/20,38.56,39.41,38.28,38.77,2427034,CF
11/25/20,38.24,38.705,37.32,38.17,3442505,CF
11/24/20,36.23,38.77,36.23,38.65,6318814,CF
11/23/20,34.03,36.09,34.03,35.82,4581338,CF
11/20/20,32.32,33.67,32.22,33.5,2933410,CF
11/19/20,32.5,32.695,31.89,32.15,2743854,CF
11/18/20,32.5,33.28,32.28,32.45,3256720,CF
11/17/20,32.11,32.59,31.72,32.22,3007916,CF
11/16/20,31.8,32.54,31.15,32.4,4326993,CF
11/13/20,30.21,30.945,30.21,30.89,2731953,CF
11/12/20,30.17,30.49,29.73,30.14,2638714,CF
11/11/20,30.4,31.5,30.355,30.55,3968691,CF
11/10/20,29.33,30.36,28.88,30.11,3732562,CF
11/09/20,29.12,30.51,28.37,28.96,3954345,CF
11/06/20,27.36,28.29,27.06,27.33,2970994,CF
11/05/20,25.96,28.02,25.96,27.34,3778334,CF
11/04/20,27.18,27.24,26.05,26.66,1953147,CF
11/03/20,27.97,28.03,26.68,27.02,3184352,CF
