Date, Open, High, Low, Close, Volume,ticker
12/24/20,35.5,35.5,34.59,35.12,1333688,CFG
12/23/20,34.61,35.57,34.57,35.36,2426702,CFG
12/22/20,35.0,35.15,34.24,34.24,2904514,CFG
12/21/20,34.49,34.99,33.87,34.76,4625721,CFG
12/18/20,34.78,34.97,33.885,34.21,7189460,CFG
12/17/20,35.15,35.3119,34.52,34.78,3559927,CFG
12/16/20,35.39,35.48,34.93,35.38,2612096,CFG
12/15/20,35.2,35.5,34.62,35.29,2861956,CFG
12/14/20,36.17,36.34,34.57,34.62,3481661,CFG
12/11/20,35.4,35.68,34.955,35.37,2481027,CFG
12/10/20,35.25,36.13,35.09,36.0,3055725,CFG
12/09/20,36.04,36.55,35.69,35.81,3330670,CFG
12/08/20,34.93,35.79,34.85,35.59,3466520,CFG
12/07/20,35.09,35.41,34.58,35.31,3950461,CFG
12/04/20,35.07,35.56,34.815,35.43,3605804,CFG
12/03/20,34.36,34.925,33.905,34.59,3678987,CFG
12/02/20,33.46,34.63,33.33,34.36,3683150,CFG
12/01/20,33.71,34.075,33.43,33.62,3874969,CFG
11/30/20,33.9,34.27,32.5848,32.66,5330363,CFG
11/27/20,34.55,34.765,33.87,34.14,1556615,CFG
11/25/20,34.42,34.83,34.01,34.7,2792414,CFG
11/24/20,34.13,35.195,34.1,35.06,3895312,CFG
11/23/20,33.0,33.41,32.69,33.25,2417029,CFG
11/20/20,32.39,32.5765,31.835,32.28,3817383,CFG
11/19/20,32.07,32.87,31.77,32.81,2878404,CFG
11/18/20,33.16,33.6,32.5,32.51,2744898,CFG
11/17/20,32.44,33.07,31.745,33.07,3363793,CFG
11/16/20,33.25,33.97,32.54,33.04,3892259,CFG
11/13/20,31.16,32.0,31.07,31.75,3499671,CFG
11/12/20,30.83,31.3,30.09,30.68,4376821,CFG
11/11/20,32.9,32.9,31.42,31.68,4024377,CFG
11/10/20,32.46,32.975,31.87,32.8,5545163,CFG
11/09/20,30.6,32.97,30.53,32.33,10508670,CFG
11/06/20,29.09,29.34,27.49,27.71,4255962,CFG
11/05/20,26.92,29.235,26.91,28.91,8868594,CFG
11/04/20,27.98,28.01,26.44,26.72,5861330,CFG
11/03/20,28.69,29.22,28.51,29.01,3596277,CFG
11/02/20,27.61,28.07,27.08,28.03,3771198,CFG
10/30/20,26.64,27.26,26.31,27.25,3404180,CFG
10/29/20,25.8,26.96,25.41,26.71,4503240,CFG
10/28/20,26.03,26.519000000000002,25.81,25.88,3804654,CFG
10/27/20,27.75,28.07,26.64,26.66,3508450,CFG
10/26/20,28.8,28.91,27.99,28.36,4478551,CFG
10/23/20,29.1,29.37,28.43,29.13,4393874,CFG
10/22/20,27.64,28.98,27.42,28.86,4311479,CFG
10/21/20,27.41,27.64,27.19,27.55,5051332,CFG
10/20/20,27.11,28.04,26.99,27.62,5146431,CFG
10/19/20,26.92,27.075,26.5,26.64,4454623,CFG
10/16/20,27.0,27.07,26.07,26.61,9017567,CFG
10/15/20,27.24,28.055,27.15,27.9,9333642,CFG
10/14/20,28.18,28.56,27.54,27.58,5018913,CFG
10/13/20,28.44,28.5,27.57,28.02,5851554,CFG
10/12/20,28.0,28.51,27.82,28.47,3358337,CFG
10/09/20,28.75,28.87,27.87,27.96,4148787,CFG
10/08/20,28.41,28.63,27.96,28.56,2483240,CFG
10/07/20,27.63,28.46,27.59,28.12,2964844,CFG
10/06/20,28.0,28.48,27.02,27.13,4766516,CFG
10/05/20,26.52,27.5,26.45,27.48,4597229,CFG
10/02/20,24.9,26.36,24.8,26.21,3348779,CFG
10/01/20,25.46,25.71,25.14,25.43,3432262,CFG
09/30/20,24.92,25.72,24.9,25.28,4933131,CFG
09/29/20,25.22,25.36,24.49,24.78,2884531,CFG
09/28/20,24.96,25.54,24.91,25.34,4067728,CFG
09/25/20,23.58,24.515,23.54,24.43,3455203,CFG
09/24/20,23.95,24.53,23.46,23.83,3597323,CFG
09/23/20,24.72,25.3618,23.92,23.95,4782431,CFG
09/22/20,25.79,25.88,24.3,24.51,8540780,CFG
09/21/20,26.31,26.7201,25.67,25.83,4990125,CFG
09/18/20,27.11,27.51,26.975,27.16,8947206,CFG
09/17/20,27.07,27.82,26.915,27.49,7721537,CFG
09/16/20,26.76,28.18,26.585,27.62,7296525,CFG
09/15/20,27.96,28.0,26.68,26.69,6309790,CFG
09/14/20,27.41,28.1,27.28,27.99,14720210,CFG
09/11/20,26.7,27.16,26.35,27.11,7692117,CFG
09/10/20,27.42,28.0687,26.52,26.72,15213660,CFG
09/09/20,26.83,27.41,26.49,27.13,8606414,CFG
09/08/20,26.78,27.06,26.22,26.62,10854130,CFG
09/04/20,27.46,27.79,26.58,27.36,5626648,CFG
09/03/20,27.0,28.03,26.51,26.76,6917105,CFG
09/02/20,26.11,26.99,25.9,26.79,5926504,CFG
09/01/20,25.59,26.51,25.53,26.17,6890977,CFG
08/31/20,26.16,26.19,25.82,25.87,6579525,CFG
08/28/20,26.26,26.34,25.98,26.29,3175192,CFG
08/27/20,25.42,26.23,25.2,26.01,4418316,CFG
08/26/20,25.46,25.705,25.28,25.36,7896363,CFG
08/25/20,25.71,25.89,25.1,25.54,4333651,CFG
08/24/20,24.3,25.23,24.15,25.23,2856907,CFG
08/21/20,24.3,24.6,24.15,24.19,3166316,CFG
08/20/20,24.44,24.55,24.09,24.3,2685646,CFG
08/19/20,24.71,25.3,24.58,24.8,3777359,CFG
