Date, Open, High, Low, Close, Volume,ticker
12/24/20,86.78,87.29,86.39,86.86,281895,CHD
12/23/20,86.7,87.39,86.6658,86.94,681864,CHD
12/22/20,86.2,86.91,85.79,86.56,1122832,CHD
12/21/20,87.22,87.71,86.0,86.54,1356236,CHD
12/18/20,87.26,88.28,86.7,88.15,2454504,CHD
12/17/20,87.06,87.86,86.81,87.21,963887,CHD
12/16/20,86.39,87.64,86.27,86.67,923446,CHD
12/15/20,86.38,87.19,85.96,86.16,1377632,CHD
12/14/20,85.98,86.84,85.76,86.06,1049352,CHD
12/11/20,85.37,86.25,85.2,85.85,1226712,CHD
12/10/20,86.69,87.2,85.05,85.33,1222620,CHD
12/09/20,87.13,87.5,86.05,86.44,1158002,CHD
12/08/20,86.26,87.41,86.0,87.09,1499870,CHD
12/07/20,86.25,87.4729,86.18,86.76,1367909,CHD
12/04/20,86.35,87.27,85.83,86.34,1109320,CHD
12/03/20,85.95,86.91,85.58,86.59,1148363,CHD
12/02/20,87.77,87.94,85.08,86.26,1311117,CHD
12/01/20,88.37,88.46,86.6101,87.84,2374555,CHD
11/30/20,86.21,87.84,85.56,87.77,2803094,CHD
11/27/20,85.93,86.33,85.12,86.27,747876,CHD
11/25/20,84.31,86.1,84.15799999999999,85.58,1442515,CHD
11/24/20,85.43,85.9199,83.43,83.65,2600598,CHD
11/23/20,85.62,86.35,84.77,85.27,1031718,CHD
11/20/20,86.48,87.18,85.62,85.96,1178361,CHD
11/19/20,85.91,87.32,85.83,86.2,1110838,CHD
11/18/20,87.25,87.63,85.99,86.0,1927372,CHD
11/17/20,87.47,88.2834,87.0,87.21,1356349,CHD
11/16/20,87.21,88.03,86.06,87.97,1145373,CHD
11/13/20,87.42,87.96,86.48,87.38,1456966,CHD
11/12/20,88.09,88.83,86.63,87.5,2689093,CHD
11/11/20,87.3,88.2,86.91,87.41,3891383,CHD
11/10/20,84.57,86.98,84.24,86.32,2350536,CHD
11/09/20,91.66,91.86,84.78,84.83,2914793,CHD
