Date, Open, High, Low, Close, Volume,ticker
12/24/20,94.72,95.0,93.92,94.66,405830,CHRW
12/23/20,94.19,95.2,93.26,93.79,925516,CHRW
12/22/20,94.13,94.99,93.12,94.39,1028332,CHRW
12/21/20,91.95,94.42,91.22,93.48,946908,CHRW
12/18/20,91.98,92.94,91.23,92.6,2250799,CHRW
12/17/20,91.94,92.84,91.35,92.29,996933,CHRW
12/16/20,90.65,91.87,90.45,91.44,798121,CHRW
12/15/20,92.02,92.86,90.21,90.25,1450720,CHRW
12/14/20,94.08,94.35,91.34,91.78,1145013,CHRW
12/11/20,92.63,93.66,92.21,93.17,875591,CHRW
12/10/20,93.99,94.93,92.38,92.72,1110243,CHRW
12/09/20,94.31,95.14,93.95,95.08,1135754,CHRW
12/08/20,93.05,94.66,92.96,94.28,826573,CHRW
12/07/20,92.85,93.26,92.53,93.22,655977,CHRW
12/04/20,92.66,93.35,92.01,92.93,965567,CHRW
12/03/20,92.11,93.53,92.11,92.53,805795,CHRW
12/02/20,93.56,93.815,91.25,92.3,951562,CHRW
12/01/20,94.02,95.4,93.56,93.83,1716062,CHRW
11/30/20,93.04,94.04,92.63,93.97,2328725,CHRW
11/27/20,92.84,93.25,91.8,92.72,682582,CHRW
11/25/20,94.01,94.205,92.79,93.03,1021272,CHRW
11/24/20,92.87,95.06,92.17,94.42,1151263,CHRW
11/23/20,92.4,93.52,91.185,92.17,1211263,CHRW
11/20/20,94.69,94.86,91.97,92.59,1271990,CHRW
11/19/20,92.4,94.02,91.37,93.77,1207584,CHRW
11/18/20,93.22,93.97,92.24,92.88,2039504,CHRW
11/17/20,92.81,93.96,91.3,93.55,881496,CHRW
11/16/20,93.15,93.9899,91.67,92.92,968175,CHRW
11/13/20,91.19,92.62,91.18,91.97,836654,CHRW
11/12/20,93.46,93.67,89.81,90.54,1359233,CHRW
11/11/20,93.8,94.545,91.99,93.33,1170394,CHRW
11/10/20,93.45,94.72,92.5,93.89,1404108,CHRW
11/09/20,95.23,95.99,91.4845,93.92,2417473,CHRW
11/06/20,88.84,90.97,88.03,90.62,1362120,CHRW
11/05/20,89.68,89.93,87.97,88.8,1399196,CHRW
11/04/20,89.13,90.76,88.01,88.11,1173363,CHRW
11/03/20,88.5,89.6,87.53,89.22,1352306,CHRW
11/02/20,89.97,90.04,86.78,87.34,1800183,CHRW
10/30/20,89.62,90.0,86.8,88.43,2411403,CHRW
10/29/20,88.01,91.37,88.0,90.08,2031656,CHRW
10/28/20,94.43,95.03,88.35,88.58,4192738,CHRW
10/27/20,99.41,101.6075,99.255,100.03,1626531,CHRW
10/26/20,100.32,100.43,98.09,99.59,1543958,CHRW
10/23/20,99.8,100.74,99.17,100.54,945222,CHRW
10/22/20,100.62,101.035,99.0,99.58,1144698,CHRW
10/21/20,100.44,102.47,99.97,100.77,1251849,CHRW
10/20/20,100.67,102.1,99.97,100.51,1019819,CHRW
10/19/20,100.26,101.43,99.49,100.0,1357216,CHRW
10/16/20,103.9,104.32,100.04,100.23,1926421,CHRW
10/15/20,104.21,105.21,103.54,105.12,880050,CHRW
10/14/20,105.14,105.53,104.19,104.82,978009,CHRW
10/13/20,104.96,105.86,104.48,104.61,838185,CHRW
10/12/20,106.02,106.29,104.48,105.02,952067,CHRW
10/09/20,106.6,106.61,104.82,105.45,1019615,CHRW
10/08/20,106.48,106.75,105.61,106.14,848260,CHRW
10/07/20,104.66,106.47,104.205,106.16,1261006,CHRW
10/06/20,103.4,104.27,102.25,103.59,1112592,CHRW
10/05/20,102.21,104.34,101.88,104.0,1271823,CHRW
10/02/20,100.13,101.69,99.0,100.87,1241137,CHRW
10/01/20,103.09,103.71,100.84,101.22,936376,CHRW
09/30/20,104.11,105.6,101.73,102.19,1514660,CHRW
09/29/20,103.61,104.95,102.95,103.7,1202454,CHRW
09/28/20,103.5,104.535,102.68,103.25,1043791,CHRW
09/25/20,101.19,102.83,100.97,102.36,848326,CHRW
09/24/20,100.5,102.71,99.31,101.8,1113055,CHRW
09/23/20,102.43,103.49,101.07,101.17,1421969,CHRW
09/22/20,102.61,103.57,101.92,102.56,1260544,CHRW
09/21/20,102.37,102.71,100.29,101.95,1266842,CHRW
09/18/20,103.25,104.84,102.52,103.13,2272451,CHRW
09/17/20,102.14,104.48,101.95,103.57,1267475,CHRW
09/16/20,104.94,105.71,103.34,103.49,2527066,CHRW
09/15/20,101.19,104.87,100.92,104.06,2748814,CHRW
09/14/20,99.18,101.27,99.0,100.71,2157743,CHRW
09/11/20,98.62,99.54,97.79,98.66,1259597,CHRW
09/10/20,99.48,101.065,98.39,98.55,1620478,CHRW
09/09/20,96.45,99.53,96.45,99.01,1122823,CHRW
09/08/20,97.33,97.33,95.69,95.72,1152197,CHRW
09/04/20,98.01,98.29,96.23,97.9,1263035,CHRW
09/03/20,99.0,99.0,96.72,97.61,1107062,CHRW
09/02/20,99.31,99.93,98.83,99.67,1273281,CHRW
09/01/20,98.23,99.34,97.59,99.22,930900,CHRW
08/31/20,98.92,99.67,97.8,98.3,1357484,CHRW
08/28/20,98.31,98.88,97.6,98.73,2159071,CHRW
08/27/20,97.91,98.98,97.15,98.26,1451890,CHRW
08/26/20,96.27,97.5,95.95,97.28,882242,CHRW
08/25/20,97.33,97.75,96.21,96.55,1008769,CHRW
08/24/20,96.95,97.19,95.75,96.98,1051375,CHRW
08/21/20,96.17,96.85,95.68,96.49,1225164,CHRW
08/20/20,95.2,96.635,94.92,96.53,1089639,CHRW
08/19/20,95.2,95.89,94.67,95.43,785072,CHRW
08/18/20,95.26,95.65,94.6,94.96,766152,CHRW
08/17/20,93.73,95.93,93.53,95.28,982075,CHRW
08/14/20,95.62,96.01,94.69,95.08,910421,CHRW
08/13/20,95.42,95.8,94.46,95.12,1235171,CHRW
08/12/20,96.17,96.86,95.51,95.68,1267238,CHRW
08/11/20,97.0,97.49,95.11,95.3,980352,CHRW
08/10/20,96.35,96.98,95.72,96.64,977372,CHRW
08/07/20,95.05,96.67,94.01,95.79,1270066,CHRW
08/06/20,94.63,95.47,94.2,95.16,691144,CHRW
08/05/20,96.24,96.485,94.42,95.51,1364007,CHRW
