Date, Open, High, Low, Close, Volume,ticker
12/24/20,646.6,657.33,646.6,656.49,1127336.0,CHTR
12/23/20,642.87,652.58,640.03,647.44,1590762.0,CHTR
12/22/20,654.02,654.795,638.76,641.1,1269826.0,CHTR
12/21/20,645.26,658.38,641.79,654.69,893309.0,CHTR
12/18/20,656.94,658.35,646.52,652.0,2253862.0,CHTR
12/17/20,645.11,657.57,644.95,653.98,1904688.0,CHTR
12/16/20,646.28,649.64,634.47,642.43,1283866.0,CHTR
12/15/20,653.08,656.5,646.07,646.28,1034695.0,CHTR
12/14/20,654.77,656.24,649.11,649.67,1284618.0,CHTR
12/11/20,654.06,655.9799,648.015,651.76,988967.0,CHTR
12/10/20,644.56,659.58,642.79,658.04,880070.0,CHTR
12/09/20,660.45,665.96,643.53,644.08,1813079.0,CHTR
12/08/20,676.48,681.71,661.81,663.37,1020907.0,CHTR
12/07/20,667.36,680.76,666.98,680.76,881004.0,CHTR
12/04/20,670.58,674.05,667.08,670.74,685901.0,CHTR
12/03/20,666.66,675.74,656.56,670.43,822192.0,CHTR
12/02/20,659.79,669.9,659.14,667.17,820628.0,CHTR
12/01/20,656.7,666.59,652.805,662.25,1177077.0,CHTR
11/30/20,646.22,655.34,643.04,651.99,1178725.0,CHTR
11/27/20,647.59,650.88,642.05,642.8,569393.0,CHTR
11/25/20,652.26,653.51,644.87,651.4,681067.0,CHTR
11/24/20,641.7,654.79,633.66,650.44,1074566.0,CHTR
11/23/20,657.87,659.56,642.7,645.04,1518485.0,CHTR
11/20/20,651.31,663.07,647.5,655.41,1163745.0,CHTR
11/19/20,639.86,655.73,636.69,650.54,1288487.0,CHTR
11/18/20,645.14,651.17,635.52,642.44,1655389.0,CHTR
11/17/20,637.32,643.57,632.53,641.51,621495.0,CHTR
11/16/20,642.84,647.51,639.95,641.41,1066334.0,CHTR
11/13/20,638.23,648.82,638.11,647.19,757477.0,CHTR
11/12/20,639.33,645.06,635.4,637.96,650047.0,CHTR
11/11/20,628.8,640.52,628.8,636.92,709293.0,CHTR
11/10/20,603.45,631.64,603.45,626.88,1054661.0,CHTR
11/09/20,659.79,659.79,612.68,613.2,1632778.0,CHTR
11/06/20,647.68,649.92,640.445,644.49,692993.0,CHTR
11/05/20,643.05,650.43,638.11,647.36,1007738.0,CHTR
11/04/20,610.9,645.7,608.27,634.47,1940441.0,CHTR
11/03/20,596.0,602.59,591.73,591.99,1172910.0,CHTR
11/02/20,605.1,610.36,578.76,588.43,1268368.0,CHTR
10/30/20,580.55,610.66,580.55,603.82,2456342.0,CHTR
10/29/20,573.33,583.05,573.1,576.0,1420483.0,CHTR
10/28/20,574.97,585.41,572.455,572.58,983061.0,CHTR
10/27/20,585.0,590.3,580.5,583.65,897341.0,CHTR
10/26/20,588.79,595.83,581.42,582.13,1119575.0,CHTR
10/23/20,603.07,603.07,588.41,593.28,842164.0,CHTR
10/22/20,605.03,605.03,596.435,599.91,1001833.0,CHTR
10/21/20,604.31,612.33,601.505,605.33,727176.0,CHTR
10/20/20,622.74,622.74,606.6218,608.26,1066145.0,CHTR
10/19/20,635.67,640.0,616.6955,617.66,1080619.0,CHTR
10/16/20,638.87,646.985,633.52,633.92,772844.0,CHTR
10/15/20,631.87,640.3,630.5,636.89,825854.0,CHTR
10/14/20,651.67,653.635,638.01,638.62,840748.0,CHTR
10/13/20,653.61,656.89,646.49,649.95,963957.0,CHTR
10/12/20,643.57,663.7,639.24,651.72,1307412.0,CHTR
10/09/20,631.88,639.34,631.64,635.64,625936.0,CHTR
10/08/20,626.81,633.689,622.235,629.08,583760.0,CHTR
10/07/20,623.23,629.73,622.99,623.73,802651.0,CHTR
10/06/20,632.36,638.06,619.1,620.89,1104605.0,CHTR
10/05/20,623.35,639.27,621.63,633.98,807857.0,CHTR
10/02/20,626.54,633.17,617.285,620.23,1046520.0,CHTR
10/01/20,627.31,640.0,627.31,635.11,1386790.0,CHTR
09/30/20,629.81,632.06,620.68,624.34,1148721.0,CHTR
09/29/20,626.85,635.8262,625.02,626.5,817367.0,CHTR
09/28/20,625.16,633.64,619.64,628.23,1035287.0,CHTR
09/25/20,609.89,617.4,606.11,614.23,1072822.0,CHTR
09/24/20,614.46,621.28,609.54,611.45,931374.0,CHTR
09/23/20,632.97,633.99,615.1,616.35,1017419.0,CHTR
09/22/20,612.45,634.34,612.45,633.05,1216662.0,CHTR
09/21/20,621.97,625.92,606.91,614.34,1313952.0,CHTR
09/18/20,622.08,628.3,611.79,625.25,1969005.0,CHTR
09/17/20,618.23,624.175,609.665,620.31,1341250.0,CHTR
09/16/20,626.75,635.855,626.21,630.07,1179311.0,CHTR
09/15/20,610.72,627.435,610.22,622.55,830391.0,CHTR
09/14/20,608.03,613.59,603.665,609.7,754985.0,CHTR
09/11/20,606.59,608.565,597.8,601.52,860455.0,CHTR
09/10/20,611.38,622.23,603.31,604.06,1061108.0,CHTR
09/09/20,598.64,617.8,598.4,613.28,905855.0,CHTR
09/08/20,595.73,604.34,591.6,596.5,1209247.0,CHTR
09/04/20,610.06,611.39,592.09,604.02,1082010.0,CHTR
09/03/20,624.04,629.52,603.03,608.1,1016355.0,CHTR
09/02/20,616.96,626.62,614.05,622.45,741572.0,CHTR
09/01/20,614.04,620.2,611.0,617.24,872266.0,CHTR
08/31/20,614.84,620.2333,613.63,615.61,811741.0,CHTR
08/28/20,613.01,616.57,609.35,615.64,632507.0,CHTR
08/27/20,619.05,621.04,612.585,614.29,881397.0,CHTR
08/26/20,606.82,618.49,605.28,614.56,907152.0,CHTR
08/25/20,619.51,620.19,604.41,609.75,1112034.0,CHTR
08/24/20,613.39,618.03,611.14,612.53,1087117.0,CHTR
08/21/20,610.98,614.8,606.61,613.96,677908.0,CHTR
08/20/20,607.94,614.37,607.94,612.54,630484.0,CHTR
08/19/20,612.46,616.07,607.8,611.66,961614.0,CHTR
08/18/20,608.23,612.935,606.51,610.69,700355.0,CHTR
08/17/20,608.85,610.2,601.1,604.97,650239.0,CHTR
08/14/20,604.55,610.95,602.88,604.99,664652.0,CHTR
08/13/20,595.46,609.31,595.46,604.22,854040.0,CHTR
08/12/20,590.99,607.0,590.99,598.74,1033922.0,CHTR
08/11/20,604.42,604.42,588.97,590.48,862871.0,CHTR
08/10/20,598.65,606.0,598.1,602.34,789454.0,CHTR
08/07/20,603.39,611.47,598.25,601.87,810938.0,CHTR
08/06/20,595.35,604.12,594.685,602.14,716138.0,CHTR
08/05/20,598.75,603.6,597.225,598.26,682006.0,CHTR
08/04/20,580.0,601.76,579.0,600.01,951959.0,CHTR
08/03/20,585.01,593.9,581.14,589.7,1013506.0,CHTR
07/31/20,594.31,594.31,554.26,580.0,1639474.0,CHTR
07/30/20,559.53,568.51,558.175,563.44,771535.0,CHTR
07/29/20,564.21,569.68,560.6,566.42,644347.0,CHTR
07/28/20,558.8,566.455,557.02,561.41,522560.0,CHTR
07/27/20,562.54,563.095,555.27,559.91,733871.0,CHTR
07/24/20,558.62,562.97,554.36,561.72,587742.0,CHTR
07/23/20,567.37,569.145,556.19,560.42,540717.0,CHTR
07/22/20,566.96,568.2,561.299,565.12,540471.0,CHTR
07/21/20,567.96,570.91,563.395,564.68,719603.0,CHTR
07/20/20,564.66,571.6,562.58,565.51,728034.0,CHTR
07/17/20,562.45,569.87,560.01,564.66,1420681.0,CHTR
07/16/20,552.82,558.1,547.78,558.03,1061193.0,CHTR
07/15/20,543.75,552.54,542.53,552.01,936534.0,CHTR
07/14/20,530.43,543.98,525.87,542.95,705989.0,CHTR
07/13/20,536.63,544.45,532.86,533.78,958377.0,CHTR
07/10/20,530.39,540.44,527.495,537.92,789912.0,CHTR
07/09/20,529.59,532.25,520.67,530.19,792856.0,CHTR
07/08/20,527.98,530.17,523.0,528.31,773580.0,CHTR
07/07/20,522.74,532.34,521.98,528.02,852839.0,CHTR
07/06/20,525.56,527.165,520.4815,526.29,814930.0,CHTR
07/02/20,522.1,528.87,517.02,517.69,785779.0,CHTR
07/01/20,510.04,525.78,505.45,521.91,1112602.0,CHTR
06/30/20,509.63,511.96,498.075,510.04,1256428.0,CHTR
06/29/20,509.73,513.56,499.5101,509.22,1009869.0,CHTR
06/26/20,510.5,510.5,500.5,502.27,1615516.0,CHTR
06/25/20,507.46,512.55,500.155,510.02,792864.0,CHTR
06/24/20,512.12,517.84,505.57,507.99,1380456.0,CHTR
06/23/20,532.06,532.06,516.1,521.04,1199473.0,CHTR
06/22/20,532.45,534.01,523.395,527.67,886752.0,CHTR
06/19/20,540.0,540.9,524.47,536.67,2642838.0,CHTR
06/18/20,531.94,538.97,530.4245,535.11,886112.0,CHTR
06/17/20,535.37,539.11,532.82,534.23,953343.0,CHTR
06/16/20,528.0,538.02,525.89,532.45,976791.0,CHTR
06/15/20,514.05,526.75,511.5461,526.02,910361.0,CHTR
06/12/20,524.35,530.715,515.29,522.57,1043555.0,CHTR
06/11/20,532.71,535.67,517.15,517.17,1485432.0,CHTR
06/10/20,536.35,536.35,528.5,533.81,951775.0,CHTR
06/09/20,541.09,542.355,529.43,531.57,892860.0,CHTR
06/08/20,524.0,540.4,522.08,540.36,1225252.0,CHTR
06/05/20,538.65,546.07,528.02,530.72,1395046.0,CHTR
06/04/20,544.47,548.91,534.66,540.03,1109611.0,CHTR
06/03/20,545.47,548.81,542.26,547.3,674578.0,CHTR
06/02/20,541.69,549.0,540.825,545.22,960592.0,CHTR
06/01/20,545.04,548.04,540.02,541.3,849173.0,CHTR
05/29/20,535.5,545.63,531.08,544.0,1606456.0,CHTR
05/28/20,528.54,539.88,528.54,534.67,1577427.0,CHTR
05/27/20,512.76,528.06,511.01,525.11,1479462.0,CHTR
05/26/20,515.0,517.69,508.195,509.85,977621.0,CHTR
05/22/20,513.71,519.1,509.24,512.9,714439.0,CHTR
05/21/20,511.25,519.64,510.0,516.96,788195.0,CHTR
05/20/20,519.35,525.77,510.9,512.8,1089532.0,CHTR
05/19/20,512.93,523.29,512.4,520.44,1082920.0,CHTR
05/18/20,511.15,524.655,505.795,517.79,1194911.0,CHTR
05/15/20,491.36,503.47,485.01,503.39,905287.0,CHTR
05/14/20,499.09,502.06,489.27,497.44,831238.0,CHTR
05/13/20,501.93,503.0,487.67,498.3,1078889.0,CHTR
05/12/20,507.31,514.59,501.37,501.93,776169.0,CHTR
05/11/20,510.66,515.65,507.2,510.74,835898.0,CHTR
05/08/20,521.46,521.46,513.13,515.28,607700.0,CHTR
05/07/20,511.81,520.0,507.61,514.25,862882.0,CHTR
05/06/20,516.56,517.87,496.62,503.96,806930.0,CHTR
05/05/20,517.01,518.42,508.88,513.44,939560.0,CHTR
05/04/20,514.12,521.8,508.87,515.73,1153482.0,CHTR
05/01/20,511.0,517.905,495.51,509.64,1671355.0,CHTR
04/30/20,492.67,511.33,490.35,495.23,2353646.0,CHTR
04/29/20,501.91,505.57,492.42,494.67,1117049.0,CHTR
04/28/20,514.73,514.73,494.33,497.16,963942.0,CHTR
04/27/20,511.81,515.63,505.78,508.44,933019.0,CHTR
04/24/20,501.53,508.86,494.11,508.55,767827.0,CHTR
04/23/20,498.5,508.06,495.61,499.12,713804.0,CHTR
04/22/20,500.39,501.35,490.24,496.08,878328.0,CHTR
04/21/20,493.38,497.59,486.77,490.78,1178377.0,CHTR
04/20/20,495.99,506.255,490.45,498.67,947663.0,CHTR
04/17/20,504.35,509.12,486.07,499.42,1487893.0,CHTR
04/16/20,499.94,507.77,493.495,496.35,1158444.0,CHTR
04/15/20,477.71,497.98,474.54,496.32,1041240.0,CHTR
04/14/20,473.48,495.92,473.13,489.57,1366619.0,CHTR
04/13/20,468.97,473.2,462.16,469.7,988173.0,CHTR
04/09/20,465.65,476.145,456.19,466.64,1634269.0,CHTR
04/08/20,461.62,466.14,450.97,463.93,1070823.0,CHTR
04/07/20,472.83,475.15,449.83,451.75,1632653.0,CHTR
