Date, Open, High, Low, Close, Volume,ticker
12/24/20,84.62,85.1,84.49,85.04,733187,CL
12/23/20,84.59,84.955,84.2,84.43,2690425,CL
12/22/20,85.2,85.42,84.27,84.4,2341488,CL
12/21/20,85.05,85.49,84.37,85.31,2757878,CL
12/18/20,85.66,86.2,84.96,85.93,6089781,CL
12/17/20,85.5,86.05,85.34,85.66,3086695,CL
12/16/20,85.14,85.76,84.64,85.04,2862030,CL
12/15/20,84.51,85.07,84.21,84.75,2555778,CL
12/14/20,85.08,85.45,84.14,84.19,2684390,CL
12/11/20,84.16,85.09,84.15,84.68,2610192,CL
12/10/20,84.89,85.35,84.39,84.59,2856510,CL
12/09/20,85.16,85.335,84.39,84.75,2582867,CL
12/08/20,84.47,85.44,84.19,85.17,2664509,CL
12/07/20,84.8,85.86,84.75,85.39,2966764,CL
12/04/20,85.24,85.68,84.42,85.03,3142645,CL
12/03/20,85.52,85.73,84.41,85.19,3842136,CL
12/02/20,86.07,86.38,85.25,85.74,2740106,CL
12/01/20,85.76,86.34,85.38,86.26,3372316,CL
11/30/20,84.99,85.66,84.2,85.64,4356073,CL
11/27/20,84.95,85.06,84.3,84.9,2188268,CL
11/25/20,85.14,85.47,84.44,84.75,3135719,CL
11/24/20,84.95,85.65,84.115,84.71,4223195,CL
11/23/20,85.23,85.23,83.9733,84.54,3046015,CL
11/20/20,85.52,86.41,85.12,85.16,3719522,CL
11/19/20,84.99,85.64,84.7,85.38,4400935,CL
11/18/20,85.64,85.94,84.6,84.61,4168487,CL
11/17/20,85.39,86.06,85.28,85.35,3406784,CL
11/16/20,85.38,85.94,85.21,85.93,3701455,CL
11/13/20,84.78,85.41,84.69,85.36,3742769,CL
11/12/20,85.0,85.12,84.205,84.73,3705533,CL
11/11/20,84.0,85.245,83.44,84.93,3896881,CL
11/10/20,81.89,83.76,81.39399999999999,83.35,4494544,CL
11/09/20,83.8,84.569,81.54,81.78,6633888,CL
11/06/20,83.08,83.55,82.45,83.03,3481266,CL
11/05/20,84.75,84.75,82.98,83.01,3913996,CL
11/04/20,83.35,85.64,83.09,83.86,5653433,CL
11/03/20,80.88,83.42,80.83,83.11,5327934,CL
11/02/20,80.18,81.02,79.51,80.16,4217719,CL
10/30/20,79.94,81.09,77.675,78.89,7363530,CL
10/29/20,76.54,77.44,75.5607,76.67,3940047,CL
10/28/20,77.42,78.175,76.7,76.86,4767332,CL
10/27/20,79.22,79.64,78.79,78.85,2828611,CL
10/26/20,78.86,79.22,78.12,78.69,3886251,CL
10/23/20,79.55,80.0,79.32,79.34,2259356,CL
10/22/20,79.38,79.68,78.68,79.29,2516568,CL
10/21/20,79.52,80.74,79.52,80.2,3591666,CL
10/20/20,80.07,80.76,79.71,79.83,2961027,CL
10/19/20,80.45,80.9,79.01,79.21,2854779,CL
10/16/20,80.12,80.59,80.025,80.31,2963577,CL
10/15/20,79.42,80.14,79.283,79.71,3375814,CL
10/14/20,80.44,80.63,79.42,79.86,2200143,CL
10/13/20,80.5,80.99,79.85,80.26,3042802,CL
10/12/20,79.69,80.955,79.62,80.63,2691097,CL
10/09/20,79.09,80.1262,78.89,79.77,2870657,CL
10/08/20,78.23,78.84,78.08,78.74,2144477,CL
10/07/20,77.83,78.39,77.69,78.13,1928468,CL
10/06/20,78.55,78.63,77.2,77.54,2640967,CL
10/05/20,77.5,78.49,77.43,78.42,2768567,CL
