Date, Open, High, Low, Close, Volume,ticker
12/24/20,202.1,203.8,202.08,203.8,288614,CLX
12/23/20,201.3,203.5,201.02,202.33,677191,CLX
12/22/20,202.62,203.18,200.22,201.39,927690,CLX
12/21/20,204.07,204.67,200.43,202.45,1096393,CLX
12/18/20,202.69,203.65,201.3801,203.17,1874568,CLX
12/17/20,203.4,204.39,200.81,202.34,957534,CLX
12/16/20,203.04,204.73,202.42,203.44,885732,CLX
12/15/20,203.3,205.5,202.16,203.04,1448593,CLX
12/14/20,204.21,204.62,200.8904,202.38,1737171,CLX
12/11/20,200.68,202.98,200.1829,201.73,1120413,CLX
12/10/20,200.75,202.72,199.9,200.6,830173,CLX
12/09/20,203.47,203.47,199.4461,200.51,1207285,CLX
12/08/20,201.58,205.8999,199.76,202.88,1607919,CLX
12/07/20,200.39,202.2,198.65,200.61,1285649,CLX
12/04/20,200.0,201.7,198.68,199.98,2071619,CLX
12/03/20,200.48,203.37,199.78,201.23,1999575,CLX
12/02/20,202.79,204.0,199.53,201.71,1447734,CLX
12/01/20,202.37,203.3,200.5974,203.21,1536837,CLX
11/30/20,202.32,203.35,199.97,202.96,2213971,CLX
11/27/20,201.4,203.35,201.25,203.09,699233,CLX
11/25/20,201.63,202.57,200.0,200.75,1298710,CLX
11/24/20,202.31,203.14,199.43,199.54,1620099,CLX
11/23/20,202.12,203.23,201.09,202.31,1563525,CLX
11/20/20,202.84,204.79,202.72,203.05,1537847,CLX
11/19/20,203.69,206.6476,201.0,202.47,1558938,CLX
11/18/20,208.77,210.25,204.9,204.98,1910521,CLX
11/17/20,207.0,209.485,205.66,209.1,1433332,CLX
11/16/20,203.0,207.88,202.0019,207.67,1587974,CLX
11/13/20,207.9,208.8873,206.255,207.38,1545914,CLX
11/12/20,204.62,207.62,203.0116,207.53,1822888,CLX
11/11/20,199.27,203.5,197.665,202.59,1810452,CLX
11/10/20,197.0,202.195,192.9,198.12,2428258,CLX
11/09/20,203.44,209.0,193.26,194.91,4941946,CLX
11/06/20,212.46,218.14,212.46,218.08,1078346,CLX
11/05/20,215.52,216.18,212.98,212.98,1080554,CLX
11/04/20,214.0,218.185,212.7,212.94,1554576,CLX
11/03/20,215.99,217.5,210.69,212.25,1904763,CLX
11/02/20,215.0,221.84,212.24,216.03,4066971,CLX
10/30/20,207.59,211.54,204.88,207.25,2252024,CLX
10/29/20,210.33,212.22,207.55,208.73,1226869,CLX
10/28/20,213.29,215.24,209.54,209.88,1119009,CLX
10/27/20,214.67,217.63,214.02,214.18,1323594,CLX
10/26/20,210.81,214.36,209.72,212.73,1114543,CLX
10/23/20,209.4,211.59,209.17,211.14,791757,CLX
10/22/20,209.07,211.49,206.05,209.76,1272186,CLX
10/21/20,210.01,213.14,210.0,211.35,1121458,CLX
10/20/20,214.4,214.6322,210.21,210.61,763502,CLX
10/19/20,215.45,216.5918,212.38,212.5,1074381,CLX
10/16/20,216.0,218.42,214.69,214.99,1373895,CLX
10/15/20,218.01,220.9643,217.03,218.37,859690,CLX
10/14/20,221.17,222.0,217.84,218.93,910037,CLX
10/13/20,217.55,223.36,217.29,221.17,1250985,CLX
10/12/20,215.63,218.01,214.8,215.42,729307,CLX
10/09/20,213.05,216.32,213.05,214.79,1028213,CLX
10/08/20,215.07,215.795,211.96,212.86,857692,CLX
10/07/20,211.06,217.5,211.0,215.13,2038395,CLX
10/06/20,209.19,212.095,208.65,211.15,996750,CLX
10/05/20,209.02,210.05,207.825,209.11,1067008,CLX
10/02/20,211.68,216.0,208.29,209.22,1311353,CLX
10/01/20,209.53,212.35,207.52,211.65,1157837,CLX
09/30/20,210.16,211.36,208.03,210.17,1389438,CLX
09/29/20,212.72,214.2,210.11,210.41,1063843,CLX
09/28/20,212.59,214.25,210.47,211.97,889299,CLX
09/25/20,215.39,215.39,211.0501,211.51,950077,CLX
09/24/20,211.7,214.59,210.87,213.69,1121609,CLX
09/23/20,213.25,213.51,210.08,212.23,1148499,CLX
09/22/20,209.69,214.73,208.935,212.38,1524114,CLX
09/21/20,208.98,211.15,206.06,208.53,1095587,CLX
09/18/20,205.18,208.96,204.61,208.15,1956714,CLX
09/17/20,206.67,208.99,204.66,206.85,1212490,CLX
09/16/20,209.16,210.95,206.9,207.35,1515463,CLX
09/15/20,215.68,216.39,208.68,209.59,2146083,CLX
09/14/20,214.49,217.93,213.5,217.46,940159,CLX
09/11/20,215.48,216.42,212.12,214.0,1071846,CLX
09/10/20,219.26,221.59,214.92,214.97,2553100,CLX
09/09/20,214.17,221.065,214.17,220.0,1917885,CLX
09/08/20,211.63,213.08,207.35,213.0,1922220,CLX
09/04/20,215.23,216.29,208.0,212.52,2012650,CLX
09/03/20,221.29,223.71,213.79,216.72,1983629,CLX
09/02/20,221.0,225.38,220.28,223.74,1283569,CLX
09/01/20,223.94,224.07,217.92,220.09,1329943,CLX
08/31/20,217.29,224.35,217.29,223.5,1675099,CLX
08/28/20,219.99,220.7,215.62,217.13,1879839,CLX
08/27/20,220.18,223.4,219.4,220.69,1301342,CLX
08/26/20,218.86,220.78,217.7592,220.29,2533616,CLX
08/25/20,222.98,223.23,218.73,219.17,2350689,CLX
08/24/20,227.33,227.33,221.96,223.13,1737287,CLX
08/21/20,228.59,228.59,225.55,226.33,997925,CLX
08/20/20,228.16,229.225,226.69,228.3,1146327,CLX
