Date, Open, High, Low, Close, Volume,ticker
12/24/20,50.2,50.44,50.085,50.38,3875302,CMCSA
12/23/20,50.15,50.27,49.65,50.035,12934230,CMCSA
12/22/20,50.0,50.31,49.8,50.02,13739850,CMCSA
12/21/20,50.52,50.65,49.48,50.37,19672369,CMCSA
12/18/20,51.56,51.6,50.4,50.9,31640430,CMCSA
12/17/20,51.54,51.88,51.08,51.36,13464900,CMCSA
12/16/20,51.68,52.07,51.01,51.43,13129800,CMCSA
12/15/20,51.38,52.095,51.3,51.51,18870061,CMCSA
12/14/20,50.853,51.27,50.75,50.99,14005770,CMCSA
12/11/20,50.567,51.105,50.13,50.93,19640250,CMCSA
12/10/20,51.28,51.28,50.25,50.48,17304090,CMCSA
12/09/20,51.62,52.355,51.15,51.26,17327430,CMCSA
12/08/20,51.3,51.8,51.21,51.41,13352420,CMCSA
12/07/20,51.58,52.02,51.24,51.93,12195890,CMCSA
12/04/20,51.75,51.91,51.49,51.69,12258100,CMCSA
12/03/20,50.77,51.72,50.68,51.59,14677170,CMCSA
12/02/20,50.93,51.335,50.81,51.05,14437950,CMCSA
12/01/20,50.75,51.27,50.11,51.02,14369950,CMCSA
11/30/20,51.13,51.48,49.84,50.24,34359793,CMCSA
11/27/20,51.31,52.21,51.31,51.75,6243660,CMCSA
11/25/20,52.17,52.195,50.7779,51.8,19322119,CMCSA
11/24/20,50.0,52.49,49.92,52.34,31754010,CMCSA
11/23/20,49.09,49.98,48.79,49.81,14677520,CMCSA
11/20/20,49.28,49.68,49.1,49.17,19830090,CMCSA
11/19/20,49.211000000000006,49.735,49.0,49.48,13484470,CMCSA
11/18/20,49.6,50.38,49.04,49.14,18279221,CMCSA
11/17/20,49.19,49.99,48.98,49.78,19426020,CMCSA
11/16/20,49.4,49.75,49.25,49.54,19426600,CMCSA
11/13/20,47.81,49.245,47.73,49.0,17035840,CMCSA
11/12/20,47.628,48.09,47.25,47.98,20021301,CMCSA
11/11/20,47.78,47.97,47.12,47.67,11840200,CMCSA
11/10/20,46.166000000000004,47.96,45.95,47.77,21103090,CMCSA
11/09/20,47.6,48.23,46.72,47.18,37456781,CMCSA
11/06/20,44.57,44.7,43.95,44.53,14129150,CMCSA
