Date, Open, High, Low, Close, Volume,ticker
12/24/20,225.29,226.7,224.0384,226.53,197340,CMI
12/23/20,223.23,225.73,222.04,224.22,561220,CMI
12/22/20,224.47,225.5,222.65,223.54,944675,CMI
12/21/20,220.23,226.015,219.6,224.72,655255,CMI
12/18/20,224.07,225.15,221.45,224.31,1791816,CMI
12/17/20,223.86,225.28,221.44,223.43,774024,CMI
12/16/20,223.93,224.4,221.43,222.82,840450,CMI
12/15/20,218.54,225.5,218.54,224.04,1264445,CMI
12/14/20,220.68,221.74,216.41,216.41,1033593,CMI
12/11/20,218.39,220.33,217.4,218.66,1137453,CMI
12/10/20,223.04,223.50400000000002,219.22,219.55,1166212,CMI
12/09/20,221.32,224.86,219.8,224.19,1426301,CMI
12/08/20,218.82,222.72,218.82,221.04,1159039,CMI
12/07/20,220.0,220.62,216.54,219.09,1660863,CMI
12/04/20,220.7,222.4652,219.16,219.93,1544848,CMI
12/03/20,227.51,228.375,219.3,220.34,1923159,CMI
12/02/20,229.38,231.0,227.08,227.18,1067891,CMI
12/01/20,234.65,235.85,229.75,230.36,1229669,CMI
11/30/20,228.72,232.2,226.25,231.17,2607973,CMI
11/27/20,231.5,232.2,228.54,229.03,538341,CMI
11/25/20,235.16,235.16,229.78,230.39,896418,CMI
11/24/20,236.54,237.455,233.41,234.66,1374425,CMI
11/23/20,232.86,236.41,232.405,235.22,1091537,CMI
11/20/20,232.05,232.95,228.59599999999998,230.65,1087369,CMI
11/19/20,229.78,233.71,227.65,233.14,872594,CMI
11/18/20,231.68,235.78,231.25,233.46,987755,CMI
11/17/20,230.93,232.0,227.35,231.08,952446,CMI
11/16/20,240.0,240.0,228.58,231.86,1313965,CMI
11/13/20,234.79,236.87,233.82,236.55,859213,CMI
11/12/20,233.71,235.02,230.23,233.14,974211,CMI
11/11/20,234.89,235.65,230.5,234.9,973335,CMI
11/10/20,229.29,235.34,228.55,233.86,909560,CMI
11/09/20,240.0,244.67,228.95,228.97,1435533,CMI
11/06/20,230.15,232.74,228.57,229.05,724395,CMI
11/05/20,226.16,232.595,225.68,229.57,757706,CMI
11/04/20,229.86,230.76,221.13,222.8,1154788,CMI
11/03/20,230.4,233.02,229.13,232.03,1077898,CMI
11/02/20,223.07,228.1858,222.4,227.68,1285481,CMI
10/30/20,216.05,219.98,214.3201,219.89,1092360,CMI
10/29/20,214.03,219.49,212.8,217.44,1057186,CMI
10/28/20,214.8,218.91,213.2,213.59,1327858,CMI
10/27/20,230.92,231.35,219.61,219.78,1755725,CMI
10/26/20,223.18,223.8,218.06,220.68,907919,CMI
10/23/20,224.77,227.51,223.975,226.28,1041333,CMI
10/22/20,222.75,225.76,222.48,223.59,862480,CMI
10/21/20,223.16,226.625,221.94,222.25,835282,CMI
10/20/20,222.87,224.78,221.52,222.27,850368,CMI
10/19/20,223.35,224.87,220.35,221.15,679723,CMI
10/16/20,224.39,227.15,222.1,222.8,1227869,CMI
10/15/20,219.26,223.42,218.31,222.45,737249,CMI
10/14/20,222.0,224.31,220.81,221.77,851875,CMI
10/13/20,220.95,221.75,217.21,220.45,621434,CMI
10/12/20,224.46,224.5028,220.89,221.75,715856,CMI
10/09/20,222.9,225.84,221.36,223.32,931311,CMI
10/08/20,222.09,222.5685,218.51,221.01,752303,CMI
10/07/20,219.07,223.6,218.76,221.52,723058,CMI
10/06/20,218.33,220.815,215.65,216.33,1143005,CMI
10/05/20,213.22,219.8,212.25,217.85,1258304,CMI
10/02/20,203.67,212.61,203.51,210.34,1003720,CMI
10/01/20,212.89,213.09,205.145,207.04,1095273,CMI
09/30/20,213.86,217.26,209.49,211.16,1349323,CMI
09/29/20,213.48,214.185,210.61,212.9,740559,CMI
09/28/20,211.0,214.4,210.56,212.79,874917,CMI
09/25/20,205.07,210.13,204.64,208.63,979880,CMI
09/24/20,202.53,208.42,199.7,205.42,730488,CMI
09/23/20,206.0,207.885,202.45,203.01,840549,CMI
09/22/20,203.77,206.23,202.26,204.28,876334,CMI
09/21/20,208.1,209.045,202.045,203.87,888801,CMI
09/18/20,209.69,214.1,209.61,211.9,1904815,CMI
09/17/20,207.48,214.8,206.35,210.44,1016577,CMI
09/16/20,212.29,213.7,209.23,209.6,1020446,CMI
