Date, Open, High, Low, Close, Volume,ticker
12/24/20,57.5,58.2,57.45,58.16,674174,CMS
12/23/20,57.84,58.285,57.53,57.61,1108397,CMS
12/22/20,57.85,58.12,57.48,57.6,1500242,CMS
12/21/20,58.69,58.8,57.35,58.0,2156196,CMS
12/18/20,59.57,59.88,58.87,59.23,2939573,CMS
12/17/20,59.46,59.965,59.33,59.51,1579117,CMS
12/16/20,60.42,60.73,59.14,59.25,1347371,CMS
12/15/20,59.48,60.28,59.26,60.0,1780977,CMS
12/14/20,59.87,60.49,59.195,59.22,1358194,CMS
12/11/20,59.1,59.5,58.83,59.38,1565496,CMS
12/10/20,60.09,60.23,59.27,59.44,1411447,CMS
12/09/20,60.2,60.46,59.265,59.8,1185932,CMS
12/08/20,60.24,60.69,59.735,60.2,1508085,CMS
12/07/20,59.47,60.71,59.37,60.7,1809598,CMS
12/04/20,60.91,61.25,59.685,59.77,1111647,CMS
12/03/20,61.54,61.7,60.83,60.95,1346890,CMS
12/02/20,61.34,61.86,60.93,61.79,1581347,CMS
12/01/20,61.76,62.25,61.34,61.51,1679532,CMS
11/30/20,61.75,61.98,60.96,61.54,3321977,CMS
11/27/20,62.59,62.67,61.69,61.98,751075,CMS
11/25/20,62.35,62.95,61.57,62.7,1830424,CMS
11/24/20,61.72,62.53,61.52,62.31,2359027,CMS
11/23/20,61.21,61.5,60.62,61.44,1906932,CMS
11/20/20,60.61,61.48,60.31,61.25,2889867,CMS
11/19/20,61.55,61.67,60.01,60.58,2311805,CMS
11/18/20,64.13,64.75,61.435,61.5,2768333,CMS
11/17/20,65.48,65.96,63.81,63.83,1770394,CMS
11/16/20,65.86,66.115,64.91,66.06,2297609,CMS
11/13/20,64.83,65.24,64.52,65.07,2058119,CMS
11/12/20,66.63,66.68,64.38,64.83,1988859,CMS
11/11/20,67.41,67.75,66.62,67.01,1123471,CMS
11/10/20,66.19,67.61,66.0,67.11,1208123,CMS
11/09/20,67.2,67.98,65.91,66.14,1651777,CMS
11/06/20,64.54,65.12,64.12,64.18,1057437,CMS
11/05/20,64.89,65.98,64.38,64.44,1197411,CMS
11/04/20,65.32,66.32,64.39,64.56,1236876,CMS
11/03/20,64.86,65.91,64.77,65.3,1282134,CMS
11/02/20,63.93,64.43,63.58,64.35,1320300,CMS
10/30/20,63.19,63.93,62.625,63.33,1917709,CMS
10/29/20,64.1,65.32,63.34,63.5,1817975,CMS
10/28/20,64.83,65.73,63.94,63.97,2067401,CMS
10/27/20,66.34,66.56,65.48,65.68,2341777,CMS
10/26/20,65.48,66.245,64.82,66.15,1533485,CMS
10/23/20,66.17,66.33,65.52,65.85,1188793,CMS
10/22/20,65.37,65.96,64.915,65.75,1616420,CMS
10/21/20,65.01,65.85,64.95,65.18,1419054,CMS
10/20/20,65.03,65.19,64.3,65.01,1599850,CMS
10/19/20,65.39,65.57,64.62,64.75,1123326,CMS
10/16/20,64.81,65.54,64.69,65.28,1085118,CMS
10/15/20,64.46,65.135,64.15,64.77,936188,CMS
10/14/20,64.88,65.17,64.3699,64.79,905077,CMS
10/13/20,64.65,64.91,64.1,64.76,1142507,CMS
10/12/20,64.46,65.65,64.21,65.08,1446300,CMS
10/09/20,63.45,64.83,63.45,64.34,1263718,CMS
10/08/20,63.07,63.895,62.82,63.87,1138028,CMS
10/07/20,63.05,63.38,62.49,63.01,1027854,CMS
10/06/20,61.72,63.39,61.58,62.89,1259019,CMS
10/05/20,61.71,61.9155,60.84,61.58,1466406,CMS
10/02/20,61.32,62.01,60.97,61.66,1356191,CMS
10/01/20,61.49,61.95,61.19,61.68,1591614,CMS
09/30/20,61.5,61.94,61.15,61.41,1534384,CMS
09/29/20,61.63,61.96,61.015,61.11,1026440,CMS
09/28/20,61.5,62.24,61.17,61.4,1047018,CMS
09/25/20,59.41,61.38,59.23,61.34,1781233,CMS
09/24/20,59.56,60.14,58.63,59.58,1695565,CMS
09/23/20,60.74,61.02,59.4,59.57,1395702,CMS
09/22/20,59.92,60.78,59.88,60.69,1775209,CMS
