Date, Open, High, Low, Close, Volume,ticker
12/24/20,21.47,21.585,21.21,21.58,1011209,CNP
12/23/20,21.02,21.615,21.02,21.5,4264387,CNP
12/22/20,21.05,21.13,20.72,20.82,4981376,CNP
12/21/20,21.61,21.66,20.965,21.05,5876897,CNP
12/18/20,21.91,22.03,21.7,21.87,11279150,CNP
12/17/20,22.0,22.27,21.86,21.88,4021019,CNP
12/16/20,22.27,22.31,21.73,21.87,4051896,CNP
12/15/20,21.76,22.29,21.6,22.24,4909574,CNP
12/14/20,22.0,22.05,21.6,21.64,5438979,CNP
12/11/20,21.71,21.975,21.6,21.75,4718778,CNP
12/10/20,22.14,22.32,21.66,21.8,6702194,CNP
12/09/20,22.61,22.7,22.0,22.23,15465210,CNP
12/08/20,23.02,23.1,22.45,22.5,4182881,CNP
12/07/20,22.76,23.56,22.61,23.14,5138711,CNP
12/04/20,22.84,23.2,22.74,22.86,3552972,CNP
12/03/20,22.89,23.15,22.75,22.79,5976435,CNP
12/02/20,22.74,22.96,22.395,22.93,5911658,CNP
12/01/20,23.38,23.61,22.83,22.83,7136889,CNP
11/30/20,24.03,24.13,23.08,23.19,9170950,CNP
11/27/20,24.59,24.7,24.04,24.07,2954244,CNP
11/25/20,24.42,24.695,24.275,24.51,3383538,CNP
11/24/20,24.29,24.495,23.89,24.36,7894228,CNP
11/23/20,23.56,24.0,23.54,23.98,5901937,CNP
11/20/20,23.35,23.62,23.28,23.46,3871487,CNP
11/19/20,23.61,23.78,23.145,23.43,6246573,CNP
11/18/20,25.15,25.17,23.74,23.75,6138313,CNP
11/17/20,24.72,25.39,24.62,25.17,8909289,CNP
11/16/20,24.62,25.11,24.595,25.09,8801697,CNP
11/13/20,23.59,24.265,23.545,24.25,4789592,CNP
11/12/20,23.87,23.87,23.11,23.44,3982359,CNP
11/11/20,24.12,24.575,23.97,24.07,5034666,CNP
11/10/20,23.9,24.14,23.76,24.1,4763456,CNP
11/09/20,24.0,24.4,23.48,23.73,9153592,CNP
11/06/20,22.71,22.905,22.45,22.86,4481422,CNP
11/05/20,21.85,23.17,21.85,22.67,6296262,CNP
11/04/20,21.76,22.2,21.49,21.56,4028940,CNP
11/03/20,21.79,22.18,21.67,21.79,3983158,CNP
11/02/20,21.42,21.56,21.06,21.47,5072541,CNP
10/30/20,21.49,21.55,21.0,21.13,4946642,CNP
10/29/20,21.21,21.67,20.89,21.48,4505004,CNP
10/28/20,21.78,22.27,21.25,21.3,4814806,CNP
10/27/20,22.22,22.46,22.1,22.33,5187188,CNP
10/26/20,21.85,22.19,21.76,22.13,4626300,CNP
10/23/20,22.32,22.49,22.01,22.23,3794367,CNP
10/22/20,21.55,22.135,21.435,22.07,3893285,CNP
10/21/20,21.25,21.82,21.21,21.53,5477761,CNP
10/20/20,20.92,21.97,20.8123,21.34,5832032,CNP
10/19/20,20.73,21.01,20.725,20.8,3288445,CNP
10/16/20,20.94,21.12,20.645,20.85,2424100,CNP
10/15/20,20.59,20.99,20.59,20.92,2189991,CNP
10/14/20,20.85,21.06,20.605,20.79,2780164,CNP
10/13/20,21.39,21.585,20.77,20.82,5772190,CNP
10/12/20,21.4,21.815,21.22,21.61,5879712,CNP
10/09/20,21.39,21.535,21.21,21.37,5487967,CNP
10/08/20,20.77,21.36,20.68,21.32,4644159,CNP
10/07/20,20.7,20.92,20.47,20.65,3957681,CNP
10/06/20,20.29,20.81,20.09,20.57,5278933,CNP
10/05/20,20.02,20.235,19.71,20.19,3382604,CNP
10/02/20,19.2,19.98,19.1,19.93,5795606,CNP
10/01/20,19.44,19.48,19.19,19.4,3313607,CNP
09/30/20,19.14,19.49,19.06,19.35,5278770,CNP
09/29/20,19.11,19.26,18.78,19.0,2858440,CNP
09/28/20,19.17,19.295,18.99,19.02,3074222,CNP
09/25/20,18.75,19.005,18.665,18.99,3570752,CNP
09/24/20,18.82,19.135,18.6,18.9,4206943,CNP
09/23/20,18.93,19.13,18.84,18.86,5520610,CNP
09/22/20,18.84,19.11,18.785,18.91,3106514,CNP
09/21/20,18.75,19.25,18.67,18.9,6933657,CNP
09/18/20,19.24,19.29,18.84,18.93,10942130,CNP
09/17/20,19.57,19.585,19.13,19.29,4768812,CNP
09/16/20,19.02,19.77,19.02,19.74,7213172,CNP
09/15/20,19.58,19.66,18.86,19.01,4827483,CNP
09/14/20,19.57,19.8567,19.42,19.54,4468843,CNP
09/11/20,19.45,19.56,19.26,19.45,2795638,CNP
09/10/20,19.46,19.77,19.4,19.45,3673315,CNP
09/09/20,19.58,19.725,19.385,19.53,6291175,CNP
09/08/20,19.83,19.94,19.31,19.37,3899606,CNP
09/04/20,20.23,20.3,19.6,19.87,3613637,CNP
09/03/20,20.59,20.75,19.96,20.15,3829367,CNP
09/02/20,19.98,20.545,19.875,20.45,3410418,CNP
09/01/20,19.85,20.045,19.74,20.0,3018758,CNP
08/31/20,19.98,20.13,19.88,20.07,4348187,CNP
08/28/20,19.85,19.98,19.61,19.95,2492920,CNP
08/27/20,19.69,19.92,19.61,19.76,3315715,CNP
08/26/20,19.89,19.89,19.55,19.64,3582127,CNP
08/25/20,20.39,20.39,19.895,20.01,3347613,CNP
08/24/20,19.83,20.26,19.81,20.22,4113822,CNP
08/21/20,19.91,20.08,19.7,19.79,4430179,CNP
08/20/20,20.13,20.19,19.81,19.82,5580896,CNP
08/19/20,20.14,20.48,20.11,20.25,3552909,CNP
08/18/20,20.66,20.77,20.11,20.24,6967946,CNP
08/17/20,20.54,20.835,20.46,20.65,5438991,CNP
08/14/20,20.64,20.65,20.27,20.54,4585438,CNP
08/13/20,20.26,20.87,20.26,20.74,5698279,CNP
08/12/20,20.83,20.95,20.39,20.4,8297450,CNP
08/11/20,21.22,21.415,20.5983,20.61,5286233,CNP
08/10/20,20.58,21.04,20.49,20.98,4454734,CNP
08/07/20,20.19,20.7,20.15,20.41,7286401,CNP
08/06/20,19.05,20.505,19.05,20.27,11881250,CNP
08/05/20,19.68,19.83,18.9,19.02,8742571,CNP
08/04/20,19.26,19.92,19.26,19.49,8598358,CNP
08/03/20,18.94,19.55,18.765,19.32,5847185,CNP
07/31/20,19.16,19.295,18.4,19.01,16893381,CNP
07/30/20,19.2,19.22,18.77,19.13,7231583,CNP
07/29/20,19.42,19.47,19.11,19.43,4183700,CNP
07/28/20,19.01,19.57,19.0,19.35,3973080,CNP
07/27/20,19.65,19.74,18.86,19.07,7229926,CNP
07/24/20,20.24,20.35,19.62,19.74,3685889,CNP
07/23/20,19.96,20.585,19.88,20.21,5931013,CNP
07/22/20,19.29,20.115,19.21,20.01,7282561,CNP
07/21/20,19.25,19.42,19.06,19.4,6556593,CNP
07/20/20,19.86,19.98,19.055,19.18,4760133,CNP
07/17/20,19.38,19.94,19.295,19.86,7708277,CNP
